Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2001-02,20.0,GSW,NBA,PG,47.0,30.0,1155.0,7.7,16.9,0.453,1.7,5.0,0.345,5.9,11.9,0.498,5.5,7.0,0.775,1.8,4.0,5.8,7.7,3.0,0.5,4.3,5.1,22.5,110.0,108.0,17.0,0.562,0.294,0.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,2.1,0.7,2.7,0.114,1.0,0.0,1.0,0.9
2002-03,21.0,GSW,NBA,PG,82.0,82.0,2866.0,9.0,21.0,0.431,1.9,5.6,0.348,7.1,15.4,0.461,6.6,8.3,0.791,1.7,5.1,6.9,9.1,2.2,0.3,5.2,4.6,26.6,108.0,110.0,18.6,0.54,0.265,0.397,3.6,10.6,7.2,30.0,2.2,0.4,17.3,24.9,5.8,0.7,6.5,0.109,2.6,-1.3,1.3,2.4
2003-04,22.0,WAS,NBA,PG,55.0,52.0,2066.0,9.0,23.0,0.392,3.1,8.4,0.375,5.9,14.6,0.401,6.0,8.0,0.748,1.4,5.0,6.4,6.9,2.6,0.3,5.7,4.4,27.1,98.0,105.0,16.0,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,1.1,1.5,2.6,0.061,1.1,-1.0,0.1,1.1
2004-05,23.0,WAS,NBA,PG,80.0,80.0,3274.0,10.3,23.9,0.431,3.2,8.8,0.365,7.1,15.1,0.469,8.2,10.1,0.814,1.3,4.6,5.9,6.5,2.2,0.4,3.8,3.8,32.0,115.0,109.0,21.3,0.565,0.369,0.42,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,9.2,2.3,11.5,0.169,4.7,-0.4,4.2,5.2
2005-06,24.0,WAS,NBA,PG,80.0,80.0,3384.0,11.5,25.6,0.447,3.1,8.3,0.369,8.4,17.3,0.485,10.1,12.3,0.82,0.9,3.4,4.3,7.4,2.5,0.4,4.6,4.4,36.1,115.0,108.0,23.8,0.581,0.324,0.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,11.0,2.6,13.6,0.193,5.4,0.0,5.4,6.3
2006-07,25.0,WAS,NBA,PG,74.0,73.0,2942.0,11.2,26.8,0.418,3.6,10.1,0.351,7.7,16.7,0.459,10.5,12.5,0.844,1.1,4.8,5.9,7.7,2.4,0.2,4.1,4.3,36.5,115.0,111.0,24.0,0.565,0.377,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,9.3,1.5,10.8,0.177,5.5,-0.8,4.7,5.0
2007-08,26.0,WAS,NBA,PG,13.0,8.0,425.0,9.8,24.7,0.398,2.8,9.8,0.282,7.1,14.9,0.475,9.3,12.1,0.771,0.8,5.7,6.4,8.3,2.9,0.1,6.2,3.8,31.8,102.0,109.0,18.2,0.529,0.398,0.49,1.6,12.8,7.0,27.4,2.9,0.2,17.1,31.1,0.2,0.4,0.6,0.07,2.3,0.1,2.4,0.5
2008-09,27.0,WAS,NBA,PG,2.0,2.0,63.0,5.0,19.3,0.261,1.7,5.9,0.286,3.3,13.4,0.25,10.0,13.4,0.75,0.8,6.7,7.5,16.7,0.0,0.8,0.8,3.3,21.8,116.0,117.0,18.9,0.433,0.304,0.696,1.8,15.3,8.4,47.8,0.0,1.3,3.2,22.4,0.2,0.0,0.2,0.115,3.0,-2.2,0.8,0.0
2009-10,28.0,WAS,NBA,PG,32.0,32.0,1169.0,11.3,27.6,0.411,2.8,8.1,0.348,8.5,19.5,0.437,6.9,9.3,0.739,0.8,5.2,6.0,10.3,1.8,0.4,5.2,4.3,32.3,103.0,110.0,18.7,0.511,0.294,0.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,0.9,0.9,1.8,0.072,2.9,-1.2,1.7,1.1
2010-11,29.0,TOT,NBA,PG,70.0,16.0,1796.0,7.8,21.3,0.366,2.8,9.5,0.297,5.0,11.8,0.423,3.5,4.4,0.784,0.6,4.8,5.5,7.9,2.1,0.6,5.1,5.4,21.9,93.0,106.0,10.8,0.471,0.446,0.208,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,-1.6,2.2,0.5,0.014,-2.2,-0.3,-2.4,-0.2
