Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,22.0,PHO,NBA,PG,55.0,1.0,728.0,6.0,15.4,0.393,1.4,3.7,0.37,4.7,11.7,0.4,3.4,4.5,0.769,2.3,4.8,7.1,7.6,2.0,0.2,5.0,6.0,16.9,96.0,113.0,9.8,0.487,0.241,0.29,5.5,10.8,8.3,20.8,2.0,0.3,22.4,19.7,-0.3,0.4,0.1,0.005,-3.0,-1.2,-4.3,-0.4
2009-10,23.0,PHO,NBA,PG,80.0,2.0,1442.0,7.8,17.1,0.452,2.6,6.6,0.394,5.2,10.6,0.488,4.1,5.6,0.736,1.3,4.6,6.0,8.4,1.7,0.3,4.4,4.6,22.2,110.0,112.0,14.8,0.566,0.383,0.324,3.2,9.8,6.7,24.1,1.7,0.4,18.3,21.1,2.0,0.8,2.8,0.094,0.8,-0.7,0.1,0.8
2010-11,24.0,TOT,NBA,PG,70.0,5.0,1234.0,7.9,18.2,0.435,2.3,6.4,0.361,5.6,11.8,0.476,3.4,5.5,0.624,1.5,4.4,5.9,8.4,2.1,0.4,4.8,5.2,21.6,100.0,111.0,13.2,0.524,0.351,0.302,3.3,9.9,6.6,25.6,2.1,0.6,19.0,22.4,0.2,0.8,1.0,0.04,-0.9,-0.5,-1.3,0.2
2010-11,24.0,PHO,NBA,PG,48.0,2.0,856.0,7.9,18.8,0.421,1.7,6.0,0.277,6.2,12.8,0.488,3.5,5.8,0.608,1.4,3.7,5.1,8.9,2.1,0.4,5.7,5.3,21.0,93.0,111.0,11.2,0.492,0.32,0.307,3.2,8.4,5.8,26.8,2.1,0.5,21.1,24.0,-0.7,0.5,-0.2,-0.012,-2.3,-1.2,-3.5,-0.3
2010-11,24.0,HOU,NBA,PG,22.0,3.0,378.0,8.0,16.8,0.472,3.8,7.3,0.519,4.2,9.6,0.437,3.2,4.9,0.667,1.6,5.9,7.5,7.4,1.9,0.5,2.8,4.7,22.9,120.0,109.0,17.7,0.604,0.432,0.288,3.6,13.2,8.4,22.7,1.9,0.7,13.0,18.9,0.9,0.3,1.2,0.157,2.5,1.2,3.7,0.5
2011-12,25.0,HOU,NBA,PG,66.0,28.0,1752.0,8.3,17.9,0.462,2.0,6.0,0.337,6.2,11.9,0.525,4.6,5.7,0.805,1.6,3.4,5.0,10.5,2.5,0.3,4.7,5.0,23.2,111.0,106.0,18.0,0.567,0.337,0.317,3.5,7.7,5.6,32.5,2.5,0.4,18.7,21.8,3.6,1.5,5.1,0.139,1.9,0.0,1.9,1.7
2012-13,26.0,PHO,NBA,PG,77.0,77.0,2581.0,8.0,18.0,0.443,1.8,5.5,0.319,6.2,12.5,0.497,4.9,6.5,0.748,1.2,3.5,4.7,11.3,2.5,0.5,4.2,4.3,22.6,109.0,109.0,17.5,0.54,0.305,0.36,2.6,8.0,5.2,35.7,2.5,0.8,16.8,21.7,4.1,1.6,5.7,0.106,1.7,-0.3,1.4,2.2
2013-14,27.0,PHO,NBA,SG,76.0,75.0,2668.0,10.4,20.5,0.505,2.3,5.6,0.408,8.1,14.9,0.542,5.9,7.8,0.76,1.3,3.3,4.6,8.4,2.0,0.4,4.0,3.9,29.0,119.0,109.0,21.4,0.604,0.274,0.381,2.9,7.4,5.2,28.1,2.0,0.6,14.3,24.5,8.4,2.0,10.3,0.186,4.1,-0.2,3.9,4.0
2014-15,28.0,TOT,NBA,"PG,SG",78.0,78.0,2640.0,9.7,19.3,0.501,1.7,5.0,0.347,7.9,14.3,0.555,3.5,4.5,0.774,1.6,3.7,5.3,6.7,1.5,0.3,3.3,3.8,24.5,112.0,110.0,17.4,0.577,0.258,0.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,5.4,1.4,6.8,0.123,1.6,-0.8,0.8,1.8
2014-15,28.0,PHO,NBA,SG,52.0,52.0,1735.0,9.8,19.5,0.501,1.9,5.3,0.355,7.9,14.2,0.556,2.8,3.7,0.746,1.5,3.9,5.3,6.1,1.4,0.3,3.3,3.4,24.2,111.0,110.0,16.7,0.573,0.274,0.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,3.1,0.9,4.0,0.111,1.1,-1.0,0.1,0.9
