Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010-11,20.0,UTA,NBA,SF,72.0,17.0,1218.0,6.1,12.7,0.485,1.5,3.2,0.473,4.6,9.5,0.489,3.0,4.2,0.711,1.8,4.2,6.0,3.5,1.3,0.8,3.0,4.6,16.8,106.0,113.0,10.7,0.578,0.253,0.331,4.0,9.8,6.9,10.2,1.3,1.3,17.3,15.3,0.8,0.4,1.2,0.048,-1.2,-1.1,-2.2,-0.1
2011-12,21.0,UTA,NBA,SF,66.0,58.0,2015.0,7.0,15.3,0.456,1.4,4.1,0.346,5.5,11.1,0.496,5.0,6.0,0.832,1.5,4.5,6.0,5.4,1.4,1.1,2.8,2.8,20.4,113.0,109.0,15.5,0.568,0.271,0.396,3.3,9.9,6.6,15.9,1.4,1.6,13.7,17.8,3.8,1.0,4.9,0.116,1.7,-0.1,1.5,1.8
2012-13,22.0,UTA,NBA,SF,72.0,27.0,2104.0,8.4,19.4,0.435,2.6,6.2,0.415,5.9,13.2,0.444,6.1,7.4,0.827,1.3,4.4,5.6,5.3,1.5,1.0,3.0,3.1,25.5,113.0,110.0,16.8,0.564,0.318,0.38,2.8,9.8,6.3,16.7,1.5,1.4,11.7,22.1,4.2,1.2,5.4,0.123,2.5,-0.5,2.0,2.1
2013-14,23.0,UTA,NBA,SF,77.0,77.0,2800.0,8.0,19.4,0.413,1.6,5.3,0.304,6.4,14.1,0.453,5.8,7.1,0.816,1.2,6.2,7.3,7.5,2.1,0.8,4.0,2.9,23.4,104.0,111.0,16.2,0.52,0.271,0.369,2.5,14.0,8.0,24.1,2.1,1.1,15.0,23.1,2.2,1.5,3.6,0.062,1.0,-0.2,0.8,2.0
2014-15,24.0,UTA,NBA,SF,76.0,76.0,2618.0,9.8,22.0,0.445,2.4,6.7,0.364,7.4,15.4,0.481,7.6,9.4,0.812,1.1,6.5,7.6,6.3,2.2,0.6,4.2,2.7,29.7,111.0,105.0,20.2,0.567,0.304,0.425,2.4,14.0,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.5,0.5,4.0,4.0
2015-16,25.0,UTA,NBA,SF,80.0,80.0,2893.0,9.5,21.9,0.433,2.6,7.5,0.349,6.9,14.4,0.477,7.2,8.7,0.824,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,110.0,105.0,18.3,0.559,0.341,0.397,2.5,13.5,8.0,18.2,1.7,0.8,12.5,25.7,5.5,3.4,8.9,0.147,2.4,0.2,2.6,3.3
2016-17,26.0,UTA,NBA,SF,73.0,73.0,2516.0,11.4,24.1,0.471,3.1,7.8,0.398,8.3,16.3,0.506,7.5,8.9,0.844,1.0,7.2,8.2,5.3,1.5,0.4,2.9,2.4,33.4,118.0,106.0,22.2,0.595,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.6,0.5,5.0,4.5
2017-18,27.0,BOS,NBA,SF,1.0,1.0,5.0,10.0,20.0,0.5,0.0,10.0,0.0,10.0,10.0,1.0,0.0,0.0,,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,99.0,107.0,7.3,0.5,0.5,0.0,0.0,21.6,10.9,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.056,-6.6,-0.8,-7.4,0.0
2018-19,28.0,BOS,NBA,PF,72.0,18.0,1863.0,7.7,16.4,0.466,2.0,6.0,0.333,5.7,10.4,0.542,4.0,4.8,0.834,1.3,7.0,8.3,6.3,1.6,0.6,2.7,2.7,21.3,114.0,109.0,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19.0,2.6,2.3,4.9,0.126,0.4,0.4,0.8,1.3
2019-20,29.0,BOS,NBA,SF,52.0,52.0,1740.0,9.7,19.4,0.5,2.4,6.2,0.383,7.4,13.3,0.554,3.4,4.0,0.855,1.5,8.1,9.7,5.9,1.1,0.6,2.7,2.7,25.2,118.0,109.0,18.1,0.595,0.317,0.207,3.4,17.8,10.7,18.7,1.1,1.2,11.2,21.1,3.5,2.2,5.7,0.158,2.6,0.1,2.7,2.0
2020-21,30.0,CHO,NBA,SF,44.0,44.0,1496.0,10.2,21.5,0.473,2.8,6.7,0.415,7.4,14.8,0.499,5.1,6.0,0.843,1.2,7.2,8.4,5.9,1.7,0.5,3.0,2.4,28.2,114.0,113.0,17.6,0.584,0.312,0.281,2.6,16.3,9.3,19.5,1.7,0.9,11.0,23.9,2.2,1.4,3.5,0.114,1.6,-0.1,1.6,1.4
2021-22,31.0,CHO,NBA,SF,49.0,48.0,1564.0,8.7,18.9,0.459,2.6,6.8,0.391,6.0,12.2,0.496,3.9,4.6,0.846,1.2,5.7,6.9,5.4,1.4,0.7,2.5,2.6,23.9,113.0,116.0,15.1,0.57,0.357,0.241,2.5,12.8,7.6,16.1,1.4,1.3,10.6,20.7,1.9,1.0,2.8,0.087,0.1,-0.8,-0.7,0.5
2022-23,32.0,CHO,NBA,SF,49.0,49.0,1545.0,8.3,17.5,0.473,1.6,4.9,0.321,6.7,12.6,0.532,3.8,4.7,0.805,1.0,5.4,6.4,6.2,1.3,0.4,3.0,2.1,21.9,110.0,118.0,13.4,0.56,0.28,0.272,2.1,12.5,7.2,19.2,1.3,0.7,13.1,19.9,0.8,1.1,1.9,0.058,-1.2,-0.4,-1.6,0.2
Career,,,NBA,,783.0,620.0,24377.0,8.9,19.5,0.454,2.2,6.1,0.369,6.6,13.4,0.494,5.5,6.7,0.825,1.2,6.1,7.4,5.8,1.6,0.6,3.2,2.8,25.5,112.0,110.0,17.1,0.568,0.313,0.343,2.7,13.5,8.1,18.6,1.6,1.1,12.5,22.5,40.3,21.6,61.9,0.122,1.8,0.0,1.7,23.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,UTA,NBA,,516.0,408.0,16164.0,8.9,20.0,0.444,2.2,6.1,0.368,6.6,13.9,0.477,6.3,7.7,0.82,1.2,5.8,7.0,5.7,1.7,0.7,3.5,3.0,26.3,111.0,108.0,17.7,0.563,0.306,0.387,2.7,12.8,7.7,18.7,1.7,1.1,12.9,23.4,29.4,13.7,43.0,0.128,2.3,0.0,2.3,17.6
3 seasons,,CHO,NBA,,142.0,141.0,4605.0,9.0,19.2,0.468,2.3,6.1,0.38,6.7,13.1,0.509,4.2,5.1,0.832,1.1,6.1,7.2,5.9,1.5,0.5,2.8,2.4,24.6,112.0,115.0,15.3,0.572,0.317,0.265,2.4,13.8,8.0,18.2,1.5,1.0,11.5,21.5,4.8,3.5,8.3,0.086,0.2,-0.4,-0.3,2.0
3 seasons,,BOS,NBA,,125.0,71.0,3608.0,8.6,17.9,0.484,2.2,6.1,0.357,6.5,11.8,0.549,3.7,4.4,0.843,1.4,7.6,9.0,6.1,1.3,0.6,2.7,2.7,23.2,116.0,109.0,16.8,0.585,0.34,0.248,3.2,16.7,9.9,18.5,1.3,1.1,11.9,20.0,6.1,4.5,10.6,0.141,1.4,0.3,1.7,3.4
