Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1994-95,22.0,DET,NBA,SF,70.0,69.0,2678.0,9.8,20.5,0.477,0.1,0.5,0.148,9.7,19.9,0.486,7.2,9.8,0.732,2.4,6.2,8.6,6.8,2.4,1.2,3.9,3.9,26.8,109.0,111.0,19.0,0.541,0.025,0.48,5.4,14.1,9.7,22.5,2.4,1.7,13.5,24.9,3.7,1.8,5.4,0.097,2.1,-0.1,2.0,2.7
1995-96,23.0,DET,NBA,SF,80.0,80.0,3260.0,9.5,20.5,0.462,0.1,0.4,0.192,9.4,20.1,0.468,8.1,10.8,0.751,2.1,11.0,13.1,9.2,1.7,0.8,4.4,4.1,27.2,110.0,102.0,20.9,0.537,0.021,0.529,4.9,23.4,14.5,31.4,1.7,1.2,14.9,25.9,6.0,5.7,11.7,0.172,3.1,1.7,4.8,5.6
1996-97,24.0,DET,NBA,SF,80.0,80.0,3147.0,11.3,22.7,0.496,0.2,0.6,0.303,11.1,22.1,0.502,8.1,11.4,0.711,2.2,10.8,13.0,10.5,2.6,0.9,4.7,3.4,30.9,114.0,100.0,25.5,0.556,0.026,0.503,5.0,23.1,14.2,36.0,2.6,1.3,14.4,28.3,8.7,5.9,14.6,0.223,5.4,2.7,8.2,8.0
1997-98,25.0,DET,NBA,SF,81.0,81.0,3294.0,10.2,22.5,0.452,0.0,0.3,0.143,10.1,22.1,0.457,7.9,10.7,0.74,1.5,8.8,10.3,9.1,2.4,0.9,4.7,3.2,28.3,106.0,101.0,21.2,0.52,0.015,0.475,3.3,19.3,11.3,31.5,2.4,1.2,14.8,27.3,5.2,5.1,10.2,0.149,3.3,1.5,4.7,5.6
1998-99,26.0,DET,NBA,SF,50.0,50.0,1852.0,11.5,24.1,0.479,0.0,0.4,0.0,11.5,23.7,0.487,8.6,11.4,0.752,2.0,8.7,10.7,9.0,2.4,0.8,5.5,3.4,31.6,107.0,98.0,23.9,0.543,0.017,0.473,4.3,19.3,11.7,33.6,2.4,1.2,16.0,29.6,4.5,2.8,7.3,0.189,4.8,1.4,6.2,3.8
1999-00,27.0,DET,NBA,SF,74.0,74.0,2776.0,12.6,25.7,0.489,0.6,1.8,0.347,12.0,23.9,0.5,8.7,10.9,0.795,1.8,7.1,8.9,7.0,1.9,0.8,4.3,3.4,34.5,111.0,105.0,24.5,0.565,0.069,0.425,4.1,16.4,10.2,26.8,1.9,1.1,12.4,30.5,8.1,2.6,10.7,0.185,5.4,0.1,5.4,5.2
2000-01,28.0,ORL,NBA,SF,4.0,4.0,133.0,7.4,16.7,0.442,0.4,0.4,1.0,7.0,16.3,0.429,6.2,10.1,0.615,3.1,6.6,9.7,9.7,1.9,0.8,4.3,3.5,21.3,105.0,102.0,18.1,0.505,0.023,0.605,6.5,14.5,10.4,30.7,1.9,1.1,16.8,21.8,0.2,0.2,0.3,0.126,3.3,2.0,5.2,0.2
2001-02,29.0,ORL,NBA,SF,14.0,14.0,512.0,8.3,19.6,0.426,0.0,0.2,0.0,8.3,19.4,0.43,6.9,8.0,0.863,2.9,9.7,12.6,6.4,0.8,0.4,3.7,4.0,23.6,105.0,106.0,16.7,0.51,0.01,0.41,6.3,21.1,13.6,20.3,0.8,0.5,13.8,23.4,0.7,0.5,1.2,0.108,0.8,-0.3,0.5,0.3
2002-03,30.0,ORL,NBA,SF,29.0,29.0,843.0,9.2,18.8,0.492,0.1,0.2,0.25,9.2,18.5,0.495,7.2,8.8,0.819,2.4,10.2,12.6,7.5,1.7,0.8,5.1,2.8,25.8,107.0,103.0,20.8,0.568,0.013,0.469,5.3,23.2,14.0,25.6,1.7,1.1,18.5,24.1,1.6,1.0,2.5,0.144,2.9,0.5,3.4,1.1
2004-05,32.0,ORL,NBA,SF,67.0,67.0,2338.0,11.2,22.0,0.509,0.1,0.3,0.231,11.1,21.7,0.513,6.1,7.4,0.821,1.7,5.2,6.9,4.8,2.1,0.6,3.5,3.1,28.5,111.0,108.0,20.0,0.565,0.013,0.336,3.7,11.4,7.6,17.1,2.1,0.9,12.1,24.8,4.7,1.9,6.6,0.136,2.3,0.2,2.5,2.7
2005-06,33.0,ORL,NBA,SF,21.0,17.0,613.0,10.6,21.5,0.49,0.2,0.7,0.25,10.4,20.8,0.498,6.9,9.0,0.765,1.3,5.8,7.1,4.3,2.1,0.5,3.1,4.4,28.2,110.0,107.0,19.0,0.552,0.033,0.42,3.1,12.7,8.1,14.6,2.1,0.8,10.8,24.9,1.1,0.6,1.7,0.13,1.5,0.0,1.5,0.5
2006-07,34.0,ORL,NBA,SG,65.0,64.0,2009.0,9.1,17.5,0.518,0.1,0.3,0.167,9.0,17.2,0.525,6.6,8.6,0.765,1.4,4.9,6.3,3.7,1.6,0.7,3.8,3.9,24.8,109.0,106.0,16.3,0.582,0.018,0.491,3.3,11.0,7.3,12.3,1.6,1.0,15.2,21.8,2.9,2.3,5.1,0.123,0.7,0.4,1.1,1.6
2007-08,35.0,PHO,NBA,SF,70.0,68.0,2222.0,8.0,15.9,0.503,0.7,2.3,0.317,7.3,13.6,0.535,3.8,4.4,0.867,1.7,6.2,7.9,4.5,1.5,1.3,2.1,3.4,20.5,115.0,108.0,15.7,0.576,0.146,0.275,4.1,13.1,9.0,13.1,1.5,1.6,10.7,18.0,3.8,2.1,5.9,0.127,0.9,0.5,1.4,1.9
2008-09,36.0,PHO,NBA,SF,82.0,68.0,2445.0,8.0,15.2,0.523,0.5,1.6,0.316,7.5,13.7,0.547,3.7,4.6,0.808,1.3,7.0,8.3,3.8,1.8,1.1,2.6,3.7,20.1,114.0,111.0,15.2,0.584,0.102,0.301,3.2,15.7,9.7,11.0,1.8,1.6,13.0,17.5,3.5,1.9,5.3,0.104,0.4,0.4,0.8,1.7
2009-10,37.0,PHO,NBA,SF,81.0,81.0,2430.0,7.0,14.6,0.478,0.7,1.7,0.438,6.2,12.9,0.483,4.2,5.2,0.817,1.5,7.7,9.2,4.0,1.2,0.7,2.2,3.4,18.9,114.0,110.0,14.0,0.561,0.114,0.357,3.6,16.3,10.3,11.2,1.2,1.0,11.7,16.8,3.7,1.8,5.5,0.109,0.3,0.3,0.6,1.6
2010-11,38.0,PHO,NBA,SF,80.0,80.0,2409.0,8.4,17.4,0.484,1.0,2.4,0.395,7.5,15.0,0.498,4.5,5.4,0.829,1.6,5.5,7.1,4.2,1.4,0.7,2.8,3.9,22.3,109.0,111.0,14.7,0.563,0.138,0.312,3.7,12.5,8.1,13.0,1.4,1.1,12.5,20.1,3.1,1.3,4.4,0.087,-0.2,-0.3,-0.5,0.9
2011-12,39.0,PHO,NBA,SF,49.0,46.0,1378.0,7.6,17.0,0.446,0.5,2.0,0.264,7.0,15.0,0.47,3.1,4.1,0.761,1.1,5.3,6.4,4.0,1.5,1.1,2.4,3.3,18.8,100.0,107.0,12.3,0.5,0.118,0.242,2.4,11.5,7.0,12.1,1.5,1.5,11.5,18.6,0.6,0.9,1.6,0.055,-1.4,0.5,-0.9,0.4
2012-13,40.0,LAC,NBA,SF,29.0,0.0,437.0,4.6,11.8,0.388,0.4,1.3,0.273,4.2,10.5,0.402,1.7,2.9,0.583,0.7,5.2,5.9,3.1,1.3,0.8,3.0,4.7,11.2,83.0,107.0,4.8,0.428,0.112,0.245,1.7,11.5,6.7,8.3,1.3,1.3,18.7,14.0,-0.5,0.4,-0.1,-0.014,-5.3,-0.3,-5.6,-0.4
Career,,,NBA,,1026.0,972.0,34776.0,9.6,19.8,0.483,0.3,1.0,0.314,9.2,18.7,0.493,6.4,8.3,0.769,1.8,7.5,9.3,6.4,1.9,0.9,3.7,3.6,25.8,110.0,106.0,19.0,0.551,0.053,0.419,4.0,16.6,10.5,21.9,1.9,1.2,13.7,23.7,61.5,38.5,99.9,0.138,2.2,0.8,3.0,43.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,DET,NBA,,435.0,434.0,17007.0,10.7,22.5,0.476,0.2,0.7,0.256,10.6,21.9,0.483,8.1,10.8,0.746,2.0,8.8,10.8,8.6,2.2,0.9,4.5,3.6,29.7,110.0,103.0,22.4,0.544,0.031,0.48,4.5,19.5,12.1,30.4,2.2,1.3,14.2,27.6,36.2,23.8,60.0,0.169,4.0,1.3,5.2,31.0
5 seasons,,PHO,NBA,,362.0,343.0,10884.0,7.8,15.9,0.49,0.7,2.0,0.354,7.1,13.9,0.509,3.9,4.8,0.822,1.5,6.5,7.9,4.1,1.5,1.0,2.5,3.6,20.3,111.0,110.0,14.6,0.561,0.124,0.302,3.5,14.1,9.0,12.1,1.5,1.4,12.0,18.1,14.6,8.0,22.6,0.1,0.1,0.3,0.4,6.6
6 seasons,,ORL,NBA,,200.0,195.0,6448.0,9.9,19.9,0.5,0.1,0.3,0.225,9.9,19.6,0.504,6.5,8.2,0.795,1.8,6.2,8.0,5.0,1.8,0.6,3.8,3.5,26.5,109.0,106.0,18.6,0.563,0.016,0.413,4.0,13.8,8.9,17.0,1.8,0.9,14.0,23.6,11.2,6.3,17.5,0.13,1.7,0.3,2.0,6.5
1 season,,LAC,NBA,,29.0,0.0,437.0,4.6,11.8,0.388,0.4,1.3,0.273,4.2,10.5,0.402,1.7,2.9,0.583,0.7,5.2,5.9,3.1,1.3,0.8,3.0,4.7,11.2,83.0,107.0,4.8,0.428,0.112,0.245,1.7,11.5,6.7,8.3,1.3,1.3,18.7,14.0,-0.5,0.4,-0.1,-0.014,-5.3,-0.3,-5.6,-0.4
