Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,OKC,NBA,SG,51.0,3.0,526.0,6.7,14.6,0.455,0.4,2.1,0.167,6.3,12.5,0.504,3.2,5.2,0.61,3.4,5.2,8.6,1.5,1.9,0.9,2.0,6.8,16.9,103.0,108.0,10.1,0.497,0.145,0.358,7.2,12.0,9.5,4.4,1.9,1.6,10.7,16.6,0.1,0.7,0.8,0.069,-4.4,0.2,-4.2,-0.3
2019-20,21.0,OKC,NBA,SF,46.0,3.0,896.0,7.2,16.1,0.446,0.9,3.1,0.281,6.3,13.0,0.485,2.1,3.4,0.603,2.4,6.7,9.1,2.0,2.0,0.5,2.8,5.5,17.2,94.0,109.0,9.3,0.491,0.193,0.213,5.6,14.7,10.3,5.9,2.0,0.9,13.6,18.4,-0.7,1.1,0.4,0.022,-4.2,0.3,-3.9,-0.4
2020-21,22.0,TOT,NBA,"SF,SG",52.0,9.0,1226.0,8.8,18.4,0.477,1.1,3.2,0.341,7.7,15.2,0.505,5.0,7.8,0.64,2.3,8.4,10.7,4.0,1.6,0.9,3.0,5.3,23.7,106.0,112.0,14.3,0.541,0.174,0.426,5.1,18.8,11.9,13.3,1.6,1.7,12.0,22.2,0.3,1.3,1.6,0.063,-2.2,0.1,-2.1,0.0
2020-21,22.0,OKC,NBA,SG,32.0,5.0,761.0,8.9,18.6,0.481,0.7,2.6,0.293,8.2,16.0,0.512,5.2,8.2,0.629,2.3,8.0,10.3,4.8,1.9,0.7,3.1,5.2,23.8,106.0,112.0,15.0,0.536,0.138,0.444,5.0,17.7,11.3,16.4,1.9,1.4,12.1,22.5,0.3,0.8,1.0,0.065,-2.1,0.6,-1.5,0.1
2020-21,22.0,DET,NBA,SF,20.0,4.0,465.0,8.5,18.3,0.468,1.7,4.3,0.39,6.9,13.9,0.492,4.7,7.2,0.662,2.3,9.0,11.3,2.5,1.1,1.3,2.8,5.4,23.5,105.0,112.0,13.1,0.549,0.237,0.393,5.2,20.6,12.8,8.3,1.1,2.2,11.7,21.6,0.1,0.5,0.6,0.059,-2.4,-0.8,-3.2,-0.1
2021-22,23.0,DET,NBA,SG,58.0,29.0,1269.0,10.0,20.2,0.496,0.9,3.6,0.247,9.2,16.6,0.55,3.5,5.4,0.65,2.7,8.0,10.7,2.8,2.7,0.7,2.2,5.5,24.5,107.0,111.0,15.7,0.541,0.177,0.266,5.6,18.7,11.8,9.8,2.7,1.2,9.0,21.8,0.6,1.5,2.1,0.079,-1.2,0.7,-0.5,0.5
2022-23,24.0,DET,NBA,SG,56.0,0.0,996.0,10.4,18.2,0.573,0.2,1.0,0.238,10.2,17.2,0.593,4.2,7.2,0.588,2.8,6.6,9.4,2.7,2.6,0.8,3.4,6.0,25.3,109.0,116.0,15.7,0.593,0.056,0.395,6.1,15.7,10.8,9.1,2.6,1.4,13.9,21.8,0.4,0.9,1.3,0.064,-1.8,0.4,-1.4,0.1
Career,,,NBA,,263.0,44.0,4913.0,8.9,18.0,0.495,0.7,2.7,0.274,8.2,15.3,0.534,3.7,6.0,0.623,2.6,7.3,9.9,2.8,2.2,0.7,2.7,5.7,22.3,105.0,112.0,13.6,0.54,0.151,0.333,5.7,16.7,11.1,9.3,2.2,1.4,11.7,20.7,0.7,5.5,6.2,0.06,-2.5,0.4,-2.1,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,134.0,33.0,2730.0,9.9,19.1,0.519,0.8,2.8,0.284,9.1,16.4,0.558,4.0,6.3,0.626,2.6,7.7,10.3,2.7,2.4,0.8,2.8,5.7,24.6,107.0,113.0,15.3,0.561,0.144,0.331,5.7,17.9,11.6,9.3,2.4,1.5,11.3,21.8,1.1,2.9,4.0,0.07,-1.6,0.3,-1.3,0.5
3 seasons,,OKC,NBA,,129.0,11.0,2183.0,7.7,16.6,0.462,0.7,2.7,0.262,7.0,13.9,0.5,3.4,5.6,0.618,2.6,6.8,9.4,2.8,1.9,0.7,2.7,5.7,19.4,101.0,110.0,11.5,0.511,0.161,0.335,5.8,15.1,10.4,9.2,1.9,1.2,12.4,19.4,-0.4,2.6,2.2,0.048,-3.5,0.4,-3.1,-0.6
