Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,21.0,NYK,NBA,SF,9.0,0.0,53.0,5.5,20.2,0.273,0.9,8.3,0.111,4.6,11.9,0.385,3.7,4.6,0.8,1.8,2.8,4.6,3.7,0.0,0.9,1.8,2.8,15.6,82.0,119.0,3.2,0.351,0.409,0.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.108,-5.1,-3.9,-9.0,-0.1
2020-21,22.0,TOT,NBA,SF,13.0,0.0,249.0,6.8,16.2,0.422,2.2,5.5,0.393,4.7,10.8,0.436,2.0,2.7,0.714,2.2,6.6,8.8,3.3,0.8,0.6,2.3,4.3,17.8,101.0,116.0,9.5,0.51,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.2,-2.1,-5.3,-0.2
2020-21,22.0,NYK,NBA,SF,4.0,0.0,7.0,0.0,7.1,0.0,0.0,0.0,,0.0,7.1,0.0,14.3,14.3,1.0,7.1,7.1,14.3,7.1,0.0,0.0,7.1,0.0,14.3,103.0,113.0,11.2,0.532,0.0,2.0,15.7,15.3,15.5,17.5,0.0,0.0,34.7,18.3,0.0,0.0,0.0,0.039,-2.9,-1.2,-4.1,0.0
2020-21,22.0,PHI,NBA,SF,1.0,0.0,8.0,0.0,18.1,0.0,0.0,6.0,0.0,0.0,12.1,0.0,0.0,0.0,,0.0,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,-12.0,0.0,0.333,0.0,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,0.0,-0.1,-0.33,-15.2,-6.2,-21.4,0.0
2020-21,22.0,ORL,NBA,SF,8.0,0.0,234.0,7.3,16.4,0.443,2.3,5.6,0.407,5.0,10.8,0.462,1.7,2.5,0.667,2.1,6.4,8.5,3.3,0.8,0.6,2.3,4.6,18.5,103.0,117.0,10.2,0.528,0.342,0.152,4.3,14.2,9.1,10.6,0.8,1.2,11.5,17.6,0.0,0.1,0.1,0.027,-2.8,-2.0,-4.8,-0.2
2021-22,23.0,ORL,NBA,SF,42.0,1.0,536.0,7.3,17.0,0.431,2.4,7.9,0.31,4.9,9.1,0.535,1.9,2.9,0.656,2.1,4.4,6.5,3.3,0.9,0.3,1.5,4.3,19.0,106.0,116.0,10.2,0.52,0.463,0.17,4.5,9.7,7.1,10.7,0.9,0.5,7.8,17.7,0.2,0.3,0.5,0.041,-2.7,-1.6,-4.3,-0.3
Career,,,NBA,,64.0,1.0,838.0,7.1,17.0,0.416,2.3,7.2,0.315,4.8,9.8,0.491,2.0,3.0,0.686,2.1,5.0,7.1,3.4,0.8,0.4,1.8,4.2,18.4,103.0,116.0,9.6,0.504,0.423,0.174,4.5,10.9,7.7,10.6,0.8,0.8,8.9,17.9,0.0,0.4,0.4,0.024,-3.0,-1.9,-4.9,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ORL,NBA,,50.0,1.0,770.0,7.3,16.8,0.434,2.4,7.2,0.333,4.9,9.6,0.51,1.8,2.8,0.659,2.1,5.0,7.1,3.3,0.9,0.4,1.8,4.4,18.8,105.0,116.0,10.2,0.522,0.427,0.165,4.4,11.1,7.7,10.7,0.9,0.7,8.9,17.7,0.2,0.4,0.6,0.036,-2.7,-1.7,-4.5,-0.5
2 seasons,,NYK,NBA,,13.0,0.0,60.0,4.9,18.7,0.261,0.8,7.3,0.111,4.1,11.4,0.357,4.9,5.7,0.857,2.4,3.3,5.7,4.1,0.0,0.8,2.4,2.4,15.5,85.0,118.0,4.2,0.364,0.391,0.304,5.3,7.3,6.3,11.4,0.0,1.6,10.3,20.7,-0.1,0.0,-0.1,-0.091,-4.8,-3.6,-8.4,-0.1
1 season,,PHI,NBA,,1.0,0.0,8.0,0.0,18.1,0.0,0.0,6.0,0.0,0.0,12.1,0.0,0.0,0.0,,0.0,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,-12.0,0.0,0.333,0.0,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,0.0,-0.1,-0.33,-15.2,-6.2,-21.4,0.0
