Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,19.0,MIL,NBA,PF,25.0,25.0,738.0,8.9,18.2,0.49,0.3,1.1,0.25,8.6,17.1,0.506,3.2,4.6,0.697,3.5,6.1,9.5,2.9,2.1,0.3,3.2,2.9,21.3,101.0,103.0,14.5,0.527,0.061,0.251,7.8,13.5,10.7,9.5,2.1,0.6,13.9,20.7,0.4,1.0,1.3,0.088,-0.1,-0.4,-0.5,0.3
2015-16,20.0,MIL,NBA,PF,76.0,72.0,2408.0,9.4,19.0,0.493,0.2,0.7,0.257,9.2,18.3,0.502,3.7,4.8,0.768,2.6,5.8,8.4,2.7,1.5,0.6,2.5,3.3,22.6,106.0,111.0,14.8,0.535,0.039,0.254,5.9,12.8,9.4,8.9,1.5,1.0,10.4,20.9,2.4,1.2,3.6,0.072,-0.4,-1.6,-2.0,0.0
2016-17,21.0,MIL,NBA,PF,51.0,50.0,1728.0,11.7,23.9,0.49,1.9,5.2,0.365,9.8,18.7,0.525,4.8,6.4,0.743,2.3,6.9,9.2,4.2,1.5,0.6,2.7,3.3,30.1,110.0,110.0,19.1,0.563,0.219,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.3,26.5,2.6,1.5,4.0,0.112,2.1,-1.4,0.7,1.2
2017-18,22.0,MIL,NBA,PF,31.0,3.0,743.0,10.7,22.3,0.482,2.1,5.4,0.383,8.7,16.8,0.514,2.7,3.6,0.741,2.8,7.3,10.1,4.0,1.7,0.7,3.0,3.4,26.2,106.0,111.0,17.1,0.55,0.244,0.163,6.6,17.1,11.9,13.1,1.7,1.2,11.2,24.4,0.6,0.6,1.2,0.08,0.9,-1.7,-0.8,0.2
2018-19,23.0,TOT,NBA,PF,64.0,17.0,1724.0,10.3,20.9,0.493,1.7,5.4,0.313,8.6,15.4,0.556,3.7,5.1,0.712,2.2,9.5,11.7,4.2,1.3,0.8,4.2,4.0,25.9,102.0,113.0,15.5,0.56,0.26,0.246,4.9,21.8,13.3,14.1,1.3,1.5,15.4,24.6,0.1,1.3,1.4,0.039,-0.7,-0.9,-1.5,0.2
2018-19,23.0,CHI,NBA,PF,39.0,17.0,1042.0,10.2,21.6,0.474,1.7,5.3,0.325,8.5,16.3,0.523,3.7,5.0,0.731,1.9,9.3,11.2,3.9,1.1,0.7,3.9,4.0,25.9,100.0,113.0,14.6,0.543,0.246,0.233,4.2,21.1,12.6,13.2,1.1,1.2,14.1,25.0,-0.2,0.7,0.5,0.024,-1.1,-1.1,-2.1,0.0
2018-19,23.0,WAS,NBA,PF,25.0,0.0,682.0,10.3,19.8,0.523,1.7,5.6,0.296,8.7,14.2,0.613,3.6,5.3,0.684,2.6,9.9,12.5,4.7,1.6,1.1,4.7,4.0,26.0,105.0,112.0,17.0,0.587,0.284,0.267,5.9,23.0,14.3,15.4,1.6,2.0,17.4,24.0,0.3,0.6,0.9,0.063,0.0,-0.6,-0.6,0.2
2019-20,24.0,TOT,NBA,PF,38.0,23.0,917.0,11.2,21.9,0.51,1.6,6.1,0.269,9.5,15.8,0.603,3.1,4.1,0.753,3.1,7.8,10.9,3.5,2.3,0.8,3.3,5.0,27.1,108.0,112.0,18.0,0.571,0.277,0.189,7.1,18.3,12.6,12.4,2.3,1.5,12.1,24.0,0.8,0.8,1.6,0.083,0.6,-0.3,0.3,0.5
2019-20,24.0,ATL,NBA,PF,32.0,23.0,837.0,11.0,21.9,0.504,1.7,6.4,0.27,9.3,15.5,0.601,3.0,4.0,0.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,106.0,113.0,17.2,0.565,0.293,0.183,6.9,17.9,12.3,11.6,2.3,1.5,12.4,24.0,0.5,0.7,1.2,0.068,0.3,-0.3,0.0,0.4
2019-20,24.0,SAC,NBA,PF,6.0,0.0,80.0,12.7,21.8,0.583,0.6,2.4,0.25,12.1,19.4,0.625,4.9,5.5,0.889,4.2,9.7,13.9,6.1,1.8,0.6,2.4,3.6,30.9,129.0,110.0,26.5,0.638,0.111,0.25,9.6,23.1,16.2,21.5,1.8,1.2,9.1,23.8,0.3,0.1,0.4,0.234,3.5,-0.9,2.6,0.1
2020-21,25.0,TOT,NBA,PF,13.0,0.0,165.0,8.9,16.2,0.545,0.6,3.2,0.182,8.3,13.0,0.636,3.0,3.8,0.769,3.0,9.4,12.4,3.2,0.3,1.5,3.0,3.8,21.3,113.0,114.0,14.7,0.593,0.2,0.236,6.7,21.8,14.2,9.9,0.3,2.8,14.1,18.5,0.2,0.1,0.3,0.089,-0.9,0.0,-0.9,0.0
2020-21,25.0,SAC,NBA,PF,3.0,0.0,27.0,7.1,12.4,0.571,0.0,1.8,0.0,7.1,10.7,0.667,0.0,0.0,,1.8,8.9,10.7,1.8,0.0,1.8,5.3,7.1,14.2,83.0,118.0,5.0,0.571,0.143,0.0,4.1,20.8,12.3,5.0,0.0,3.1,30.0,15.9,-0.1,0.0,0.0,-0.073,-7.7,-1.4,-9.1,0.0
