Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007-08,27.0,TOR,NBA,SF,78.0,75.0,2166.0,6.9,14.1,0.485,1.0,3.0,0.328,5.9,11.1,0.528,1.5,2.1,0.741,2.3,9.6,11.9,2.2,2.0,2.7,1.3,3.7,16.2,110.0,102.0,15.0,0.54,0.212,0.148,5.0,21.6,13.2,6.2,2.0,4.0,7.7,14.4,2.1,3.6,5.7,0.126,0.0,1.9,1.9,2.2
2008-09,28.0,TOT,NBA,SF,80.0,60.0,2068.0,5.6,12.1,0.468,1.7,4.7,0.355,4.0,7.4,0.54,1.7,2.0,0.85,1.5,7.8,9.3,2.4,2.2,1.5,1.1,3.4,14.7,116.0,107.0,13.3,0.567,0.386,0.169,3.3,17.5,10.4,7.0,2.2,2.3,7.8,12.4,2.4,2.5,4.9,0.114,0.0,1.7,1.7,1.9
2008-09,28.0,TOR,NBA,SF,54.0,39.0,1379.0,5.7,12.0,0.473,1.4,4.2,0.345,4.2,7.8,0.541,2.1,2.5,0.846,1.8,7.6,9.4,2.6,2.5,1.7,1.2,3.2,14.9,116.0,107.0,14.2,0.569,0.347,0.205,4.1,16.9,10.6,7.7,2.5,2.5,8.2,12.6,1.7,1.7,3.4,0.119,0.5,2.2,2.7,1.6
2008-09,28.0,MIA,NBA,SF,26.0,21.0,689.0,5.6,12.2,0.459,2.1,5.7,0.37,3.5,6.5,0.536,1.0,1.2,0.867,0.8,8.2,9.0,1.9,1.6,1.2,0.9,3.7,14.3,114.0,107.0,11.6,0.562,0.465,0.096,1.7,18.6,10.1,5.5,1.6,1.9,6.8,12.0,0.6,0.8,1.5,0.103,-0.9,0.7,-0.2,0.3
2009-10,29.0,CLE,NBA,SF,61.0,2.0,1052.0,5.7,12.3,0.462,1.6,5.0,0.32,4.1,7.3,0.558,1.8,2.2,0.8,1.3,8.2,9.5,2.4,1.7,1.5,1.1,3.4,14.8,114.0,103.0,12.6,0.555,0.405,0.182,3.1,17.8,10.8,6.9,1.7,2.2,7.9,12.8,1.2,1.7,2.9,0.131,-0.2,1.6,1.4,0.9
2010-11,30.0,TOT,NBA,SF,59.0,20.0,1042.0,5.0,12.3,0.407,1.9,6.1,0.309,3.1,6.2,0.504,0.7,0.8,0.882,1.1,7.0,8.2,2.6,1.4,1.6,1.1,3.2,12.6,104.0,110.0,10.1,0.499,0.496,0.069,2.5,16.0,9.1,7.8,1.4,2.4,7.9,12.0,0.4,0.7,1.1,0.05,-1.5,0.5,-1.1,0.2
2010-11,30.0,CLE,NBA,SF,40.0,13.0,764.0,5.1,12.8,0.402,1.8,6.4,0.284,3.3,6.3,0.521,0.7,0.7,0.909,0.9,7.0,8.0,3.0,1.7,1.8,1.1,2.6,12.8,102.0,110.0,10.7,0.488,0.503,0.058,2.0,16.1,8.9,9.3,1.7,2.7,8.1,12.5,0.2,0.5,0.7,0.043,-1.4,0.6,-0.8,0.2
2010-11,30.0,LAC,NBA,SF,19.0,7.0,278.0,4.6,11.0,0.424,2.0,5.2,0.393,2.6,5.8,0.452,0.9,1.1,0.833,1.7,7.1,8.7,1.3,0.6,1.1,0.9,4.8,12.3,112.0,111.0,8.4,0.535,0.475,0.102,3.8,15.9,9.9,3.8,0.6,1.7,7.5,10.7,0.2,0.2,0.4,0.068,-1.8,0.0,-1.9,0.0
2011-12,31.0,CHA,NBA,SF,8.0,0.0,123.0,3.0,10.3,0.292,0.9,4.3,0.2,2.1,6.0,0.357,0.9,0.9,1.0,0.9,8.6,9.4,2.1,0.4,2.1,3.4,2.1,7.7,64.0,110.0,3.4,0.362,0.417,0.083,1.8,19.3,10.3,6.4,0.4,3.0,24.3,12.3,-0.3,0.0,-0.3,-0.1,-6.4,-0.9,-7.3,-0.2
Career,,,NBA,,286.0,157.0,6451.0,5.9,12.8,0.461,1.4,4.4,0.329,4.5,8.4,0.53,1.5,1.9,0.803,1.6,8.4,10.0,2.4,1.9,1.9,1.2,3.5,14.7,111.0,105.0,13.1,0.541,0.343,0.146,3.7,18.7,11.2,6.8,1.9,2.9,8.1,13.1,5.7,8.5,14.3,0.106,-0.4,1.5,1.1,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,132.0,114.0,3545.0,6.4,13.3,0.481,1.2,3.5,0.336,5.2,9.8,0.532,1.8,2.2,0.787,2.1,8.8,10.9,2.4,2.2,2.3,1.2,3.5,15.7,113.0,104.0,14.7,0.55,0.26,0.168,4.7,19.8,12.2,6.8,2.2,3.4,7.9,13.7,3.8,5.3,9.1,0.123,0.2,2.0,2.2,3.8
2 seasons,,CLE,NBA,,101.0,15.0,1816.0,5.5,12.5,0.436,1.7,5.6,0.303,3.8,6.9,0.544,1.3,1.6,0.821,1.1,7.7,8.9,2.7,1.7,1.6,1.1,3.1,13.9,109.0,106.0,11.8,0.526,0.447,0.128,2.7,17.1,10.0,7.9,1.7,2.4,8.0,12.7,1.3,2.2,3.6,0.094,-0.7,1.2,0.5,1.2
1 season,,MIA,NBA,,26.0,21.0,689.0,5.6,12.2,0.459,2.1,5.7,0.37,3.5,6.5,0.536,1.0,1.2,0.867,0.8,8.2,9.0,1.9,1.6,1.2,0.9,3.7,14.3,114.0,107.0,11.6,0.562,0.465,0.096,1.7,18.6,10.1,5.5,1.6,1.9,6.8,12.0,0.6,0.8,1.5,0.103,-0.9,0.7,-0.2,0.3
1 season,,LAC,NBA,,19.0,7.0,278.0,4.6,11.0,0.424,2.0,5.2,0.393,2.6,5.8,0.452,0.9,1.1,0.833,1.7,7.1,8.7,1.3,0.6,1.1,0.9,4.8,12.3,112.0,111.0,8.4,0.535,0.475,0.102,3.8,15.9,9.9,3.8,0.6,1.7,7.5,10.7,0.2,0.2,0.4,0.068,-1.8,0.0,-1.9,0.0
1 season,,CHA,NBA,,8.0,0.0,123.0,3.0,10.3,0.292,0.9,4.3,0.2,2.1,6.0,0.357,0.9,0.9,1.0,0.9,8.6,9.4,2.1,0.4,2.1,3.4,2.1,7.7,64.0,110.0,3.4,0.362,0.417,0.083,1.8,19.3,10.3,6.4,0.4,3.0,24.3,12.3,-0.3,0.0,-0.3,-0.1,-6.4,-0.9,-7.3,-0.2
