Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1999-00,23.0,DEN,NBA,SF,81.0,77.0,2052.0,5.7,13.2,0.429,2.0,5.4,0.373,3.7,7.8,0.468,3.0,3.7,0.8,2.1,5.7,7.8,3.6,2.4,0.8,2.3,5.1,16.3,109.0,105.0,13.0,0.55,0.41,0.28,4.5,12.4,8.4,10.8,2.4,1.1,13.6,14.8,2.5,1.9,4.3,0.101,-0.5,1.2,0.7,1.4
2000-01,24.0,DEN,NBA,SF,82.0,82.0,2255.0,5.6,13.6,0.412,1.5,5.0,0.3,4.1,8.6,0.477,2.6,3.2,0.816,2.9,7.0,9.9,3.7,2.1,0.9,2.3,5.2,15.3,104.0,105.0,12.5,0.511,0.368,0.239,5.9,14.9,10.4,11.2,2.1,1.2,13.5,14.9,2.1,1.7,3.8,0.08,-1.0,0.6,-0.4,0.9
2001-02,25.0,DEN,NBA,SF,73.0,63.0,2238.0,6.6,17.5,0.376,1.6,5.6,0.283,5.0,11.8,0.421,3.8,4.8,0.793,2.6,7.6,10.2,4.3,2.7,0.9,3.0,5.3,18.6,98.0,105.0,12.9,0.474,0.322,0.276,5.3,17.1,10.9,13.1,2.7,1.3,13.3,19.1,0.6,2.2,2.7,0.058,-1.5,0.7,-0.8,0.7
2002-03,26.0,TOT,NBA,SF,83.0,71.0,2518.0,6.6,16.0,0.411,1.5,4.9,0.306,5.1,11.1,0.457,4.4,5.2,0.833,1.9,7.2,9.1,3.9,2.3,0.3,3.1,4.2,19.0,103.0,102.0,13.5,0.519,0.305,0.327,4.1,15.4,9.8,12.7,2.3,0.4,14.3,18.1,2.3,3.1,5.4,0.104,-0.5,1.0,0.6,1.7
2002-03,26.0,DEN,NBA,SF,25.0,24.0,872.0,7.3,19.6,0.373,1.5,5.3,0.273,5.9,14.3,0.411,5.2,6.2,0.843,2.3,6.5,8.8,4.7,1.8,0.4,4.0,3.8,21.3,95.0,103.0,12.3,0.477,0.272,0.315,4.8,15.0,9.7,16.5,1.8,0.5,15.2,22.2,0.0,1.0,1.0,0.055,-0.5,0.6,0.1,0.5
2002-03,26.0,HOU,NBA,SF,58.0,47.0,1646.0,6.2,14.1,0.439,1.5,4.6,0.326,4.7,9.4,0.495,3.9,4.7,0.826,1.7,7.5,9.2,3.5,2.5,0.3,2.6,4.4,17.8,110.0,102.0,14.2,0.551,0.329,0.336,3.7,15.7,9.8,10.8,2.5,0.4,13.7,16.0,2.3,2.1,4.4,0.129,-0.5,1.3,0.8,1.2
2003-04,27.0,MEM,NBA,SG,82.0,82.0,2451.0,7.9,16.5,0.478,2.4,6.2,0.386,5.5,10.3,0.533,6.0,7.2,0.83,2.0,6.7,8.6,2.6,2.9,0.9,2.4,5.3,24.1,119.0,101.0,18.8,0.614,0.377,0.435,4.2,14.5,9.3,8.4,2.9,1.2,10.9,18.9,6.8,3.2,10.0,0.195,2.3,1.4,3.7,3.5
2004-05,28.0,MEM,NBA,SF,50.0,18.0,1382.0,5.0,14.0,0.357,2.2,7.0,0.309,2.8,7.0,0.404,3.8,4.4,0.865,1.8,6.8,8.6,3.5,1.9,0.9,2.7,5.3,15.9,100.0,103.0,10.5,0.5,0.5,0.312,3.9,15.0,9.5,10.3,1.9,1.3,14.6,16.2,0.4,1.9,2.3,0.079,-1.6,0.9,-0.7,0.5
2005-06,29.0,MIA,NBA,SF,67.0,63.0,1914.0,4.4,10.8,0.403,3.2,7.9,0.403,1.2,2.9,0.4,1.3,1.7,0.787,0.9,7.8,8.7,2.4,1.5,0.5,1.6,5.4,13.2,112.0,105.0,9.8,0.572,0.734,0.154,2.1,16.9,9.8,6.8,1.5,0.8,12.1,11.6,1.8,2.4,4.2,0.104,-0.8,1.0,0.1,1.0
2006-07,30.0,MIA,NBA,SF,71.0,19.0,1919.0,5.2,12.0,0.431,2.7,7.2,0.375,2.5,4.8,0.514,2.3,2.7,0.827,1.8,8.1,9.9,2.6,2.0,0.6,1.5,5.4,15.3,116.0,104.0,12.7,0.579,0.6,0.227,4.2,17.5,11.0,7.7,2.0,0.9,10.4,13.1,2.6,2.6,5.2,0.13,-0.3,1.1,0.9,1.4
2007-08,31.0,BOS,NBA,PF,74.0,2.0,1821.0,5.0,12.0,0.418,3.1,8.1,0.38,1.9,3.9,0.496,2.7,3.3,0.809,0.9,8.5,9.3,3.3,2.1,0.6,1.9,5.3,15.8,114.0,98.0,12.0,0.587,0.674,0.278,2.1,18.0,10.5,9.5,2.1,0.9,12.3,13.5,2.2,4.0,6.2,0.164,0.0,2.5,2.5,2.1
2008-09,32.0,NOH,NBA,SG,75.0,0.0,2140.0,5.5,13.4,0.412,3.0,8.0,0.369,2.6,5.4,0.476,3.1,3.7,0.822,1.0,8.3,9.2,2.1,1.5,0.5,2.0,5.5,17.1,109.0,107.0,10.8,0.568,0.599,0.279,2.2,18.3,10.2,6.0,1.5,0.8,11.8,15.0,1.7,2.6,4.2,0.095,-1.3,0.4,-1.0,0.6
2009-10,33.0,NOH,NBA,SF,77.0,2.0,1731.0,3.8,10.3,0.365,2.4,7.2,0.335,1.3,3.1,0.437,2.0,2.4,0.825,1.0,8.9,9.8,3.5,1.3,0.6,1.5,6.1,11.9,108.0,110.0,8.7,0.525,0.701,0.232,2.1,20.5,11.2,9.3,1.3,0.8,11.8,11.4,1.0,1.4,2.4,0.067,-2.4,0.6,-1.8,0.1
2010-11,34.0,IND,NBA,SF,49.0,0.0,839.0,4.9,14.6,0.336,4.0,12.8,0.316,0.8,1.8,0.483,0.7,0.9,0.733,0.6,8.3,8.9,2.1,1.4,0.4,1.4,6.2,14.5,98.0,106.0,7.5,0.485,0.88,0.062,1.3,18.0,9.7,6.1,1.4,0.5,8.8,14.3,0.0,1.0,1.0,0.056,-2.6,0.5,-2.0,0.0
Career,,,NBA,,864.0,479.0,23260.0,5.7,13.8,0.41,2.3,6.7,0.349,3.3,7.1,0.467,3.2,3.9,0.82,1.7,7.5,9.2,3.2,2.1,0.7,2.2,5.3,16.8,108.0,104.0,12.4,0.542,0.487,0.279,3.7,16.4,10.1,9.6,2.1,1.0,12.5,15.3,23.8,27.8,51.6,0.107,-0.7,1.0,0.3,13.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DEN,NBA,,261.0,246.0,7417.0,6.1,15.3,0.398,1.7,5.3,0.312,4.4,10.0,0.445,3.4,4.2,0.809,2.5,6.8,9.3,4.0,2.3,0.8,2.7,5.0,17.3,102.0,105.0,12.7,0.503,0.349,0.273,5.2,14.9,9.9,12.3,2.3,1.1,13.7,17.0,5.1,6.7,11.8,0.076,-1.0,0.8,-0.2,3.4
2 seasons,,NOH,NBA,,152.0,2.0,3871.0,4.7,12.0,0.394,2.7,7.7,0.354,2.0,4.3,0.463,2.6,3.1,0.823,1.0,8.6,9.5,2.7,1.4,0.6,1.8,5.8,14.7,108.0,108.0,9.9,0.551,0.64,0.26,2.1,19.3,10.6,7.5,1.4,0.8,11.8,13.4,2.7,3.9,6.6,0.082,-1.8,0.5,-1.4,0.6
2 seasons,,MIA,NBA,,138.0,82.0,3833.0,4.8,11.4,0.417,3.0,7.6,0.39,1.8,3.8,0.471,1.8,2.2,0.811,1.4,8.0,9.3,2.5,1.7,0.6,1.6,5.4,14.3,114.0,104.0,11.3,0.576,0.664,0.192,3.1,17.2,10.4,7.2,1.7,0.9,11.2,12.3,4.4,4.9,9.4,0.117,-0.6,1.1,0.5,2.4
2 seasons,,MEM,NBA,,132.0,100.0,3833.0,6.9,15.6,0.44,2.3,6.5,0.357,4.5,9.1,0.498,5.2,6.2,0.839,1.9,6.7,8.6,2.9,2.6,0.9,2.5,5.3,21.2,113.0,102.0,15.8,0.579,0.416,0.396,4.1,14.7,9.4,9.1,2.6,1.2,12.0,17.9,7.1,5.1,12.2,0.153,0.9,1.2,2.1,4.0
1 season,,BOS,NBA,,74.0,2.0,1821.0,5.0,12.0,0.418,3.1,8.1,0.38,1.9,3.9,0.496,2.7,3.3,0.809,0.9,8.5,9.3,3.3,2.1,0.6,1.9,5.3,15.8,114.0,98.0,12.0,0.587,0.674,0.278,2.1,18.0,10.5,9.5,2.1,0.9,12.3,13.5,2.2,4.0,6.2,0.164,0.0,2.5,2.5,2.1
1 season,,HOU,NBA,,58.0,47.0,1646.0,6.2,14.1,0.439,1.5,4.6,0.326,4.7,9.4,0.495,3.9,4.7,0.826,1.7,7.5,9.2,3.5,2.5,0.3,2.6,4.4,17.8,110.0,102.0,14.2,0.551,0.329,0.336,3.7,15.7,9.8,10.8,2.5,0.4,13.7,16.0,2.3,2.1,4.4,0.129,-0.5,1.3,0.8,1.2
