Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,22.0,CLE,NBA,SF,41.0,3.0,427.0,6.4,16.0,0.403,2.6,5.4,0.477,3.8,10.5,0.365,2.5,3.0,0.833,2.4,4.5,6.8,1.7,1.6,0.2,2.6,5.1,17.9,101.0,107.0,10.2,0.519,0.341,0.186,4.9,9.3,7.1,5.3,1.6,0.3,13.1,16.8,0.3,0.2,0.5,0.056,-1.5,-1.1,-2.6,-0.1
2004-05,23.0,CHA,NBA,SF,81.0,14.0,1491.0,9.4,23.4,0.401,2.8,6.8,0.412,6.6,16.6,0.396,2.4,3.0,0.824,1.1,4.6,5.7,2.1,1.4,0.2,1.6,4.6,24.0,101.0,111.0,11.8,0.486,0.289,0.127,2.3,10.7,6.3,7.3,1.4,0.3,6.1,22.4,0.6,0.7,1.3,0.043,-0.8,-1.6,-2.4,-0.1
2005-06,24.0,MIA,NBA,SF,51.0,2.0,665.0,6.2,14.0,0.446,1.7,4.2,0.396,4.6,9.8,0.468,2.2,2.6,0.848,0.9,4.7,5.6,2.9,0.6,0.2,1.6,7.0,16.3,110.0,109.0,9.0,0.54,0.299,0.186,2.2,10.0,6.3,8.6,0.6,0.3,9.5,14.7,0.7,0.5,1.2,0.085,-2.3,-0.5,-2.8,-0.1
2006-07,25.0,MIA,NBA,SF,67.0,35.0,1767.0,8.4,17.0,0.494,3.3,6.3,0.514,5.1,10.7,0.482,2.0,2.2,0.892,0.8,4.7,5.4,2.4,1.1,0.1,2.1,4.1,22.0,114.0,109.0,13.8,0.613,0.373,0.131,1.8,10.0,6.0,7.9,1.1,0.1,10.5,17.9,2.9,1.3,4.2,0.114,0.5,-1.0,-0.5,0.7
2007-08,26.0,TOR,NBA,SF,81.0,7.0,1530.0,8.4,17.3,0.488,2.0,4.1,0.483,6.5,13.2,0.489,1.3,1.5,0.86,1.1,3.1,4.2,2.3,1.2,0.1,2.0,4.6,20.2,105.0,111.0,10.8,0.561,0.237,0.086,2.4,6.9,4.6,6.7,1.2,0.1,10.1,17.7,1.0,0.9,1.9,0.06,-1.9,-0.7,-2.7,-0.3
2008-09,27.0,TOR,NBA,SG,80.0,12.0,1831.0,7.4,17.2,0.432,2.8,6.5,0.428,4.6,10.7,0.435,1.0,1.2,0.81,0.7,3.9,4.6,3.0,0.6,0.1,2.0,4.1,18.6,101.0,115.0,8.9,0.525,0.379,0.07,1.7,8.7,5.2,9.1,0.6,0.1,10.1,17.4,0.3,0.5,0.8,0.021,-1.9,-1.4,-3.2,-0.6
2009-10,28.0,PHI,NBA,SF,57.0,12.0,976.0,6.8,16.2,0.419,3.4,9.2,0.368,3.4,7.0,0.485,0.5,0.8,0.6,0.8,2.8,3.5,2.1,1.1,0.3,1.8,4.3,17.4,103.0,115.0,8.4,0.527,0.568,0.05,1.7,6.4,4.0,6.1,1.1,0.5,10.0,15.9,0.3,0.1,0.5,0.023,-1.9,-2.2,-4.0,-0.5
2010-11,29.0,PHI,NBA,SF,24.0,2.0,112.0,3.3,13.1,0.25,0.5,3.7,0.125,2.8,9.3,0.3,0.5,0.9,0.5,1.4,3.7,5.1,1.9,0.9,0.5,0.9,1.9,7.5,68.0,109.0,1.6,0.277,0.286,0.071,3.1,8.2,5.7,5.0,0.9,0.7,6.5,12.7,-0.3,0.1,-0.2,-0.07,-5.7,-1.7,-7.4,-0.2
2011-12,30.0,LAL,NBA,SG,27.0,0.0,269.0,4.1,10.8,0.382,1.6,5.3,0.296,2.6,5.5,0.464,0.8,0.8,1.0,0.4,2.4,2.8,2.2,0.6,0.0,1.2,4.1,10.6,99.0,111.0,4.5,0.476,0.491,0.073,0.9,4.8,2.9,6.0,0.6,0.0,9.6,10.7,0.0,0.1,0.1,0.021,-4.1,-0.5,-4.6,-0.2
Career,,,NBA,,509.0,87.0,9068.0,7.8,17.6,0.442,2.7,6.1,0.434,5.1,11.5,0.446,1.6,1.9,0.835,1.0,3.9,4.9,2.4,1.0,0.1,1.9,4.5,19.7,105.0,111.0,10.5,0.536,0.348,0.106,2.1,8.7,5.4,7.5,1.0,0.2,9.4,17.7,5.8,4.5,10.3,0.055,-1.4,-1.2,-2.6,-1.3
