Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,22.0,SAC,NBA,PF,82.0,56.0,2303.0,7.9,15.9,0.497,0.0,0.2,0.0,7.9,15.7,0.502,4.4,6.3,0.692,5.2,8.2,13.4,2.1,1.0,1.3,3.2,6.9,20.1,106.0,114.0,13.9,0.54,0.011,0.399,11.8,19.0,15.4,6.8,1.0,1.9,14.8,19.3,1.8,0.9,2.7,0.057,-2.0,-2.2,-4.2,-1.3
2009-10,23.0,SAC,NBA,C,75.0,58.0,2357.0,8.0,17.0,0.472,0.0,0.2,0.1,8.0,16.8,0.477,4.3,6.0,0.715,4.9,8.9,13.8,2.7,0.9,1.6,3.0,6.0,20.3,106.0,109.0,14.5,0.518,0.013,0.353,10.8,20.3,15.5,8.3,0.9,2.3,13.3,19.6,1.9,2.0,4.0,0.081,-1.6,-0.8,-2.4,-0.2
2010-11,24.0,SAC,NBA,PF,75.0,39.0,1748.0,7.8,15.4,0.507,0.0,0.1,0.0,7.8,15.3,0.51,3.5,5.8,0.605,4.2,8.9,13.1,2.5,0.8,1.3,2.9,6.1,19.1,106.0,109.0,13.6,0.533,0.006,0.375,9.1,20.7,14.8,7.9,0.8,1.8,13.7,17.9,1.4,1.5,2.9,0.079,-1.7,-0.5,-2.2,-0.1
2011-12,25.0,SAC,NBA,PF,64.0,47.0,1657.0,7.3,13.6,0.535,0.0,0.1,0.0,7.3,13.5,0.537,3.3,5.5,0.602,5.1,8.5,13.6,2.4,1.3,1.3,2.1,4.6,17.8,115.0,109.0,16.4,0.558,0.005,0.409,10.5,19.3,14.7,7.5,1.3,1.9,11.5,15.5,3.1,0.8,3.9,0.114,0.2,-1.1,-0.9,0.5
2012-13,26.0,SAC,NBA,PF,82.0,81.0,2285.0,8.4,16.7,0.502,0.0,0.1,0.0,8.4,16.6,0.504,3.2,4.6,0.694,3.9,8.5,12.3,1.9,1.1,1.4,2.3,5.1,20.0,108.0,111.0,14.6,0.533,0.004,0.277,8.4,19.5,13.8,6.0,1.1,2.1,10.8,18.2,2.7,0.9,3.6,0.075,-1.0,-1.6,-2.6,-0.3
2013-14,27.0,SAC,NBA,PF,82.0,61.0,2007.0,6.4,12.6,0.506,0.0,0.0,,6.4,12.6,0.506,2.1,3.7,0.579,3.9,9.5,13.4,1.3,0.8,1.4,2.4,6.4,14.9,103.0,108.0,11.1,0.523,0.0,0.292,8.5,21.3,14.8,4.1,0.8,2.3,14.5,14.4,0.9,1.7,2.7,0.064,-2.9,-0.4,-3.2,-0.6
2014-15,28.0,SAC,NBA,PF,81.0,63.0,1991.0,5.1,10.8,0.47,0.0,0.0,0.0,5.1,10.8,0.471,2.3,3.6,0.622,3.5,9.9,13.4,2.1,0.8,1.4,2.1,6.0,12.4,103.0,108.0,10.2,0.5,0.002,0.334,8.2,21.5,15.1,6.5,0.8,2.3,14.6,12.7,0.9,1.5,2.4,0.057,-2.6,-0.2,-2.8,-0.4
2015-16,29.0,TOT,NBA,C,47.0,7.0,471.0,5.6,11.5,0.481,0.5,1.6,0.333,5.0,9.9,0.505,4.1,5.8,0.704,3.4,10.9,14.3,3.1,1.3,2.1,1.6,8.6,15.7,119.0,102.0,14.2,0.558,0.139,0.5,7.9,23.4,15.9,8.5,1.3,3.3,10.2,13.9,0.9,0.7,1.6,0.165,-2.1,1.2,-0.8,0.1
2015-16,29.0,GSW,NBA,C,28.0,1.0,179.0,5.4,11.3,0.476,0.0,0.0,,5.4,11.3,0.476,5.4,8.6,0.625,2.7,11.9,14.6,5.1,1.1,2.2,1.9,10.8,16.2,116.0,101.0,13.3,0.535,0.0,0.762,6.4,25.0,16.2,13.9,1.1,3.3,11.1,15.2,0.3,0.3,0.6,0.169,-3.4,2.2,-1.3,0.0
2015-16,29.0,TOR,NBA,C,19.0,6.0,292.0,5.7,11.7,0.485,0.9,2.7,0.333,4.8,9.0,0.529,3.2,3.9,0.818,3.9,10.3,14.2,1.8,1.4,2.1,1.4,7.1,15.4,121.0,103.0,14.7,0.575,0.227,0.333,8.8,22.4,15.7,5.3,1.4,3.4,9.6,13.0,0.6,0.4,1.0,0.163,-1.2,0.6,-0.6,0.1
Career,,,NBA,,588.0,412.0,14819.0,7.2,14.6,0.496,0.0,0.1,0.143,7.2,14.4,0.5,3.4,5.1,0.657,4.3,9.0,13.3,2.2,1.0,1.4,2.6,6.0,17.9,107.0,110.0,13.5,0.53,0.01,0.351,9.6,20.3,14.9,6.8,1.0,2.1,13.2,16.9,13.6,10.1,23.8,0.077,-1.7,-0.9,-2.6,-2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
