Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,26.0,BOS,NBA,SG,48.0,2.0,468.0,6.5,13.0,0.5,0.9,3.4,0.273,5.6,9.6,0.581,2.9,4.3,0.667,2.5,7.1,9.6,2.7,2.5,0.8,2.4,4.4,16.8,110.0,106.0,13.1,0.564,0.262,0.333,5.6,15.6,10.6,7.7,2.5,1.6,13.7,15.3,0.4,0.8,1.1,0.113,-2.1,1.4,-0.7,0.2
2020-21,27.0,TOT,NBA,"SF,SG",41.0,2.0,473.0,5.5,10.5,0.52,1.0,3.1,0.333,4.4,7.4,0.597,3.1,4.1,0.75,2.7,4.6,7.3,1.8,2.9,0.6,2.0,4.6,15.0,118.0,111.0,12.1,0.61,0.294,0.392,6.1,10.6,8.3,4.8,2.9,1.1,13.7,12.6,0.5,0.6,1.1,0.107,-2.2,1.7,-0.5,0.2
2020-21,27.0,BOS,NBA,SF,25.0,2.0,345.0,5.5,10.1,0.549,1.0,3.1,0.318,4.5,6.9,0.653,2.8,4.2,0.667,2.8,4.5,7.4,1.6,2.5,0.3,1.8,4.5,14.9,120.0,113.0,11.8,0.624,0.31,0.423,6.4,10.4,8.4,4.3,2.5,0.5,13.4,12.1,0.4,0.3,0.8,0.105,-1.7,1.3,-0.5,0.1
2020-21,27.0,CHI,NBA,SG,16.0,0.0,128.0,5.3,11.7,0.452,1.1,3.0,0.375,4.2,8.7,0.478,3.8,3.8,1.0,2.3,4.9,7.2,2.3,3.8,1.5,2.3,4.9,15.5,112.0,107.0,13.1,0.579,0.258,0.323,5.3,11.1,8.2,6.1,3.8,2.7,14.5,14.0,0.1,0.2,0.3,0.114,-3.4,2.8,-0.6,0.0
2021-22,28.0,CHI,NBA,SF,65.0,45.0,1519.0,5.7,10.4,0.542,1.2,3.2,0.356,4.5,7.2,0.625,2.6,3.1,0.833,2.9,5.9,8.9,1.9,2.2,1.0,1.0,4.2,15.0,131.0,112.0,14.0,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,0.139,-0.6,0.7,0.1,0.8
2022-23,29.0,CHI,NBA,SG,30.0,1.0,464.0,6.4,11.0,0.581,1.4,3.6,0.382,5.0,7.4,0.676,3.0,4.5,0.674,2.7,6.1,8.8,2.4,2.4,2.2,2.1,5.2,17.2,124.0,109.0,15.0,0.662,0.324,0.41,6.5,13.9,10.3,6.7,2.4,4.4,13.9,13.7,0.7,0.8,1.4,0.148,-0.8,2.6,1.9,0.5
Career,,,NBA,,184.0,50.0,2924.0,5.9,11.0,0.536,1.1,3.3,0.343,4.7,7.7,0.62,2.8,3.7,0.756,2.8,5.9,8.7,2.1,2.4,1.1,1.5,4.5,15.7,124.0,111.0,13.7,0.623,0.301,0.336,6.4,13.5,10.0,5.8,2.4,2.1,10.9,12.6,4.4,3.6,8.0,0.131,-1.1,1.3,0.2,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHI,NBA,,111.0,46.0,2111.0,5.8,10.7,0.544,1.2,3.3,0.364,4.6,7.3,0.626,2.7,3.4,0.799,2.8,5.9,8.8,2.1,2.3,1.3,1.3,4.5,15.5,128.0,111.0,14.2,0.639,0.31,0.323,6.6,13.5,10.1,5.6,2.3,2.4,9.6,12.1,3.6,2.5,6.1,0.139,-0.8,1.3,0.5,1.3
2 seasons,,BOS,NBA,,73.0,4.0,813.0,6.1,11.8,0.518,1.0,3.3,0.291,5.1,8.5,0.606,2.9,4.3,0.667,2.6,6.0,8.7,2.2,2.5,0.6,2.1,4.5,16.0,114.0,109.0,12.5,0.586,0.279,0.365,5.9,13.4,9.7,6.3,2.5,1.1,13.6,13.9,0.8,1.1,1.9,0.11,-1.9,1.3,-0.6,0.3
