Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,22.0,POR,NBA,C,39.0,4.0,405.0,5.8,8.8,0.662,0.0,0.0,,5.8,8.8,0.662,2.4,2.7,0.9,3.4,9.9,13.2,0.1,0.9,2.2,1.6,10.3,14.0,130.0,105.0,12.1,0.705,0.0,0.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,0.8,0.6,1.3,0.156,-3.4,0.4,-3.0,-0.1
2011-12,24.0,IND,NBA,C,20.0,1.0,106.0,7.5,18.0,0.417,0.0,0.0,,7.5,18.0,0.417,2.0,3.5,0.571,6.0,10.5,16.5,2.0,1.5,1.0,1.0,8.0,17.0,105.0,101.0,13.4,0.435,0.0,0.194,12.8,22.1,17.5,6.3,1.5,1.5,4.9,17.6,0.1,0.2,0.3,0.115,-1.9,-1.0,-2.8,0.0
2012-13,25.0,IND,NBA,PF,37.0,0.0,369.0,8.8,18.2,0.484,0.3,0.6,0.5,8.5,17.6,0.484,3.0,3.3,0.913,4.2,10.8,15.0,2.2,0.9,1.7,3.3,6.3,20.9,104.0,99.0,14.5,0.533,0.032,0.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,0.3,0.7,1.0,0.129,-1.9,0.9,-1.0,0.1
2013-14,26.0,SAS,NBA,PF,73.0,10.0,952.0,5.4,9.2,0.58,0.0,0.0,,5.4,9.2,0.58,2.0,2.9,0.691,4.7,9.0,13.7,3.2,0.7,1.3,3.3,7.8,12.7,110.0,103.0,11.1,0.605,0.0,0.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,1.0,1.4,2.4,0.121,-3.0,1.0,-2.1,0.0
2014-15,27.0,SAS,NBA,PF,51.0,0.0,383.0,7.4,12.7,0.579,0.0,0.0,,7.4,12.7,0.579,3.6,4.8,0.75,4.9,10.7,15.6,1.9,1.1,1.1,3.5,8.0,18.3,112.0,101.0,14.4,0.618,0.0,0.379,11.2,23.3,17.3,5.5,1.1,1.6,19.0,16.3,0.6,0.6,1.2,0.147,-2.4,0.3,-2.2,0.0
2015-16,28.0,LAC,NBA,C,17.0,0.0,107.0,5.6,10.8,0.522,0.0,0.5,0.0,5.6,10.3,0.545,2.8,2.8,1.0,1.9,8.4,10.3,2.3,0.0,1.4,2.8,8.4,14.0,105.0,106.0,8.3,0.585,0.043,0.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.1,0.1,0.2,0.077,-5.6,-0.5,-6.1,-0.1
Career,,,NBA,,237.0,15.0,2322.0,6.4,11.6,0.553,0.0,0.1,0.4,6.4,11.5,0.554,2.5,3.3,0.776,4.4,9.7,14.1,2.2,0.8,1.5,2.9,8.0,15.4,111.0,102.0,12.4,0.591,0.01,0.283,9.9,21.0,15.5,6.3,0.8,2.1,18.4,14.1,2.8,3.6,6.3,0.131,-2.9,0.6,-2.3,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAS,NBA,,124.0,10.0,1335.0,5.9,10.2,0.58,0.0,0.0,,5.9,10.2,0.58,2.5,3.5,0.714,4.8,9.5,14.2,2.8,0.8,1.3,3.4,7.8,14.3,111.0,102.0,12.1,0.61,0.0,0.338,11.0,20.4,15.9,7.7,0.8,1.8,22.4,13.5,1.6,2.0,3.6,0.129,-2.9,0.8,-2.1,0.0
2 seasons,,IND,NBA,,57.0,1.0,475.0,8.5,18.1,0.469,0.2,0.4,0.5,8.3,17.7,0.468,2.8,3.4,0.833,4.6,10.7,15.3,2.1,1.0,1.6,2.8,6.7,20.0,104.0,99.0,14.3,0.511,0.025,0.185,9.8,22.2,16.1,7.0,1.0,2.2,12.5,19.2,0.4,0.9,1.2,0.126,-1.9,0.5,-1.4,0.1
1 season,,POR,NBA,,39.0,4.0,405.0,5.8,8.8,0.662,0.0,0.0,,5.8,8.8,0.662,2.4,2.7,0.9,3.4,9.9,13.2,0.1,0.9,2.2,1.6,10.3,14.0,130.0,105.0,12.1,0.705,0.0,0.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,0.8,0.6,1.3,0.156,-3.4,0.4,-3.0,-0.1
1 season,,LAC,NBA,,17.0,0.0,107.0,5.6,10.8,0.522,0.0,0.5,0.0,5.6,10.3,0.545,2.8,2.8,1.0,1.9,8.4,10.3,2.3,0.0,1.4,2.8,8.4,14.0,105.0,106.0,8.3,0.585,0.043,0.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.1,0.1,0.2,0.077,-5.6,-0.5,-6.1,-0.1
