Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2021-22,24.0,TOT,NBA,PG,9.0,0.0,108.0,3.6,11.7,0.308,0.4,4.0,0.111,3.1,7.6,0.412,0.9,0.9,1.0,3.6,4.5,8.1,4.5,2.2,0.4,2.2,2.2,8.5,87.0,112.0,6.8,0.353,0.346,0.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,-0.1,0.1,0.0,-0.01,-5.7,0.1,-5.6,-0.1
2021-22,24.0,GSW,NBA,PG,4.0,0.0,28.0,5.2,10.4,0.5,0.0,1.7,0.0,5.2,8.7,0.6,0.0,0.0,,1.7,10.4,12.2,5.2,0.0,1.7,1.7,3.5,10.4,108.0,108.0,9.5,0.5,0.167,0.0,4.0,22.7,13.7,14.6,0.0,3.4,14.3,10.9,0.0,0.0,0.1,0.089,-4.3,0.7,-3.6,0.0
2021-22,24.0,MIL,NBA,PG,1.0,0.0,3.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-12.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,-0.344,-15.7,-6.9,-22.6,0.0
2021-22,24.0,ORL,NBA,PG,4.0,0.0,77.0,3.1,11.9,0.263,0.6,4.4,0.143,2.5,7.5,0.333,1.3,1.3,1.0,4.4,2.5,6.9,4.4,3.1,0.0,2.5,1.9,8.2,84.0,113.0,6.5,0.327,0.368,0.105,9.6,5.5,7.5,12.5,3.1,0.0,16.8,13.4,-0.1,0.1,-0.1,-0.033,-5.8,0.2,-5.6,-0.1
2022-23,25.0,TOR,NBA,PG,20.0,0.0,195.0,5.8,12.9,0.451,1.0,3.3,0.308,4.8,9.6,0.5,1.3,1.8,0.714,1.5,3.5,5.1,5.3,1.8,0.3,1.3,3.0,13.9,115.0,117.0,10.3,0.509,0.255,0.137,3.3,8.8,5.8,14.5,1.8,0.5,8.5,12.9,0.1,0.1,0.3,0.068,-2.9,0.7,-2.2,0.0
Career,,,NBA,,29.0,0.0,303.0,5.0,12.5,0.403,0.8,3.6,0.227,4.2,8.9,0.473,1.1,1.5,0.778,2.3,3.9,6.1,5.0,1.9,0.3,1.6,2.8,12.0,104.0,115.0,9.0,0.457,0.286,0.117,4.9,9.2,6.9,13.8,1.9,0.6,11.0,12.9,0.0,0.3,0.3,0.04,-3.9,0.5,-3.4,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,TOR,NBA,,20.0,0.0,195.0,5.8,12.9,0.451,1.0,3.3,0.308,4.8,9.6,0.5,1.3,1.8,0.714,1.5,3.5,5.1,5.3,1.8,0.3,1.3,3.0,13.9,115.0,117.0,10.3,0.509,0.255,0.137,3.3,8.8,5.8,14.5,1.8,0.5,8.5,12.9,0.1,0.1,0.3,0.068,-2.9,0.7,-2.2,0.0
1 season,,GSW,NBA,,4.0,0.0,28.0,5.2,10.4,0.5,0.0,1.7,0.0,5.2,8.7,0.6,0.0,0.0,,1.7,10.4,12.2,5.2,0.0,1.7,1.7,3.5,10.4,108.0,108.0,9.5,0.5,0.167,0.0,4.0,22.7,13.7,14.6,0.0,3.4,14.3,10.9,0.0,0.0,0.1,0.089,-4.3,0.7,-3.6,0.0
1 season,,ORL,NBA,,4.0,0.0,77.0,3.1,11.9,0.263,0.6,4.4,0.143,2.5,7.5,0.333,1.3,1.3,1.0,4.4,2.5,6.9,4.4,3.1,0.0,2.5,1.9,8.2,84.0,113.0,6.5,0.327,0.368,0.105,9.6,5.5,7.5,12.5,3.1,0.0,16.8,13.4,-0.1,0.1,-0.1,-0.033,-5.8,0.2,-5.6,-0.1
1 season,,MIL,NBA,,1.0,0.0,3.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-12.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,-0.344,-15.7,-6.9,-22.6,0.0
