Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,23.0,NOP,NBA,C,58.0,4.0,684.0,5.3,9.8,0.535,0.0,0.1,0.0,5.3,9.7,0.539,4.0,5.6,0.712,3.7,7.7,11.4,2.0,1.1,3.8,1.5,5.6,14.5,122.0,108.0,15.2,0.59,0.008,0.566,8.2,17.4,12.7,5.6,1.1,6.1,11.0,12.0,1.2,0.6,1.8,0.128,-0.5,0.7,0.2,0.4
2014-15,24.0,NOP,NBA,C,37.0,0.0,259.0,6.5,13.0,0.5,0.0,0.0,,6.5,13.0,0.5,6.9,10.1,0.68,4.7,8.3,13.0,2.2,0.8,3.7,2.4,5.3,19.9,116.0,105.0,17.6,0.57,0.0,0.781,10.1,17.9,14.0,6.4,0.8,5.3,12.2,17.3,0.5,0.3,0.8,0.149,-0.4,-0.1,-0.5,0.1
2015-16,25.0,UTA,NBA,C,51.0,10.0,658.0,7.0,13.0,0.537,0.0,0.2,0.0,7.0,12.8,0.544,3.4,4.7,0.729,4.5,9.4,13.9,1.6,1.7,4.2,2.2,6.0,17.4,115.0,99.0,17.7,0.577,0.012,0.364,10.0,20.7,15.4,5.0,1.7,6.8,13.0,15.1,1.1,1.3,2.3,0.171,-1.0,2.0,1.0,0.5
2016-17,26.0,UTA,NBA,C,51.0,1.0,432.0,6.7,12.5,0.534,0.0,0.1,0.0,6.7,12.4,0.539,4.4,5.8,0.75,6.3,8.4,14.7,0.8,1.9,3.9,1.7,6.3,17.7,124.0,100.0,18.8,0.588,0.01,0.466,14.3,17.9,16.2,2.5,1.9,6.0,10.1,14.9,1.0,0.9,1.8,0.205,-0.4,1.9,1.4,0.4
2017-18,27.0,DAL,NBA,C,9.0,0.0,39.0,7.7,20.6,0.375,2.6,12.9,0.2,5.1,7.7,0.667,1.3,2.6,0.5,1.3,11.6,12.9,0.0,0.0,3.9,2.6,3.9,19.3,80.0,106.0,8.3,0.444,0.625,0.125,2.8,26.6,14.2,0.0,0.0,6.8,10.6,22.0,-0.1,0.1,0.0,-0.054,-4.4,-0.6,-5.0,0.0
Career,,,NBA,,206.0,15.0,2072.0,6.3,12.0,0.525,0.1,0.4,0.143,6.2,11.6,0.537,4.2,5.9,0.716,4.6,8.5,13.1,1.6,1.4,3.9,1.9,5.8,16.8,118.0,103.0,16.9,0.578,0.03,0.489,10.2,18.8,14.5,4.8,1.4,6.2,11.7,14.5,3.7,3.1,6.8,0.157,-0.7,1.2,0.5,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,UTA,NBA,,102.0,11.0,1090.0,6.9,12.8,0.536,0.0,0.1,0.0,6.9,12.6,0.542,3.8,5.2,0.738,5.2,9.0,14.2,1.3,1.8,4.1,2.0,6.1,17.5,119.0,99.0,18.1,0.582,0.011,0.404,11.7,19.6,15.7,4.0,1.8,6.5,11.9,15.1,2.0,2.2,4.2,0.185,-0.8,1.9,1.1,0.9
2 seasons,,NOP,NBA,,95.0,4.0,943.0,5.6,10.7,0.523,0.0,0.1,0.0,5.6,10.6,0.526,4.8,6.8,0.699,4.0,7.9,11.8,2.0,1.1,3.8,1.8,5.5,15.9,120.0,107.0,15.9,0.583,0.005,0.637,8.7,17.6,13.1,5.8,1.1,5.9,11.5,13.5,1.7,0.9,2.6,0.134,-0.5,0.5,0.0,0.5
1 season,,DAL,NBA,,9.0,0.0,39.0,7.7,20.6,0.375,2.6,12.9,0.2,5.1,7.7,0.667,1.3,2.6,0.5,1.3,11.6,12.9,0.0,0.0,3.9,2.6,3.9,19.3,80.0,106.0,8.3,0.444,0.625,0.125,2.8,26.6,14.2,0.0,0.0,6.8,10.6,22.0,-0.1,0.1,0.0,-0.054,-4.4,-0.6,-5.0,0.0
