Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010-11,23.0,UTA,NBA,SF,49.0,3.0,463.0,8.7,13.1,0.661,0.0,0.1,0.0,8.7,13.0,0.667,3.0,4.2,0.703,4.1,6.9,11.0,2.7,1.9,1.9,2.2,5.7,20.3,128.0,109.0,18.8,0.678,0.009,0.322,9.3,16.1,12.6,8.5,1.9,3.0,12.6,14.9,1.2,0.4,1.6,0.167,1.5,0.6,2.1,0.5
2011-12,24.0,UTA,NBA,SF,29.0,0.0,217.0,6.5,10.2,0.643,0.0,0.2,0.0,6.5,9.9,0.659,1.9,3.9,0.5,4.6,7.5,12.1,3.1,1.5,5.8,1.2,5.6,15.0,131.0,101.0,19.6,0.632,0.024,0.381,9.9,16.6,13.2,9.1,1.5,8.8,9.3,11.2,0.6,0.3,0.9,0.193,1.5,3.5,5.0,0.4
2012-13,25.0,UTA,NBA,PF,37.0,0.0,215.0,6.6,10.8,0.614,0.0,0.2,0.0,6.6,10.6,0.628,5.2,8.1,0.636,6.4,7.9,14.2,2.7,2.0,3.2,2.0,7.4,18.4,130.0,104.0,19.9,0.641,0.023,0.75,14.0,17.6,15.8,8.0,2.0,4.8,12.0,14.1,0.7,0.3,0.9,0.208,0.9,1.3,2.2,0.2
2013-14,26.0,UTA,NBA,SF,66.0,4.0,1209.0,7.6,14.4,0.527,0.0,0.1,0.0,7.6,14.3,0.53,2.2,3.3,0.68,5.2,8.3,13.5,1.9,1.8,2.0,1.7,6.0,17.4,114.0,109.0,16.2,0.549,0.006,0.226,11.1,18.7,14.8,6.1,1.8,3.0,9.9,15.3,1.9,1.0,2.8,0.112,-0.7,-0.2,-0.9,0.3
2014-15,27.0,UTA,NBA,SF,38.0,0.0,266.0,6.4,11.6,0.552,0.4,1.0,0.4,6.0,10.6,0.566,4.8,5.8,0.828,5.2,9.0,14.2,2.6,2.2,2.4,1.0,5.8,18.0,139.0,101.0,20.5,0.636,0.086,0.5,11.3,19.4,15.4,7.9,2.2,3.6,6.6,13.1,0.9,0.4,1.3,0.241,2.0,2.1,4.2,0.4
2015-16,28.0,DAL,NBA,SF,30.0,2.0,251.0,5.3,9.7,0.542,0.8,3.2,0.25,4.5,6.5,0.688,3.0,4.3,0.714,2.2,8.7,11.0,0.4,1.2,1.8,1.4,3.9,14.4,117.0,105.0,12.6,0.62,0.333,0.438,4.8,18.8,11.8,1.2,1.2,3.0,10.9,11.7,0.3,0.3,0.6,0.119,-1.5,1.0,-0.4,0.1
2017-18,30.0,ATL,NBA,SF,1.0,0.0,5.0,9.8,9.8,1.0,0.0,0.0,,9.8,9.8,1.0,0.0,0.0,,9.8,0.0,9.8,0.0,0.0,0.0,9.8,9.8,19.5,96.0,119.0,10.4,1.0,0.0,0.0,22.3,0.0,11.2,0.0,0.0,0.0,50.0,17.5,0.0,0.0,0.0,-0.028,-5.7,-4.2,-9.9,0.0
Career,,,NBA,,250.0,9.0,2626.0,7.3,12.8,0.569,0.1,0.5,0.231,7.2,12.3,0.583,2.9,4.2,0.687,4.8,8.0,12.8,2.1,1.8,2.4,1.7,5.8,17.6,122.0,107.0,17.3,0.6,0.041,0.33,10.4,18.0,14.1,6.6,1.8,3.7,10.4,14.2,5.5,2.7,8.2,0.15,0.2,0.7,0.9,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,UTA,NBA,,219.0,7.0,2370.0,7.5,13.1,0.57,0.0,0.2,0.2,7.4,12.9,0.577,2.9,4.2,0.684,5.0,8.0,13.0,2.3,1.9,2.5,1.7,6.0,17.9,122.0,107.0,17.9,0.597,0.017,0.321,10.9,18.0,14.4,7.2,1.9,3.8,10.2,14.5,5.2,2.4,7.6,0.154,0.4,0.7,1.1,1.8
1 season,,DAL,NBA,,30.0,2.0,251.0,5.3,9.7,0.542,0.8,3.2,0.25,4.5,6.5,0.688,3.0,4.3,0.714,2.2,8.7,11.0,0.4,1.2,1.8,1.4,3.9,14.4,117.0,105.0,12.6,0.62,0.333,0.438,4.8,18.8,11.8,1.2,1.2,3.0,10.9,11.7,0.3,0.3,0.6,0.119,-1.5,1.0,-0.4,0.1
1 season,,ATL,NBA,,1.0,0.0,5.0,9.8,9.8,1.0,0.0,0.0,,9.8,9.8,1.0,0.0,0.0,,9.8,0.0,9.8,0.0,0.0,0.0,9.8,9.8,19.5,96.0,119.0,10.4,1.0,0.0,0.0,22.3,0.0,11.2,0.0,0.0,0.0,50.0,17.5,0.0,0.0,0.0,-0.028,-5.7,-4.2,-9.9,0.0
