Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1996-97,18.0,POR,NBA,PF,45.0,0.0,458.0,8.0,17.6,0.451,0.0,0.1,0.0,8.0,17.5,0.454,5.4,9.0,0.603,4.5,9.8,14.3,0.9,0.2,3.0,3.1,5.3,21.3,100.0,102.0,13.7,0.494,0.007,0.51,10.4,21.4,16.0,2.9,0.2,4.4,12.6,21.1,0.1,0.7,0.8,0.087,-2.5,-0.9,-3.5,-0.2
1997-98,19.0,POR,NBA,PF,60.0,9.0,808.0,7.4,15.2,0.485,0.0,0.1,0.0,7.4,15.1,0.489,3.0,5.9,0.506,5.3,8.0,13.3,1.1,1.0,3.8,3.6,6.7,17.8,96.0,100.0,12.7,0.498,0.009,0.385,11.9,16.8,14.5,3.6,1.0,5.2,16.9,18.2,-0.1,1.3,1.2,0.073,-3.6,0.5,-3.0,-0.2
1998-99,20.0,POR,NBA,PF,36.0,1.0,311.0,6.2,14.4,0.434,0.0,0.2,0.0,6.2,14.2,0.439,3.1,6.1,0.514,7.3,9.5,16.8,2.2,0.7,2.4,2.4,7.1,15.6,102.0,97.0,13.6,0.457,0.012,0.422,16.2,19.7,18.0,6.9,0.7,3.4,12.5,16.5,0.3,0.5,0.8,0.125,-1.9,-0.1,-2.1,0.0
1999-00,21.0,POR,NBA,C,70.0,8.0,859.0,6.7,13.8,0.486,0.0,0.1,0.0,6.7,13.7,0.489,3.5,6.1,0.582,6.0,8.2,14.2,1.1,0.7,3.4,2.9,7.9,17.0,104.0,100.0,13.3,0.515,0.005,0.441,14.0,17.2,15.7,3.3,0.7,4.7,15.1,16.8,0.7,1.4,2.1,0.117,-2.5,0.1,-2.5,-0.1
2000-01,22.0,IND,NBA,C,81.0,80.0,2641.0,8.2,17.6,0.465,0.0,0.1,0.0,8.2,17.5,0.468,4.7,7.9,0.601,5.1,11.1,16.1,2.0,1.0,4.6,3.3,5.7,21.2,100.0,97.0,17.5,0.501,0.006,0.447,11.0,22.7,17.0,6.7,1.0,6.2,13.4,21.2,1.7,4.7,6.4,0.116,-0.8,1.0,0.3,1.5
2001-02,23.0,IND,NBA,PF,72.0,72.0,2707.0,10.5,21.9,0.479,0.0,0.3,0.071,10.5,21.6,0.484,5.5,8.0,0.688,3.6,11.0,14.6,2.3,0.9,3.2,3.4,5.2,26.4,102.0,101.0,18.1,0.521,0.012,0.365,8.0,23.1,15.8,8.1,0.9,4.4,11.7,24.9,2.3,4.1,6.4,0.113,-0.1,0.2,0.2,1.5
2002-03,24.0,IND,NBA,PF,77.0,76.0,2864.0,11.2,23.1,0.484,0.1,0.4,0.333,11.0,22.7,0.487,6.8,9.3,0.731,3.7,10.9,14.6,2.8,1.2,3.3,3.3,5.1,29.3,107.0,97.0,21.4,0.539,0.017,0.405,8.1,22.8,15.6,10.4,1.2,4.5,10.8,26.2,5.3,5.2,10.5,0.177,2.0,0.9,2.9,3.5
2003-04,25.0,IND,NBA,PF,78.0,78.0,2788.0,12.0,27.5,0.434,0.0,0.4,0.111,11.9,27.2,0.438,6.8,9.1,0.757,3.8,11.5,15.3,3.2,1.2,3.9,3.6,4.9,30.8,100.0,93.0,21.1,0.489,0.013,0.329,8.1,25.0,16.5,12.3,1.2,5.5,10.1,30.2,2.7,6.3,9.0,0.155,1.1,1.3,2.4,3.1
2004-05,26.0,IND,NBA,PF,44.0,41.0,1530.0,13.9,30.7,0.452,0.0,0.2,0.167,13.9,30.5,0.454,10.6,14.1,0.754,3.1,10.9,14.0,3.0,0.9,3.2,4.7,6.2,38.4,102.0,101.0,22.9,0.52,0.007,0.458,6.7,23.3,15.1,12.8,0.9,4.4,11.3,36.2,1.3,2.5,3.8,0.118,1.5,0.2,1.8,1.5
2005-06,27.0,IND,NBA,PF,51.0,47.0,1802.0,11.3,23.9,0.472,0.1,0.3,0.3,11.2,23.6,0.474,7.8,10.9,0.709,3.0,11.1,14.1,4.0,0.8,3.5,4.5,5.3,30.4,102.0,99.0,20.4,0.53,0.012,0.457,6.7,23.2,15.2,14.9,0.8,4.7,13.5,28.9,1.4,3.5,4.9,0.131,0.6,1.7,2.3,2.0
2006-07,28.0,IND,NBA,C,69.0,69.0,2459.0,10.5,24.1,0.436,0.0,0.1,0.0,10.5,23.9,0.439,7.2,9.4,0.767,3.2,10.7,14.0,3.5,1.1,3.8,4.3,4.9,28.3,99.0,101.0,18.8,0.5,0.006,0.392,7.1,24.4,15.5,13.0,1.1,5.6,13.2,28.1,0.5,4.1,4.7,0.091,-0.4,1.2,0.8,1.7
2007-08,29.0,IND,NBA,C,42.0,34.0,1206.0,9.2,20.9,0.439,0.0,0.2,0.0,9.2,20.7,0.444,4.9,6.6,0.742,3.3,8.2,11.5,3.8,0.8,3.5,4.3,5.3,23.3,95.0,105.0,14.4,0.489,0.01,0.318,7.3,18.5,12.8,12.9,0.8,5.4,15.4,24.8,-0.7,1.6,0.9,0.035,-2.7,0.9,-1.8,0.1
2008-09,30.0,TOT,NBA,C,68.0,61.0,2027.0,9.5,20.0,0.474,0.0,0.0,0.0,9.5,20.0,0.475,4.5,5.8,0.788,3.3,8.0,11.2,3.2,0.8,3.5,3.7,5.5,23.5,100.0,107.0,15.4,0.522,0.001,0.288,7.4,17.8,12.6,10.3,0.8,5.3,14.2,23.2,0.2,2.3,2.6,0.06,-1.8,0.3,-1.5,0.3
2008-09,30.0,TOR,NBA,C,41.0,34.0,1216.0,9.4,20.0,0.473,0.0,0.0,0.0,9.4,19.9,0.474,4.9,6.1,0.81,3.0,9.3,12.4,2.9,0.8,3.5,3.9,5.6,23.8,99.0,107.0,15.4,0.526,0.002,0.305,6.9,20.7,13.9,9.3,0.8,5.2,14.9,23.5,-0.1,1.4,1.4,0.055,-2.1,0.7,-1.3,0.2
2008-09,30.0,MIA,NBA,C,27.0,27.0,811.0,9.5,20.1,0.475,0.0,0.0,,9.5,20.1,0.475,4.0,5.3,0.75,3.6,5.9,9.5,3.6,0.7,3.6,3.4,5.3,23.0,102.0,108.0,15.5,0.514,0.0,0.262,8.0,13.4,10.7,11.7,0.7,5.4,13.3,22.7,0.3,0.9,1.2,0.069,-1.4,-0.3,-1.7,0.1
2009-10,31.0,MIA,NBA,C,70.0,70.0,1991.0,10.6,20.0,0.529,0.0,0.1,0.0,10.6,20.0,0.53,4.4,6.1,0.72,3.3,9.7,13.1,2.5,0.7,2.6,3.4,5.7,25.6,108.0,103.0,17.9,0.563,0.003,0.302,7.4,21.2,14.3,8.4,0.7,3.9,12.9,22.9,2.4,3.2,5.6,0.135,-0.5,0.4,-0.1,1.0
2010-11,32.0,BOS,NBA,C,24.0,10.0,431.0,6.2,13.4,0.459,0.0,0.1,0.0,6.2,13.3,0.463,3.6,5.3,0.674,3.1,7.8,10.8,1.5,0.2,3.7,3.3,8.0,15.9,93.0,100.0,9.2,0.504,0.009,0.394,7.6,17.0,12.6,4.3,0.2,5.4,17.4,17.2,-0.2,0.8,0.6,0.065,-5.4,1.3,-4.2,-0.2
2011-12,33.0,BOS,NBA,C,25.0,24.0,570.0,4.8,11.2,0.433,0.0,0.0,,4.8,11.2,0.433,2.0,2.9,0.677,3.4,9.1,12.6,0.9,0.7,4.0,2.0,7.5,11.6,94.0,96.0,9.4,0.468,0.0,0.258,8.0,19.4,14.0,2.7,0.7,5.8,13.6,13.0,-0.1,1.2,1.1,0.091,-4.6,2.1,-2.5,-0.1
2012-13,34.0,PHO,NBA,C,55.0,4.0,1029.0,8.9,18.5,0.482,0.0,0.0,,8.9,18.5,0.482,4.8,5.7,0.835,4.1,10.5,14.6,2.1,0.9,3.9,3.6,6.3,22.7,103.0,104.0,16.7,0.538,0.0,0.31,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,0.7,1.3,2.0,0.092,-1.9,0.6,-1.3,0.2
2013-14,35.0,GSW,NBA,PF,44.0,13.0,883.0,7.1,14.0,0.504,0.0,0.0,,7.1,14.0,0.504,5.6,7.5,0.75,4.8,8.9,13.7,1.4,0.8,2.3,2.9,5.8,19.7,111.0,102.0,15.3,0.57,0.0,0.532,10.7,19.1,15.0,4.2,0.8,3.4,14.5,17.8,1.3,1.4,2.7,0.146,-1.6,0.2,-1.4,0.1
Career,,,NBA,,1011.0,697.0,27364.0,9.9,21.3,0.467,0.0,0.2,0.147,9.9,21.1,0.469,5.8,8.1,0.715,3.8,10.2,14.0,2.6,0.9,3.5,3.6,5.6,25.7,102.0,100.0,17.9,0.517,0.009,0.382,8.5,21.9,15.3,9.5,0.9,5.0,12.7,24.8,19.8,46.1,66.0,0.116,-0.5,0.8,0.3,15.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,IND,NBA,,514.0,497.0,17997.0,10.8,23.5,0.458,0.0,0.3,0.163,10.7,23.2,0.462,6.6,9.2,0.719,3.7,10.8,14.5,3.0,1.0,3.7,3.8,5.3,28.2,101.0,99.0,19.5,0.512,0.011,0.394,8.1,23.2,15.7,11.0,1.0,5.1,12.1,27.2,14.6,31.9,46.5,0.124,0.3,1.0,1.3,14.8
4 seasons,,POR,NBA,,211.0,18.0,2436.0,7.1,15.1,0.472,0.0,0.1,0.0,7.1,15.0,0.475,3.7,6.6,0.557,5.6,8.6,14.2,1.2,0.7,3.3,3.1,6.9,17.9,100.0,100.0,13.2,0.498,0.007,0.435,12.9,18.2,15.6,3.8,0.7,4.7,14.8,18.0,1.1,3.9,5.0,0.098,-2.8,0.0,-2.8,-0.5
2 seasons,,MIA,NBA,,97.0,97.0,2802.0,10.3,20.1,0.513,0.0,0.0,0.0,10.3,20.0,0.514,4.2,5.8,0.728,3.4,8.6,12.1,2.8,0.7,2.8,3.4,5.6,24.8,106.0,104.0,17.2,0.549,0.002,0.29,7.6,18.9,13.3,9.3,0.7,4.3,13.0,22.9,2.6,4.1,6.7,0.116,-0.8,0.2,-0.6,1.0
1 season,,PHO,NBA,,55.0,4.0,1029.0,8.9,18.5,0.482,0.0,0.0,,8.9,18.5,0.482,4.8,5.7,0.835,4.1,10.5,14.6,2.1,0.9,3.9,3.6,6.3,22.7,103.0,104.0,16.7,0.538,0.0,0.31,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,0.7,1.3,2.0,0.092,-1.9,0.6,-1.3,0.2
2 seasons,,BOS,NBA,,49.0,34.0,1001.0,5.4,12.2,0.445,0.0,0.1,0.0,5.4,12.1,0.447,2.7,3.9,0.676,3.3,8.5,11.8,1.2,0.5,3.9,2.5,7.7,13.5,93.0,98.0,9.3,0.486,0.004,0.323,7.8,18.3,13.4,3.4,0.5,5.6,15.5,14.8,-0.4,2.0,1.7,0.08,-5.0,1.8,-3.2,-0.3
