Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,23.0,CLE,NBA,SG,51.0,1.0,493.0,5.1,12.7,0.4,3.3,8.9,0.369,1.8,3.8,0.472,0.9,1.6,0.6,0.7,3.6,4.3,2.7,0.7,0.2,2.8,6.5,14.3,97.0,111.0,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0.0,0.2,0.2,0.018,-4.0,-1.6,-5.6,-0.4
2015-16,24.0,CLE,NBA,SG,5.0,0.0,15.0,3.4,13.7,0.25,3.4,13.7,0.25,0.0,0.0,,0.0,0.0,,0.0,10.3,10.3,6.9,0.0,0.0,3.4,3.4,10.3,81.0,107.0,3.4,0.375,1.0,0.0,0.0,22.5,11.3,18.2,0.0,0.0,20.0,15.1,0.0,0.0,0.0,-0.032,-5.0,-0.9,-5.9,0.0
2016-17,25.0,BRK,NBA,SG,52.0,11.0,1138.0,6.4,15.1,0.425,3.5,9.2,0.385,2.9,5.9,0.489,1.5,2.0,0.714,0.7,5.5,6.1,2.2,1.2,0.3,2.3,5.0,17.8,101.0,113.0,9.0,0.558,0.61,0.135,1.5,12.0,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,0.032,-2.6,-0.9,-3.5,-0.4
2017-18,26.0,BRK,NBA,SG,78.0,14.0,1975.0,7.5,15.3,0.491,3.7,8.8,0.419,3.8,6.5,0.589,2.1,2.6,0.827,1.3,5.1,6.4,3.1,0.9,0.5,2.2,3.8,20.8,116.0,113.0,13.3,0.634,0.576,0.167,2.7,11.3,7.0,10.2,0.9,0.8,12.0,16.6,3.0,0.9,4.0,0.097,0.7,-0.6,0.1,1.0
2018-19,27.0,BRK,NBA,SG,76.0,76.0,2293.0,7.8,15.5,0.5,3.8,8.0,0.474,4.0,7.5,0.528,2.3,2.8,0.827,1.1,5.0,6.0,3.8,0.8,0.4,2.5,3.8,21.6,119.0,113.0,13.5,0.645,0.516,0.178,2.4,10.9,6.7,11.9,0.8,0.6,13.0,17.0,3.8,1.7,5.5,0.116,0.8,-0.3,0.5,1.4
2019-20,28.0,BRK,NBA,SF,69.0,69.0,2123.0,8.5,17.5,0.486,3.8,9.0,0.424,4.7,8.4,0.553,1.4,2.0,0.719,1.4,5.2,6.6,3.2,0.9,0.4,2.3,3.5,22.2,114.0,112.0,13.3,0.606,0.518,0.114,3.2,11.2,7.3,10.4,0.9,0.7,11.2,18.3,2.5,1.8,4.3,0.097,0.4,-0.6,-0.2,1.0
2020-21,29.0,BRK,NBA,SF,69.0,65.0,2141.0,8.0,15.9,0.505,4.8,10.0,0.475,3.3,5.9,0.555,1.1,1.4,0.778,1.0,4.6,5.6,2.9,1.0,0.3,1.4,3.2,21.9,126.0,117.0,14.1,0.663,0.628,0.089,2.3,10.1,6.4,8.4,1.0,0.6,7.8,16.2,4.1,1.1,5.2,0.117,1.5,-1.2,0.4,1.3
2021-22,30.0,BRK,NBA,SF,14.0,14.0,423.0,6.4,14.2,0.452,4.7,10.1,0.466,1.7,4.1,0.417,0.6,0.7,0.833,0.6,5.8,6.4,1.6,0.8,0.2,1.8,3.6,18.1,112.0,116.0,9.6,0.624,0.71,0.048,1.3,12.8,7.2,4.5,0.8,0.4,11.2,14.5,0.3,0.2,0.5,0.06,-0.9,-0.5,-1.4,0.1
2022-23,31.0,BRK,NBA,SG,67.0,33.0,1434.0,6.4,13.9,0.458,4.4,10.3,0.428,1.9,3.5,0.548,0.5,0.8,0.625,0.8,4.5,5.2,3.2,1.1,0.4,1.3,4.7,17.7,118.0,118.0,10.4,0.62,0.745,0.059,1.9,10.1,6.1,8.8,1.1,0.8,8.5,14.2,1.4,1.0,2.4,0.08,-0.7,-0.6,-1.4,0.2
Career,,,NBA,,481.0,283.0,12035.0,7.5,15.5,0.48,4.0,9.2,0.437,3.4,6.3,0.543,1.5,1.9,0.772,1.0,4.9,6.0,3.1,0.9,0.4,2.1,3.9,20.4,116.0,114.0,12.3,0.624,0.592,0.125,2.4,10.8,6.7,9.5,0.9,0.6,11.2,16.4,15.3,7.6,22.9,0.091,0.1,-0.7,-0.6,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,BRK,NBA,,425.0,282.0,11527.0,7.6,15.6,0.483,4.0,9.2,0.44,3.5,6.4,0.544,1.5,1.9,0.778,1.1,5.0,6.1,3.1,0.9,0.4,2.0,3.8,20.7,116.0,114.0,12.6,0.627,0.588,0.125,2.4,10.9,6.7,9.6,0.9,0.6,11.0,16.5,15.3,7.4,22.7,0.095,0.3,-0.7,-0.4,4.6
2 seasons,,CLE,NBA,,56.0,1.0,508.0,5.0,12.7,0.395,3.3,9.0,0.364,1.7,3.7,0.472,0.9,1.5,0.6,0.7,3.8,4.5,2.9,0.7,0.2,2.9,6.4,14.2,97.0,111.0,5.5,0.532,0.71,0.121,1.6,8.2,5.0,8.0,0.7,0.3,17.7,14.1,0.0,0.2,0.2,0.017,-4.0,-1.6,-5.6,-0.5
