Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007-08,25.0,MIA,NBA,PF,24.0,1.0,498.0,3.0,6.4,0.467,0.0,0.0,3.0,6.4,0.467,3.1,5.2,0.592,4.1,5.9,9.9,0.3,1.0,3.3,1.8,5.9,9.1,104.0,109.0,8.8,0.521,0.0,0.817,9.0,13.4,11.2,0.9,1.0,5.0,17.2,9.4,0.1,0.4,0.6,0.054,-5.3,-0.3,-5.5,-0.4
2008-09,26.0,MIA,NBA,C,65.0,28.0,1048.0,2.9,6.0,0.483,0.0,0.0,2.9,6.0,0.483,1.5,2.3,0.652,4.5,5.5,10.0,1.4,1.0,4.7,2.1,7.1,7.3,106.0,106.0,9.3,0.521,0.0,0.39,10.1,12.4,11.2,3.7,1.0,7.2,22.9,8.0,0.4,1.4,1.7,0.079,-4.5,1.8,-2.7,-0.2
2009-10,27.0,MIA,NBA,C,80.0,16.0,1322.0,3.1,6.4,0.478,0.0,0.0,3.1,6.4,0.478,2.7,3.7,0.717,5.0,5.1,10.1,0.5,0.8,4.4,1.8,6.4,8.8,112.0,103.0,10.2,0.546,0.0,0.579,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,1.0,2.0,3.1,0.111,-3.4,1.7,-1.7,0.1
2010-11,28.0,MIA,NBA,C,75.0,11.0,1463.0,1.9,3.6,0.535,0.0,0.0,1.9,3.6,0.535,1.7,2.6,0.644,3.8,5.8,9.6,0.9,0.4,3.4,1.3,7.0,5.5,120.0,104.0,7.3,0.583,0.0,0.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,1.2,2.1,3.3,0.107,-3.2,1.6,-1.6,0.2
2011-12,29.0,MIA,NBA,C,64.0,51.0,1349.0,3.3,5.9,0.559,0.0,0.0,3.3,5.9,0.559,1.9,2.8,0.69,3.9,5.9,9.8,0.4,1.4,3.3,1.8,4.9,8.5,113.0,100.0,10.3,0.598,0.0,0.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,1.2,2.2,3.4,0.122,-2.0,1.6,-0.5,0.5
2012-13,30.0,MIA,NBA,C,62.0,3.0,566.0,3.3,6.4,0.515,0.0,0.0,3.3,6.4,0.515,1.6,2.6,0.607,4.2,6.5,10.8,1.2,1.2,3.9,2.1,4.6,8.1,108.0,103.0,10.4,0.542,0.0,0.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,0.4,0.8,1.2,0.1,-2.3,0.9,-1.3,0.1
2013-14,31.0,TOT,NBA,C,33.0,0.0,186.0,3.3,8.9,0.375,0.0,0.0,3.3,8.9,0.375,1.1,2.2,0.5,4.2,6.4,10.6,0.6,0.8,3.3,0.8,4.7,7.8,96.0,107.0,8.1,0.394,0.0,0.25,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,0.0,0.2,0.2,0.044,-4.2,-0.8,-5.0,-0.1
2013-14,31.0,MIA,NBA,C,12.0,0.0,37.0,2.8,8.5,0.333,0.0,0.0,2.8,8.5,0.333,2.8,2.8,1.0,2.8,7.1,10.0,0.0,0.0,5.7,1.4,5.7,8.5,94.0,104.0,8.0,0.436,0.0,0.333,7.1,16.4,11.9,0.0,0.0,9.4,12.7,10.2,0.0,0.0,0.0,0.049,-5.2,-0.3,-5.5,0.0
2013-14,31.0,BOS,NBA,C,21.0,0.0,149.0,3.5,9.0,0.385,0.0,0.0,3.5,9.0,0.385,0.7,2.1,0.333,4.5,6.2,10.7,0.7,1.0,2.8,0.7,4.5,7.6,96.0,107.0,8.1,0.384,0.0,0.231,9.6,14.1,11.8,1.9,1.0,4.1,6.5,9.1,0.0,0.1,0.1,0.043,-4.0,-0.9,-4.9,-0.1
2014-15,32.0,DET,NBA,C,49.0,0.0,406.0,4.6,7.9,0.581,0.0,0.0,4.6,7.9,0.581,1.9,2.8,0.682,4.1,7.8,11.8,0.6,1.5,6.2,1.5,7.0,11.1,119.0,100.0,14.7,0.607,0.0,0.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,0.5,0.7,1.2,0.142,-2.9,3.1,0.2,0.2
2015-16,33.0,DET,NBA,C,19.0,0.0,96.0,3.2,5.3,0.6,0.0,0.0,3.2,5.3,0.6,3.2,4.2,0.75,4.2,6.8,11.0,0.5,1.1,6.3,1.1,7.9,9.5,136.0,99.0,14.1,0.666,0.0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,0.2,0.2,0.4,0.177,-2.9,3.3,0.4,0.1
2016-17,34.0,SAS,NBA,C,19.0,0.0,122.0,4.2,6.7,0.625,0.0,0.0,4.2,6.7,0.625,2.1,3.3,0.625,3.3,9.6,12.9,1.3,0.8,2.5,1.7,4.6,10.4,121.0,102.0,11.6,0.64,0.0,0.5,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,0.1,0.2,0.4,0.141,-3.5,1.4,-2.1,0.0
Career,,,NBA,,490.0,110.0,7056.0,3.0,5.8,0.513,0.0,0.0,3.0,5.8,0.513,2.0,3.0,0.662,4.2,5.9,10.1,0.7,1.0,4.0,1.7,6.1,8.0,112.0,103.0,9.7,0.558,0.0,0.522,9.6,13.0,11.3,2.0,1.0,6.1,19.2,7.8,5.1,10.2,15.3,0.104,-3.3,1.5,-1.8,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIA,NBA,,382.0,110.0,6283.0,2.8,5.6,0.508,0.0,0.0,2.8,5.6,0.508,2.0,3.0,0.665,4.2,5.7,9.9,0.7,0.9,3.9,1.7,6.1,7.7,111.0,104.0,9.3,0.556,0.0,0.545,9.8,12.5,11.2,2.0,0.9,5.9,20.1,7.7,4.3,9.0,13.3,0.101,-3.3,1.4,-1.9,0.2
2 seasons,,DET,NBA,,68.0,0.0,502.0,4.3,7.4,0.583,0.0,0.0,4.3,7.4,0.583,2.2,3.1,0.7,4.1,7.6,11.7,0.6,1.4,6.3,1.4,7.2,10.8,121.0,100.0,14.6,0.616,0.0,0.417,8.3,16.7,12.4,1.7,1.4,9.5,14.1,8.7,0.7,0.9,1.6,0.149,-2.9,3.2,0.3,0.3
1 season,,BOS,NBA,,21.0,0.0,149.0,3.5,9.0,0.385,0.0,0.0,3.5,9.0,0.385,0.7,2.1,0.333,4.5,6.2,10.7,0.7,1.0,2.8,0.7,4.5,7.6,96.0,107.0,8.1,0.384,0.0,0.231,9.6,14.1,11.8,1.9,1.0,4.1,6.5,9.1,0.0,0.1,0.1,0.043,-4.0,-0.9,-4.9,-0.1
1 season,,SAS,NBA,,19.0,0.0,122.0,4.2,6.7,0.625,0.0,0.0,4.2,6.7,0.625,2.1,3.3,0.625,3.3,9.6,12.9,1.3,0.8,2.5,1.7,4.6,10.4,121.0,102.0,11.6,0.64,0.0,0.5,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,0.1,0.2,0.4,0.141,-3.5,1.4,-2.1,0.0
