Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,21.0,ATL,NBA,SG,61.0,2.0,902.0,7.5,16.9,0.446,3.0,7.9,0.384,4.5,9.0,0.5,3.4,4.0,0.843,1.0,4.4,5.4,3.2,0.7,0.6,2.3,2.1,21.5,109.0,109.0,13.0,0.576,0.469,0.238,2.2,9.6,6.0,9.8,0.7,0.8,11.0,18.7,1.1,0.6,1.7,0.091,0.4,-1.2,-0.8,0.3
2013-14,22.0,ATL,NBA,SG,13.0,0.0,158.0,5.1,13.5,0.381,1.3,5.8,0.222,3.9,7.7,0.5,1.3,1.3,1.0,1.0,6.1,7.1,3.5,0.3,0.3,3.5,3.5,12.8,83.0,111.0,4.7,0.457,0.429,0.095,2.2,13.8,8.1,10.4,0.3,0.5,20.1,15.8,-0.2,0.1,-0.1,-0.043,-4.7,-1.6,-6.3,-0.2
2014-15,23.0,ATL,NBA,SG,24.0,3.0,297.0,8.4,17.0,0.495,3.6,8.9,0.404,4.8,8.1,0.596,2.8,3.3,0.842,0.3,6.4,6.7,2.2,1.7,0.0,1.4,2.6,23.2,118.0,105.0,15.9,0.629,0.525,0.192,0.8,13.8,7.5,7.0,1.7,0.0,6.9,17.8,0.6,0.3,0.9,0.147,0.8,-0.5,0.3,0.2
2015-16,24.0,TOT,NBA,SG,43.0,3.0,480.0,7.3,16.5,0.444,1.7,5.3,0.314,5.7,11.3,0.505,2.1,2.5,0.833,0.8,5.1,5.9,3.6,0.8,0.1,2.8,2.3,18.4,99.0,112.0,10.0,0.522,0.319,0.15,1.8,11.3,6.5,11.7,0.8,0.2,13.7,18.1,0.0,0.2,0.2,0.022,-1.9,-1.0,-2.9,-0.1
2015-16,24.0,DAL,NBA,SG,21.0,1.0,193.0,7.6,18.5,0.414,0.8,5.0,0.158,6.9,13.5,0.51,2.1,2.4,0.889,1.1,4.7,5.8,2.4,0.8,0.0,2.9,2.9,18.2,88.0,111.0,7.2,0.466,0.271,0.129,2.3,10.2,6.3,7.6,0.8,0.0,12.9,20.1,-0.2,0.1,-0.1,-0.033,-4.3,-1.3,-5.7,-0.2
2015-16,24.0,PHO,NBA,SG,22.0,2.0,287.0,7.1,15.3,0.467,2.2,5.4,0.406,4.9,9.8,0.5,2.0,2.5,0.8,0.7,5.3,5.9,4.4,0.8,0.2,2.7,1.9,18.5,107.0,112.0,11.9,0.564,0.356,0.167,1.5,12.0,6.6,14.4,0.8,0.3,14.2,16.7,0.3,0.1,0.4,0.059,-0.3,-0.7,-1.1,0.1
2016-17,25.0,PHO,NBA,SG,4.0,0.0,13.0,7.4,18.4,0.4,3.7,7.4,0.5,3.7,11.0,0.333,7.4,7.4,1.0,0.0,3.7,3.7,3.7,0.0,0.0,0.0,0.0,25.8,135.0,119.0,17.3,0.595,0.4,0.4,0.0,8.6,4.2,11.5,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.167,4.3,-2.1,2.2,0.0
2018-19,27.0,TOT,NBA,SG,26.0,0.0,333.0,6.1,15.2,0.4,3.2,8.4,0.379,2.9,6.8,0.426,2.2,2.6,0.833,0.9,4.5,5.4,3.2,0.0,0.3,1.3,1.4,17.5,109.0,119.0,9.7,0.536,0.552,0.171,1.8,10.0,5.8,9.9,0.0,0.5,7.4,15.7,0.2,0.0,0.2,0.031,-1.0,-2.4,-3.4,-0.1
2018-19,27.0,WAS,NBA,SG,4.0,0.0,14.0,6.8,6.8,1.0,6.8,6.8,1.0,0.0,0.0,,0.0,0.0,,0.0,3.4,3.4,3.4,0.0,0.0,0.0,0.0,20.3,285.0,121.0,20.5,1.5,1.0,0.0,0.0,7.9,3.9,9.9,0.0,0.0,0.0,6.1,0.1,0.0,0.1,0.202,7.6,-1.0,6.6,0.0
2018-19,27.0,NYK,NBA,SG,22.0,0.0,319.0,6.0,15.6,0.388,3.0,8.5,0.357,3.0,7.1,0.426,2.3,2.7,0.833,0.9,4.5,5.4,3.2,0.0,0.3,1.4,1.5,17.4,107.0,119.0,9.3,0.518,0.544,0.175,1.9,10.1,5.9,9.9,0.0,0.5,7.5,16.1,0.2,0.0,0.2,0.024,-1.4,-2.5,-3.9,-0.2
Career,,,NBA,,171.0,8.0,2183.0,7.2,16.3,0.441,2.7,7.4,0.367,4.5,8.9,0.503,2.7,3.2,0.847,0.8,5.0,5.8,3.2,0.7,0.3,2.2,2.2,19.8,106.0,111.0,11.7,0.559,0.452,0.194,1.9,10.9,6.4,9.9,0.7,0.5,11.0,17.8,1.8,1.2,3.0,0.065,-0.6,-1.3,-1.9,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,98.0,5.0,1357.0,7.4,16.5,0.451,3.0,7.9,0.375,4.5,8.6,0.52,3.0,3.5,0.849,0.8,5.1,5.9,3.0,0.9,0.4,2.2,2.4,20.8,108.0,108.0,12.7,0.577,0.478,0.214,1.9,11.0,6.5,9.3,0.9,0.6,11.0,18.2,1.5,1.0,2.5,0.088,-0.1,-1.1,-1.2,0.3
2 seasons,,PHO,NBA,,26.0,2.0,300.0,7.1,15.4,0.463,2.3,5.5,0.412,4.9,9.9,0.492,2.3,2.8,0.824,0.6,5.2,5.8,4.4,0.8,0.2,2.6,1.8,18.8,108.0,113.0,12.1,0.566,0.358,0.179,1.4,11.9,6.5,14.3,0.8,0.3,13.5,16.8,0.3,0.1,0.4,0.063,-0.1,-0.8,-0.9,0.1
1 season,,NYK,NBA,,22.0,0.0,319.0,6.0,15.6,0.388,3.0,8.5,0.357,3.0,7.1,0.426,2.3,2.7,0.833,0.9,4.5,5.4,3.2,0.0,0.3,1.4,1.5,17.4,107.0,119.0,9.3,0.518,0.544,0.175,1.9,10.1,5.9,9.9,0.0,0.5,7.5,16.1,0.2,0.0,0.2,0.024,-1.4,-2.5,-3.9,-0.2
1 season,,DAL,NBA,,21.0,1.0,193.0,7.6,18.5,0.414,0.8,5.0,0.158,6.9,13.5,0.51,2.1,2.4,0.889,1.1,4.7,5.8,2.4,0.8,0.0,2.9,2.9,18.2,88.0,111.0,7.2,0.466,0.271,0.129,2.3,10.2,6.3,7.6,0.8,0.0,12.9,20.1,-0.2,0.1,-0.1,-0.033,-4.3,-1.3,-5.7,-0.2
1 season,,WAS,NBA,,4.0,0.0,14.0,6.8,6.8,1.0,6.8,6.8,1.0,0.0,0.0,,0.0,0.0,,0.0,3.4,3.4,3.4,0.0,0.0,0.0,0.0,20.3,285.0,121.0,20.5,1.5,1.0,0.0,0.0,7.9,3.9,9.9,0.0,0.0,0.0,6.1,0.1,0.0,0.1,0.202,7.6,-1.0,6.6,0.0
