Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004-05,21.0,ATL,NBA,SG,80.0,44.0,2376.0,6.7,14.2,0.47,0.3,1.2,0.232,6.4,13.0,0.493,4.2,5.1,0.823,4.3,6.3,10.7,3.3,1.6,0.8,2.3,4.1,17.8,113.0,111.0,15.2,0.543,0.087,0.36,9.1,14.8,11.8,10.4,1.6,1.1,12.5,16.0,3.7,0.9,4.6,0.093,0.4,-1.0,-0.6,0.8
2005-06,22.0,ATL,NBA,SF,74.0,10.0,2249.0,6.6,11.9,0.552,0.8,1.5,0.492,5.8,10.4,0.56,3.6,4.7,0.766,3.2,6.0,9.1,3.1,2.0,0.9,2.4,4.3,17.5,121.0,111.0,15.8,0.626,0.129,0.399,7.0,13.9,10.3,9.4,2.0,1.3,14.6,14.0,4.6,1.1,5.7,0.121,1.3,-0.1,1.2,1.8
2006-07,23.0,ATL,NBA,SG,55.0,13.0,2024.0,6.9,13.6,0.504,0.7,2.0,0.338,6.2,11.6,0.533,4.4,5.5,0.795,3.2,5.7,9.0,3.3,1.5,0.9,2.1,3.1,18.8,119.0,109.0,16.2,0.586,0.149,0.405,7.2,13.1,10.1,10.8,1.5,1.4,11.6,15.7,4.1,1.4,5.5,0.13,1.9,-0.2,1.7,1.9
2007-08,24.0,ATL,NBA,SF,76.0,0.0,2274.0,7.6,13.3,0.571,0.5,1.4,0.367,7.1,11.9,0.595,5.1,6.4,0.807,4.0,4.6,8.6,2.7,1.6,1.0,2.3,3.0,20.8,127.0,110.0,17.8,0.647,0.105,0.48,9.0,10.2,9.6,8.5,1.6,1.4,12.4,15.8,6.0,1.5,7.6,0.16,2.3,-0.3,2.0,2.3
2010-11,27.0,PHO,NBA,SG,54.0,3.0,894.0,6.9,12.2,0.565,0.1,0.9,0.063,6.8,11.3,0.606,1.6,3.4,0.492,3.9,4.9,8.8,2.4,1.9,1.3,2.5,3.9,15.5,109.0,110.0,13.0,0.567,0.075,0.276,8.9,11.1,10.0,7.0,1.9,1.9,15.5,14.3,0.8,0.6,1.4,0.076,-0.6,0.1,-0.5,0.3
2011-12,28.0,PHO,NBA,SF,34.0,0.0,491.0,5.1,10.4,0.485,0.4,2.5,0.167,4.6,7.9,0.587,0.0,0.2,0.0,3.3,6.8,10.0,3.6,1.5,0.6,0.9,4.0,10.6,114.0,107.0,11.1,0.501,0.242,0.02,7.2,14.6,10.9,10.0,1.5,0.9,8.3,10.1,0.6,0.4,0.9,0.092,-1.0,0.7,-0.2,0.2
2012-13,29.0,BRK,NBA,SF,14.0,0.0,100.0,3.2,11.4,0.286,0.5,1.6,0.333,2.7,9.7,0.278,0.5,1.1,0.5,3.2,4.9,8.1,2.7,1.1,1.1,0.0,1.6,7.6,96.0,109.0,7.0,0.32,0.143,0.095,7.0,10.7,8.9,7.3,1.1,1.5,0.0,10.1,0.0,0.1,0.1,0.029,-2.7,-0.6,-3.3,0.0
2013-14,30.0,NOP,NBA,SF,4.0,0.0,24.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.5,6.5,4.3,2.2,0.0,2.2,2.2,0.0,68.0,111.0,3.9,,,,0.0,14.7,7.3,10.7,2.2,0.0,100.0,1.9,0.0,0.0,0.0,-0.003,-4.1,0.9,-3.3,0.0
Career,,,NBA,,391.0,70.0,10432.0,6.8,13.0,0.522,0.5,1.5,0.329,6.3,11.5,0.548,3.9,4.9,0.779,3.7,5.6,9.3,3.1,1.7,0.9,2.2,3.7,17.9,118.0,110.0,15.6,0.591,0.117,0.381,8.1,12.9,10.4,9.5,1.7,1.3,12.8,15.0,19.7,6.0,25.7,0.118,1.1,-0.3,0.8,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
