Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,22.0,DAL,NBA,SF,55.0,9.0,647.0,5.6,13.8,0.406,1.7,6.5,0.265,3.9,7.2,0.533,3.5,4.3,0.8,1.4,9.0,10.4,2.3,1.5,2.0,1.9,3.5,16.4,103.0,104.0,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.3,0.8,1.1,0.083,-1.1,1.4,0.3,0.4
2016-17,23.0,TOT,NBA,SF,75.0,10.0,1228.0,7.7,18.1,0.424,2.4,8.0,0.299,5.3,10.1,0.522,4.2,5.3,0.791,2.8,7.3,10.1,2.7,1.7,0.9,2.7,4.5,21.9,104.0,108.0,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2
2016-17,23.0,DAL,NBA,SF,51.0,2.0,710.0,8.1,20.3,0.401,2.7,8.9,0.303,5.4,11.4,0.477,5.1,6.5,0.795,2.9,8.1,10.9,2.3,2.1,1.2,2.9,4.7,24.1,101.0,107.0,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2.0,11.2,23.6,0.1,0.9,1.0,0.067,-1.0,0.0,-1.0,0.2
2016-17,23.0,PHI,NBA,SF,24.0,8.0,518.0,7.1,15.2,0.463,2.0,6.8,0.292,5.1,8.5,0.6,3.0,3.9,0.78,2.8,6.2,9.0,3.2,1.2,0.7,2.4,4.2,19.1,109.0,111.0,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,0.5,0.4,0.9,0.084,-0.8,-1.0,-1.9,0.0
2017-18,24.0,PHI,NBA,SF,38.0,0.0,519.0,8.1,18.7,0.431,3.2,9.5,0.33,4.9,9.2,0.535,2.6,3.5,0.737,2.3,6.3,8.6,2.3,1.4,0.6,1.5,5.0,21.9,110.0,107.0,13.0,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1
2018-19,25.0,ATL,NBA,SF,48.0,4.0,463.0,6.4,15.7,0.408,2.4,7.7,0.312,4.0,8.0,0.5,2.6,3.5,0.743,2.4,6.0,8.4,2.3,2.2,1.3,2.3,4.8,17.8,103.0,113.0,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1
2019-20,26.0,BRK,NBA,SG,10.0,1.0,107.0,4.4,16.8,0.263,2.7,12.8,0.207,1.8,4.0,0.444,0.9,1.8,0.5,0.4,8.8,9.3,3.5,0.0,2.7,1.8,5.7,12.4,78.0,109.0,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-1.0,-7.7,-0.2
2021-22,28.0,TOT,NBA,SF,16.0,6.0,316.0,5.6,14.8,0.379,2.3,9.2,0.254,3.3,5.6,0.583,2.3,3.0,0.789,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,109.0,116.0,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,0.2,0.2,0.4,0.054,-1.9,-1.3,-3.2,-0.1
2021-22,28.0,CLE,NBA,SF,3.0,0.0,47.0,4.3,8.5,0.5,2.1,6.4,0.333,2.1,2.1,1.0,3.2,4.3,0.75,0.0,6.4,6.4,6.4,1.1,0.0,2.1,4.3,13.8,126.0,112.0,10.7,0.666,0.75,0.5,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,0.1,0.0,0.1,0.124,-3.0,0.4,-2.6,0.0
2021-22,28.0,IND,NBA,SF,13.0,6.0,269.0,5.8,15.8,0.368,2.4,9.6,0.245,3.5,6.2,0.559,2.2,2.7,0.8,0.7,6.6,7.3,4.9,1.3,1.1,1.1,3.3,16.2,107.0,117.0,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,0.1,0.1,0.2,0.041,-1.7,-1.6,-3.3,-0.1
Career,,,NBA,,242.0,30.0,3280.0,6.8,16.6,0.41,2.4,8.2,0.292,4.4,8.4,0.526,3.3,4.2,0.775,2.1,7.2,9.3,2.8,1.6,1.2,2.1,4.4,19.3,104.0,109.0,12.4,0.522,0.493,0.253,4.7,16.3,10.4,8.4,1.6,2.1,10.3,18.4,1.4,3.5,4.9,0.072,-1.4,-0.1,-1.5,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,106.0,11.0,1357.0,6.9,17.2,0.403,2.2,7.8,0.288,4.7,9.4,0.498,4.3,5.4,0.797,2.2,8.5,10.7,2.3,1.8,1.6,2.4,4.1,20.4,102.0,106.0,13.5,0.521,0.454,0.316,4.6,19.1,11.7,7.2,1.8,2.6,11.1,19.9,0.4,1.7,2.1,0.075,-1.1,0.7,-0.4,0.6
2 seasons,,PHI,NBA,,62.0,8.0,1037.0,7.6,17.0,0.445,2.6,8.2,0.314,5.0,8.8,0.566,2.8,3.7,0.759,2.6,6.3,8.8,2.8,1.3,0.7,2.0,4.6,20.5,110.0,109.0,12.9,0.55,0.481,0.217,5.9,13.8,9.9,8.7,1.3,1.1,9.5,18.3,1.1,1.1,2.1,0.099,-0.7,-0.7,-1.4,0.2
1 season,,ATL,NBA,,48.0,4.0,463.0,6.4,15.7,0.408,2.4,7.7,0.312,4.0,8.0,0.5,2.6,3.5,0.743,2.4,6.0,8.4,2.3,2.2,1.3,2.3,4.8,17.8,103.0,113.0,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1
1 season,,IND,NBA,,13.0,6.0,269.0,5.8,15.8,0.368,2.4,9.6,0.245,3.5,6.2,0.559,2.2,2.7,0.8,0.7,6.6,7.3,4.9,1.3,1.1,1.1,3.3,16.2,107.0,117.0,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,0.1,0.1,0.2,0.041,-1.7,-1.6,-3.3,-0.1
1 season,,BRK,NBA,,10.0,1.0,107.0,4.4,16.8,0.263,2.7,12.8,0.207,1.8,4.0,0.444,0.9,1.8,0.5,0.4,8.8,9.3,3.5,0.0,2.7,1.8,5.7,12.4,78.0,109.0,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-1.0,-7.7,-0.2
1 season,,CLE,NBA,,3.0,0.0,47.0,4.3,8.5,0.5,2.1,6.4,0.333,2.1,2.1,1.0,3.2,4.3,0.75,0.0,6.4,6.4,6.4,1.1,0.0,2.1,4.3,13.8,126.0,112.0,10.7,0.666,0.75,0.5,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,0.1,0.0,0.1,0.124,-3.0,0.4,-2.6,0.0
