Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,20.0,WAS,NBA,SF,63.0,9.0,671.0,6.5,15.3,0.427,1.8,5.7,0.316,4.7,9.6,0.492,2.3,3.6,0.633,1.8,7.8,9.7,0.9,1.6,0.5,2.5,7.3,17.1,93.0,106.0,8.2,0.507,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,-0.3,0.7,0.4,0.031,-4.6,-0.5,-5.1,-0.5
2016-17,21.0,WAS,NBA,SF,79.0,5.0,1605.0,5.7,13.6,0.421,1.7,5.8,0.287,4.1,7.8,0.52,2.3,3.0,0.758,1.9,6.1,8.0,1.4,1.8,0.5,1.5,6.0,15.4,104.0,110.0,9.1,0.516,0.425,0.224,4.3,14.0,9.2,4.0,1.8,0.9,9.3,14.6,0.6,1.5,2.0,0.061,-3.2,0.0,-3.2,-0.5
2017-18,22.0,WAS,NBA,SF,81.0,11.0,2231.0,7.1,17.6,0.403,2.8,8.2,0.341,4.3,9.4,0.456,4.3,5.2,0.82,1.3,6.8,8.1,2.2,1.8,0.8,2.0,5.2,21.2,106.0,109.0,11.9,0.534,0.467,0.295,3.0,15.4,9.2,6.4,1.8,1.4,9.2,19.4,1.4,2.3,3.7,0.08,-1.6,-0.1,-1.7,0.2
2018-19,23.0,TOT,NBA,SF,69.0,19.0,1935.0,9.2,20.7,0.445,2.7,8.3,0.32,6.6,12.4,0.53,4.6,6.0,0.775,1.7,6.2,8.0,2.1,2.1,1.5,2.5,4.5,25.8,105.0,113.0,15.2,0.551,0.401,0.29,4.0,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.9,1.3,2.2,0.054,-0.3,-0.9,-1.2,0.4
2018-19,23.0,WAS,NBA,SF,29.0,7.0,755.0,8.3,19.1,0.433,2.6,8.3,0.311,5.7,10.9,0.526,4.3,5.3,0.8,1.5,6.6,8.1,1.3,1.7,1.3,1.9,4.5,23.4,105.0,113.0,13.3,0.545,0.433,0.279,3.4,15.3,9.3,3.8,1.7,2.2,8.1,20.9,0.3,0.5,0.8,0.053,-1.4,-1.2,-2.6,-0.1
2018-19,23.0,PHO,NBA,SF,40.0,12.0,1180.0,9.8,21.7,0.453,2.7,8.3,0.325,7.1,13.4,0.532,4.9,6.4,0.761,1.9,6.0,7.9,2.6,2.3,1.6,3.0,4.5,27.3,105.0,113.0,16.4,0.555,0.384,0.296,4.3,14.2,9.2,8.7,2.3,2.8,10.7,24.7,0.5,0.8,1.3,0.054,0.4,-0.8,-0.4,0.5
2019-20,24.0,PHO,NBA,SF,56.0,55.0,1933.0,9.1,20.2,0.452,2.6,7.5,0.352,6.5,12.7,0.511,4.7,6.0,0.78,1.6,7.2,8.8,2.1,1.7,1.0,2.0,4.7,25.6,109.0,110.0,14.9,0.56,0.372,0.298,3.8,17.1,10.4,6.6,1.7,1.8,8.2,22.4,1.7,2.1,3.8,0.093,-0.3,-0.3,-0.5,0.7
2020-21,25.0,GSW,NBA,SF,55.0,50.0,1687.0,8.9,20.2,0.439,2.5,7.9,0.316,6.3,12.2,0.519,3.4,4.9,0.695,2.3,6.9,9.2,2.0,1.6,1.2,1.9,3.4,23.6,103.0,110.0,13.3,0.529,0.394,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8.0,22.1,0.0,2.2,2.2,0.062,-1.4,-0.5,-1.9,0.0
2021-22,26.0,CHO,NBA,SF,76.0,13.0,1999.0,9.8,22.4,0.44,4.6,13.3,0.345,5.3,9.1,0.578,3.0,4.5,0.667,1.9,5.4,7.2,2.0,1.8,0.7,1.6,4.5,27.3,111.0,115.0,14.9,0.56,0.593,0.203,4.1,12.0,8.0,6.2,1.8,1.5,6.2,23.0,1.8,1.4,3.3,0.079,0.2,-1.6,-1.4,0.3
2022-23,27.0,CHO,NBA,SF,48.0,40.0,1548.0,10.8,25.2,0.431,3.3,10.4,0.319,7.5,14.7,0.51,4.9,6.4,0.76,2.0,5.7,7.7,1.7,2.1,0.6,2.0,4.3,29.9,106.0,115.0,14.9,0.534,0.414,0.254,4.4,13.0,8.6,5.6,2.1,1.0,6.6,26.4,0.2,1.5,1.7,0.052,-0.4,-0.8,-1.2,0.3
