Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,19.0,UTA,NBA,C,48.0,7.0,565.0,8.6,16.9,0.508,0.0,0.0,,8.6,16.9,0.508,3.3,4.7,0.706,4.6,8.0,12.6,1.8,1.1,2.8,2.4,6.4,20.4,109.0,106.0,15.2,0.54,0.0,0.276,10.6,18.6,14.6,5.7,1.1,4.3,11.1,18.5,0.6,0.7,1.3,0.112,-1.3,-0.1,-1.4,0.1
2009-10,20.0,UTA,NBA,C,36.0,0.0,172.0,6.5,14.0,0.468,0.0,0.0,,6.5,14.0,0.468,2.7,4.5,0.6,4.8,8.6,13.4,1.8,0.6,1.2,4.5,7.7,15.8,91.0,106.0,7.7,0.494,0.0,0.319,11.3,19.4,15.5,5.1,0.6,1.9,21.9,17.9,-0.2,0.2,0.0,0.014,-5.3,-1.2,-6.5,-0.2
2010-11,21.0,TOT,NBA,C,50.0,2.0,434.0,7.8,17.2,0.453,0.0,0.2,0.0,7.8,17.0,0.459,2.8,4.9,0.558,6.5,8.4,14.9,0.8,1.1,2.9,3.6,6.8,18.4,95.0,108.0,12.6,0.474,0.013,0.287,14.6,19.1,16.8,2.5,1.1,4.4,15.5,19.9,-0.2,0.4,0.2,0.027,-3.9,-1.6,-5.5,-0.4
2010-11,21.0,MIN,NBA,C,39.0,1.0,336.0,7.0,16.0,0.435,0.0,0.3,0.0,7.0,15.7,0.443,1.8,3.6,0.5,6.2,8.1,14.4,1.0,1.2,3.0,3.7,7.4,15.7,90.0,109.0,10.4,0.447,0.019,0.222,13.5,18.7,16.0,3.2,1.2,4.5,17.4,18.2,-0.3,0.3,0.0,-0.004,-4.7,-1.2,-5.9,-0.3
2010-11,21.0,DEN,NBA,C,11.0,1.0,98.0,10.8,21.5,0.5,0.0,0.0,,10.8,21.5,0.5,6.1,9.7,0.632,7.7,9.2,16.9,0.0,1.0,2.6,3.1,4.6,27.7,108.0,105.0,20.3,0.536,0.0,0.452,18.2,20.6,19.4,0.0,1.0,3.9,10.6,25.6,0.1,0.1,0.3,0.133,-1.3,-2.8,-4.1,-0.1
2011-12,22.0,DEN,NBA,C,48.0,24.0,792.0,7.4,12.4,0.599,0.0,0.0,,7.4,12.4,0.599,2.1,3.5,0.6,6.1,10.5,16.6,1.0,1.5,2.6,2.1,6.2,16.9,120.0,102.0,17.3,0.608,0.0,0.286,14.4,23.3,19.0,2.9,1.5,4.1,13.2,14.0,1.7,1.0,2.7,0.163,0.5,0.4,0.9,0.6
2012-13,23.0,DEN,NBA,C,81.0,81.0,1817.0,8.2,14.1,0.581,0.0,0.0,0.0,8.2,14.1,0.582,1.6,2.9,0.558,5.9,9.8,15.6,0.9,1.2,2.9,1.5,6.8,18.0,122.0,103.0,17.2,0.585,0.002,0.205,13.3,21.2,17.3,2.6,1.2,4.4,8.7,14.5,3.9,2.5,6.5,0.171,0.2,0.4,0.6,1.2
2013-14,24.0,MEM,NBA,C,80.0,22.0,1349.0,9.0,18.2,0.495,0.0,0.0,,9.0,18.2,0.495,2.4,3.7,0.645,6.3,10.2,16.6,1.5,1.3,2.8,2.7,7.2,20.4,106.0,101.0,16.5,0.514,0.0,0.203,14.0,22.7,18.4,4.7,1.3,4.4,11.8,19.4,1.3,2.2,3.5,0.124,-1.5,0.1,-1.5,0.2
2014-15,25.0,MEM,NBA,C,81.0,3.0,1348.0,7.0,13.9,0.508,0.0,0.0,,7.0,13.9,0.508,2.1,3.3,0.647,4.7,11.8,16.5,1.4,1.1,2.4,2.7,5.7,16.2,103.0,99.0,14.2,0.53,0.0,0.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,0.8,2.5,3.3,0.118,-2.0,0.7,-1.2,0.2
2015-16,26.0,SAC,NBA,C,78.0,14.0,1482.0,7.6,14.4,0.532,0.0,0.0,,7.6,14.4,0.532,1.8,3.4,0.548,5.5,8.2,13.7,1.1,1.3,2.3,1.6,6.0,17.1,113.0,107.0,15.1,0.54,0.0,0.234,12.4,18.4,15.4,3.3,1.3,3.8,8.9,15.4,2.1,1.4,3.5,0.113,-1.3,-0.6,-2.0,0.0
2016-17,27.0,SAC,NBA,C,71.0,62.0,1419.0,7.7,14.0,0.551,0.0,0.0,0.0,7.7,13.9,0.552,1.4,2.2,0.613,4.2,10.2,14.4,1.7,1.3,1.7,2.2,6.1,16.8,109.0,109.0,13.8,0.56,0.003,0.158,9.7,23.0,16.4,5.3,1.3,3.1,12.7,15.3,1.2,1.4,2.6,0.089,-2.1,-0.4,-2.5,-0.2
2017-18,28.0,SAC,NBA,C,71.0,13.0,1391.0,8.1,14.1,0.571,0.0,0.0,,8.1,14.1,0.571,1.2,2.7,0.446,5.4,11.7,17.2,3.2,1.7,1.2,1.8,5.3,17.3,117.0,108.0,17.5,0.566,0.0,0.19,11.7,27.6,19.3,9.7,1.7,2.2,10.4,15.2,2.3,1.5,3.9,0.134,-0.2,-0.2,-0.4,0.6
2018-19,29.0,SAC,NBA,C,42.0,1.0,502.0,6.8,14.2,0.477,0.0,0.0,,6.8,14.2,0.477,0.9,2.2,0.417,4.8,11.6,16.4,3.3,1.4,1.7,2.5,6.3,14.5,101.0,108.0,12.3,0.477,0.0,0.157,10.4,26.3,18.2,9.5,1.4,3.1,14.2,15.7,0.0,0.7,0.7,0.063,-3.6,0.2,-3.4,-0.2
Career,,,NBA,,686.0,229.0,11271.0,7.9,14.7,0.534,0.0,0.0,0.0,7.9,14.7,0.535,1.9,3.2,0.582,5.4,10.1,15.5,1.6,1.3,2.3,2.1,6.3,17.6,111.0,105.0,15.4,0.545,0.001,0.217,12.1,22.7,17.4,4.9,1.3,3.7,11.8,16.0,13.5,14.7,28.3,0.12,-1.3,0.0,-1.3,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,262.0,90.0,4794.0,7.7,14.2,0.542,0.0,0.0,0.0,7.7,14.2,0.542,1.4,2.7,0.523,5.0,10.2,15.2,2.1,1.4,1.7,1.9,5.9,16.8,112.0,108.0,15.1,0.546,0.001,0.192,11.2,23.3,17.1,6.4,1.4,3.0,11.0,15.4,5.6,5.1,10.7,0.107,-1.5,-0.3,-1.8,0.3
2 seasons,,MEM,NBA,,161.0,25.0,2697.0,8.0,16.0,0.501,0.0,0.0,,8.0,16.0,0.501,2.3,3.5,0.646,5.5,11.0,16.5,1.5,1.2,2.6,2.7,6.5,18.3,105.0,100.0,15.3,0.521,0.0,0.218,12.2,24.2,18.2,4.5,1.2,4.1,13.2,17.6,2.1,4.7,6.8,0.121,-1.8,0.4,-1.4,0.4
3 seasons,,DEN,NBA,,140.0,106.0,2707.0,8.1,13.9,0.581,0.0,0.0,0.0,8.1,13.9,0.582,1.9,3.3,0.579,6.0,9.9,16.0,0.9,1.3,2.8,1.7,6.6,18.0,120.0,103.0,17.3,0.588,0.001,0.24,13.8,21.8,17.9,2.6,1.3,4.3,10.1,14.8,5.7,3.7,9.5,0.168,0.3,0.3,0.5,1.7
2 seasons,,UTA,NBA,,84.0,7.0,737.0,8.1,16.2,0.5,0.0,0.0,,8.1,16.2,0.5,3.1,4.6,0.682,4.6,8.2,12.8,1.8,1.0,2.4,2.9,6.7,19.3,105.0,106.0,13.4,0.531,0.0,0.284,10.7,18.8,14.8,5.5,1.0,3.8,13.6,18.4,0.4,1.0,1.4,0.089,-2.2,-0.3,-2.6,-0.1
1 season,,MIN,NBA,,39.0,1.0,336.0,7.0,16.0,0.435,0.0,0.3,0.0,7.0,15.7,0.443,1.8,3.6,0.5,6.2,8.1,14.4,1.0,1.2,3.0,3.7,7.4,15.7,90.0,109.0,10.4,0.447,0.019,0.222,13.5,18.7,16.0,3.2,1.2,4.5,17.4,18.2,-0.3,0.3,0.0,-0.004,-4.7,-1.2,-5.9,-0.3
