Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,20.0,NYK,NBA,PF,72.0,72.0,2047.0,9.4,22.2,0.421,2.0,6.1,0.333,7.3,16.1,0.454,5.0,6.0,0.838,3.3,9.9,13.2,2.4,1.3,3.4,3.0,5.1,25.8,103.0,103.0,17.7,0.518,0.274,0.271,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,1.5,2.9,4.4,0.102,0.6,0.3,0.9,1.5
2016-17,21.0,NYK,NBA,PF,66.0,65.0,2164.0,10.2,22.8,0.45,2.6,7.3,0.357,7.6,15.5,0.493,4.6,5.8,0.786,2.6,8.4,11.0,2.2,1.1,3.0,2.7,5.6,27.6,108.0,109.0,17.4,0.546,0.319,0.256,5.5,18.2,11.8,7.3,1.1,4.9,9.7,24.3,2.4,2.1,4.5,0.1,0.7,-0.3,0.3,1.3
2017-18,22.0,NYK,NBA,PF,48.0,48.0,1553.0,12.4,28.4,0.439,2.9,7.3,0.395,9.6,21.1,0.454,7.0,8.8,0.793,2.0,8.1,10.1,1.8,1.1,3.7,3.0,4.5,34.7,105.0,108.0,20.4,0.539,0.256,0.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31.0,1.4,1.8,3.2,0.099,1.9,-0.1,1.8,1.5
2019-20,24.0,DAL,NBA,C,57.0,57.0,1814.0,10.6,24.8,0.427,3.8,10.7,0.352,6.8,14.1,0.484,6.0,7.5,0.799,2.7,11.7,14.4,2.7,1.1,3.1,2.5,4.9,31.0,111.0,107.0,20.2,0.551,0.432,0.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,2.6,2.6,5.2,0.138,1.8,0.1,1.9,1.8
2020-21,25.0,DAL,NBA,C,43.0,43.0,1327.0,12.1,25.4,0.476,3.6,9.6,0.376,8.5,15.8,0.536,4.4,5.1,0.855,3.0,11.1,14.2,2.5,0.7,2.2,1.9,4.3,32.1,117.0,110.0,21.3,0.582,0.378,0.202,6.9,24.6,15.8,8.4,0.7,4.1,6.4,26.5,2.6,1.7,4.3,0.154,3.0,-0.8,2.2,1.4
2021-22,26.0,TOT,NBA,PF,51.0,51.0,1481.0,11.9,25.9,0.459,2.6,8.5,0.31,9.3,17.4,0.532,8.4,9.7,0.867,3.4,10.4,13.9,4.0,1.3,2.8,2.7,4.6,34.8,116.0,107.0,23.7,0.577,0.329,0.373,7.7,23.1,15.4,13.7,1.3,5.0,8.3,29.5,3.2,2.4,5.6,0.18,3.3,0.6,3.9,2.2
2021-22,26.0,DAL,NBA,PF,34.0,34.0,1002.0,11.5,25.5,0.451,2.5,8.7,0.283,9.0,16.8,0.537,7.4,8.5,0.865,3.2,9.9,13.1,3.5,1.3,3.0,2.7,4.4,32.9,113.0,106.0,21.8,0.561,0.341,0.335,7.1,21.9,14.5,11.7,1.3,5.3,8.3,28.6,1.6,1.8,3.4,0.161,2.2,0.8,3.0,1.3
2021-22,26.0,WAS,NBA,PF,17.0,17.0,479.0,12.7,26.7,0.475,3.0,8.2,0.367,9.7,18.6,0.522,10.4,12.0,0.871,3.9,11.6,15.5,5.2,1.2,2.6,2.9,5.1,38.8,122.0,110.0,27.7,0.606,0.305,0.448,8.9,25.5,17.3,17.9,1.2,4.4,8.3,31.4,1.6,0.6,2.2,0.22,5.4,0.2,5.7,0.9
2022-23,27.0,WAS,NBA,C,63.0,63.0,2052.0,11.5,23.4,0.494,3.1,8.2,0.378,8.4,15.2,0.557,8.3,9.8,0.851,2.6,9.9,12.6,4.0,1.3,2.4,3.2,4.6,34.5,121.0,113.0,22.9,0.623,0.351,0.418,6.3,21.8,14.4,12.7,1.3,4.1,10.4,27.6,4.7,2.6,7.4,0.172,3.6,0.4,4.0,3.1
Career,,,NBA,,400.0,399.0,12438.0,11.0,24.4,0.452,2.9,8.2,0.357,8.1,16.3,0.499,6.2,7.5,0.827,2.8,9.9,12.7,2.8,1.2,2.9,2.8,4.9,31.2,112.0,108.0,20.3,0.562,0.334,0.308,6.2,21.5,13.9,9.3,1.2,5.0,9.0,27.0,18.4,16.1,34.4,0.133,2.0,0.0,2.1,12.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,186.0,185.0,5764.0,10.5,24.1,0.437,2.5,6.9,0.361,8.1,17.3,0.467,5.4,6.7,0.804,2.7,8.8,11.5,2.2,1.2,3.3,2.9,5.2,28.9,105.0,107.0,18.3,0.535,0.284,0.278,5.8,19.1,12.5,7.2,1.2,5.3,9.7,26.2,5.3,6.8,12.1,0.1,1.0,-0.1,0.9,4.2
3 seasons,,DAL,NBA,,134.0,134.0,4143.0,11.3,25.2,0.448,3.4,9.9,0.345,7.9,15.3,0.515,5.8,7.0,0.831,2.9,11.1,14.0,2.8,1.0,2.8,2.3,4.6,31.8,113.0,108.0,20.9,0.563,0.393,0.278,6.5,24.2,15.4,9.4,1.0,5.0,7.6,27.2,6.7,6.1,12.8,0.149,2.3,0.0,2.3,4.5
2 seasons,,WAS,NBA,,80.0,80.0,2531.0,11.8,24.0,0.49,3.1,8.2,0.376,8.7,15.8,0.549,8.7,10.2,0.856,2.9,10.2,13.1,4.2,1.3,2.4,3.1,4.7,35.3,121.0,112.0,23.8,0.62,0.341,0.425,6.8,22.5,14.9,13.7,1.3,4.1,9.9,28.3,6.3,3.2,9.6,0.181,4.0,0.3,4.3,4.0
