Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1995-96,23.0,MIA,NBA,PF,74.0,42.0,1655.0,8.7,17.4,0.501,0.0,0.1,0.0,8.7,17.4,0.503,3.8,5.7,0.663,3.9,10.1,14.0,1.5,1.5,1.1,3.1,8.6,21.2,103.0,101.0,13.5,0.533,0.004,0.325,8.8,21.8,15.5,4.9,1.5,1.7,13.5,19.9,0.8,3.0,3.8,0.11,-2.6,0.8,-1.8,0.1
1996-97,24.0,MIA,NBA,PF,18.0,9.0,374.0,5.7,15.3,0.371,0.0,0.1,0.0,5.7,15.1,0.375,5.1,6.7,0.761,4.5,11.1,15.6,1.3,1.7,1.3,3.6,9.7,16.4,92.0,97.0,9.5,0.451,0.01,0.438,10.0,23.7,17.0,4.0,1.7,1.9,16.6,18.9,-0.3,0.8,0.5,0.07,-5.0,1.3,-3.7,-0.2
1997-98,25.0,DAL,NBA,PF,5.0,0.0,73.0,12.4,32.9,0.378,0.0,0.0,,12.4,32.9,0.378,2.2,2.2,1.0,5.8,11.7,17.5,2.2,0.7,0.0,7.3,13.9,27.1,76.0,105.0,6.4,0.399,0.0,0.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,-0.3,0.1,-0.2,-0.161,-11.5,-5.3,-16.8,-0.3
1998-99,26.0,NYK,NBA,PF,50.0,44.0,1182.0,7.9,17.2,0.462,0.0,0.0,0.0,7.9,17.2,0.463,3.1,5.0,0.611,3.8,9.5,13.4,2.6,2.1,0.8,3.4,7.4,19.0,95.0,95.0,13.1,0.489,0.003,0.293,8.5,19.6,14.3,8.9,2.1,1.1,14.9,19.8,0.2,2.3,2.5,0.1,-2.1,1.2,-0.8,0.4
1999-00,27.0,NYK,NBA,PF,80.0,21.0,1971.0,7.4,14.6,0.505,0.0,0.1,0.333,7.3,14.5,0.506,2.7,3.5,0.781,3.9,9.9,13.8,2.2,1.4,1.1,2.9,7.6,17.5,105.0,99.0,13.6,0.542,0.006,0.239,8.9,21.1,15.2,7.0,1.4,1.6,15.1,16.7,1.9,3.4,5.2,0.127,-1.4,1.4,-0.1,1.0
2000-01,28.0,NYK,NBA,PF,77.0,29.0,2125.0,8.2,16.0,0.511,0.0,0.1,0.333,8.2,15.9,0.512,4.5,5.5,0.814,4.5,8.9,13.4,1.6,1.6,1.8,2.6,7.5,20.8,111.0,96.0,16.9,0.566,0.005,0.342,10.1,18.9,14.6,5.4,1.6,2.6,12.3,18.5,4.1,4.1,8.2,0.185,-0.3,1.4,1.2,1.7
2001-02,29.0,NYK,NBA,C,82.0,82.0,2771.0,8.9,18.1,0.494,0.0,0.1,0.167,8.9,18.0,0.496,4.2,5.1,0.815,4.1,10.3,14.4,1.7,1.4,1.5,3.0,6.6,22.1,105.0,103.0,15.8,0.542,0.006,0.283,9.0,22.3,15.6,5.8,1.4,2.1,12.7,20.3,3.1,3.4,6.5,0.112,-1.0,0.0,-1.0,0.7
2002-03,30.0,NYK,NBA,C,81.0,81.0,2577.0,10.2,21.1,0.483,0.0,0.1,0.667,10.2,21.0,0.483,2.8,3.8,0.75,3.3,9.8,13.1,3.3,1.7,2.0,2.8,7.1,23.3,102.0,102.0,16.7,0.511,0.003,0.179,7.1,22.2,14.5,11.3,1.7,2.8,11.1,22.4,2.3,3.0,5.4,0.1,-0.6,0.7,0.1,1.3
2003-04,31.0,NYK,NBA,PF,80.0,75.0,2548.0,8.2,17.4,0.473,0.0,0.1,0.0,8.2,17.4,0.475,2.2,2.7,0.835,3.1,10.9,13.9,3.1,1.2,1.7,2.8,6.3,18.7,101.0,101.0,14.1,0.503,0.004,0.153,6.7,23.1,15.0,10.2,1.2,2.4,13.0,18.5,1.7,3.3,5.0,0.094,-1.3,0.6,-0.8,0.8
2004-05,32.0,NYK,NBA,PF,80.0,80.0,2855.0,7.9,16.7,0.471,0.0,0.1,0.5,7.8,16.6,0.47,1.2,1.6,0.786,3.2,12.3,15.4,3.0,1.3,1.5,1.8,5.7,17.0,104.0,105.0,14.1,0.488,0.004,0.093,6.9,27.4,17.1,9.3,1.3,2.1,9.5,16.6,1.8,3.3,5.2,0.087,-0.9,0.2,-0.8,0.9
2005-06,33.0,PHO,NBA,C,53.0,50.0,1411.0,6.7,13.9,0.486,0.0,0.0,,6.7,13.9,0.486,2.7,3.3,0.815,3.6,11.1,14.7,2.0,0.8,1.9,2.0,6.9,16.2,107.0,103.0,13.1,0.527,0.0,0.235,8.2,24.1,16.3,5.6,0.8,2.7,11.7,15.5,1.3,2.0,3.3,0.112,-2.6,0.8,-1.8,0.1
2006-07,34.0,PHO,NBA,C,67.0,13.0,1208.0,5.2,10.8,0.486,0.0,0.0,0.0,5.2,10.7,0.488,2.3,2.9,0.789,3.6,12.2,15.7,1.0,1.0,1.2,1.5,6.5,12.8,111.0,103.0,11.4,0.531,0.004,0.274,8.7,26.9,18.3,2.7,1.0,1.7,10.8,12.1,1.2,1.7,2.9,0.115,-2.1,0.4,-1.7,0.1
2007-08,35.0,TOT,NBA,"C,PF",70.0,48.0,1584.0,6.3,12.8,0.492,0.0,0.0,0.0,6.3,12.8,0.494,1.7,2.6,0.663,4.2,12.2,16.4,2.2,1.8,1.8,1.5,6.1,14.3,109.0,102.0,14.2,0.514,0.003,0.202,9.2,26.4,17.8,6.5,1.8,2.6,9.6,13.5,1.3,2.7,4.1,0.123,-1.7,1.9,0.1,0.9
2007-08,35.0,SEA,NBA,C,42.0,39.0,1060.0,6.5,12.7,0.513,0.0,0.0,,6.5,12.7,0.513,1.8,2.6,0.696,4.4,12.9,17.3,2.5,1.6,2.0,1.3,6.2,14.9,115.0,104.0,15.8,0.536,0.0,0.207,9.7,28.2,19.0,7.6,1.6,2.9,8.7,13.2,1.4,1.6,3.0,0.134,-0.9,1.6,0.8,0.7
2007-08,35.0,SAS,NBA,PF,28.0,9.0,524.0,5.8,12.9,0.448,0.0,0.1,0.0,5.8,12.8,0.452,1.4,2.5,0.583,3.7,10.5,14.2,1.4,2.2,1.4,1.9,5.9,13.0,97.0,98.0,11.1,0.465,0.008,0.192,8.2,22.7,15.5,4.2,2.2,2.0,11.7,14.0,-0.1,1.2,1.1,0.1,-3.4,2.3,-1.1,0.1
2008-09,36.0,SAS,NBA,PF,79.0,10.0,1404.0,5.9,11.8,0.503,0.0,0.1,0.0,5.9,11.7,0.507,1.4,1.7,0.822,5.2,10.5,15.7,2.6,1.3,2.2,1.6,6.6,13.3,115.0,101.0,14.0,0.53,0.007,0.148,11.5,22.7,17.2,7.2,1.3,3.1,11.5,12.6,1.8,2.7,4.5,0.152,-1.9,1.6,-0.3,0.6
2009-10,37.0,MIL,NBA,C,70.0,9.0,1049.0,4.9,10.4,0.476,0.0,0.0,,4.9,10.4,0.476,0.6,0.7,0.8,4.2,10.3,14.5,2.3,1.3,2.3,2.4,7.9,10.5,99.0,100.0,9.9,0.489,0.0,0.072,8.7,23.5,15.8,6.7,1.3,3.4,18.3,11.3,0.0,2.0,2.1,0.095,-4.4,2.1,-2.2,-0.1
2010-11,38.0,CHI,NBA,PF,52.0,37.0,1178.0,4.3,8.4,0.511,0.0,0.0,1.0,4.2,8.3,0.508,0.9,1.4,0.625,3.4,10.2,13.6,2.7,1.4,1.9,1.9,7.4,9.5,108.0,98.0,10.0,0.527,0.005,0.172,7.7,21.9,15.0,7.4,1.4,2.7,17.3,9.4,0.7,2.6,3.2,0.131,-3.4,2.8,-0.6,0.4
2011-12,39.0,POR,NBA,C,53.0,3.0,803.0,4.8,10.3,0.465,0.0,0.0,,4.8,10.3,0.465,0.9,1.3,0.7,2.6,9.8,12.3,3.0,1.6,2.0,2.0,8.1,10.5,99.0,104.0,9.5,0.483,0.0,0.127,5.5,22.1,13.7,8.7,1.6,3.0,15.8,11.2,0.2,0.9,1.1,0.067,-4.0,2.1,-1.9,0.0
2012-13,40.0,NYK,NBA,PF,39.0,17.0,392.0,6.1,11.3,0.542,0.1,0.1,1.0,6.0,11.2,0.537,0.8,1.8,0.462,3.3,8.9,12.1,2.9,1.4,2.2,1.1,7.1,13.2,119.0,104.0,13.3,0.547,0.012,0.157,6.9,20.1,13.3,8.3,1.4,3.5,8.3,11.5,0.6,0.5,1.1,0.135,-1.8,1.6,-0.1,0.2
Career,,,NBA,,1110.0,650.0,27160.0,7.5,15.4,0.486,0.0,0.1,0.281,7.5,15.4,0.487,2.5,3.3,0.76,3.8,10.6,14.3,2.4,1.4,1.6,2.4,7.0,17.5,105.0,101.0,13.9,0.519,0.004,0.215,8.3,23.0,15.7,7.4,1.4,2.3,12.6,16.9,22.4,41.8,64.2,0.114,-1.7,1.0,-0.8,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,NYK,NBA,,569.0,429.0,16421.0,8.4,17.3,0.486,0.0,0.1,0.333,8.4,17.2,0.487,2.8,3.7,0.777,3.6,10.3,14.0,2.5,1.5,1.6,2.6,6.8,19.7,104.0,101.0,15.0,0.521,0.005,0.211,8.0,22.5,15.3,8.4,1.5,2.2,12.2,18.8,15.7,23.3,39.0,0.114,-1.0,0.7,-0.3,6.9
2 seasons,,PHO,NBA,,120.0,63.0,2619.0,6.0,12.4,0.486,0.0,0.0,0.0,6.0,12.4,0.487,2.5,3.1,0.804,3.6,11.6,15.2,1.6,0.9,1.6,1.8,6.7,14.6,109.0,103.0,12.3,0.529,0.002,0.251,8.5,25.4,17.2,4.2,0.9,2.2,11.3,13.9,2.5,3.7,6.2,0.113,-2.4,0.6,-1.8,0.2
2 seasons,,SAS,NBA,,107.0,19.0,1928.0,5.9,12.1,0.487,0.0,0.1,0.0,5.9,12.0,0.491,1.4,1.9,0.739,4.8,10.5,15.3,2.3,1.5,2.0,1.7,6.4,13.2,110.0,100.0,13.2,0.51,0.007,0.161,10.6,22.7,16.7,6.4,1.5,2.8,11.6,13.0,1.7,3.8,5.5,0.138,-2.3,1.8,-0.5,0.7
2 seasons,,MIA,NBA,,92.0,51.0,2029.0,8.2,17.0,0.48,0.0,0.1,0.0,8.2,17.0,0.482,4.0,5.9,0.683,4.0,10.3,14.3,1.4,1.5,1.2,3.2,8.8,20.3,101.0,100.0,12.8,0.519,0.005,0.344,9.0,22.1,15.7,4.7,1.5,1.7,14.1,19.7,0.5,3.8,4.3,0.103,-3.1,0.9,-2.2,-0.1
1 season,,MIL,NBA,,70.0,9.0,1049.0,4.9,10.4,0.476,0.0,0.0,,4.9,10.4,0.476,0.6,0.7,0.8,4.2,10.3,14.5,2.3,1.3,2.3,2.4,7.9,10.5,99.0,100.0,9.9,0.489,0.0,0.072,8.7,23.5,15.8,6.7,1.3,3.4,18.3,11.3,0.0,2.0,2.1,0.095,-4.4,2.1,-2.2,-0.1
1 season,,POR,NBA,,53.0,3.0,803.0,4.8,10.3,0.465,0.0,0.0,,4.8,10.3,0.465,0.9,1.3,0.7,2.6,9.8,12.3,3.0,1.6,2.0,2.0,8.1,10.5,99.0,104.0,9.5,0.483,0.0,0.127,5.5,22.1,13.7,8.7,1.6,3.0,15.8,11.2,0.2,0.9,1.1,0.067,-4.0,2.1,-1.9,0.0
1 season,,CHI,NBA,,52.0,37.0,1178.0,4.3,8.4,0.511,0.0,0.0,1.0,4.2,8.3,0.508,0.9,1.4,0.625,3.4,10.2,13.6,2.7,1.4,1.9,1.9,7.4,9.5,108.0,98.0,10.0,0.527,0.005,0.172,7.7,21.9,15.0,7.4,1.4,2.7,17.3,9.4,0.7,2.6,3.2,0.131,-3.4,2.8,-0.6,0.4
1 season,,SEA,NBA,,42.0,39.0,1060.0,6.5,12.7,0.513,0.0,0.0,,6.5,12.7,0.513,1.8,2.6,0.696,4.4,12.9,17.3,2.5,1.6,2.0,1.3,6.2,14.9,115.0,104.0,15.8,0.536,0.0,0.207,9.7,28.2,19.0,7.6,1.6,2.9,8.7,13.2,1.4,1.6,3.0,0.134,-0.9,1.6,0.8,0.7
1 season,,DAL,NBA,,5.0,0.0,73.0,12.4,32.9,0.378,0.0,0.0,,12.4,32.9,0.378,2.2,2.2,1.0,5.8,11.7,17.5,2.2,0.7,0.0,7.3,13.9,27.1,76.0,105.0,6.4,0.399,0.0,0.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,-0.3,0.1,-0.2,-0.161,-11.5,-5.3,-16.8,-0.3
