Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,22.0,LAL,NBA,PF,77.0,37.0,2401.0,9.3,20.7,0.45,3.2,8.6,0.366,6.2,12.1,0.511,2.9,4.1,0.707,1.8,7.9,9.6,2.8,1.0,0.7,2.8,3.2,24.7,105.0,109.0,14.2,0.549,0.418,0.2,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,1.5,2.3,3.8,0.077,0.3,-1.0,-0.7,0.8
2018-19,23.0,LAL,NBA,PF,70.0,68.0,2314.0,10.0,21.9,0.456,2.6,8.5,0.303,7.4,13.4,0.553,3.8,5.0,0.752,1.2,6.5,7.7,3.6,0.8,0.5,2.7,3.4,26.3,106.0,112.0,14.0,0.546,0.388,0.23,2.7,14.1,8.5,11.5,0.8,0.9,10.0,23.8,1.2,1.9,3.1,0.065,-0.2,-1.2,-1.4,0.4
2019-20,24.0,LAL,NBA,PF,61.0,9.0,1526.0,9.1,20.8,0.436,2.7,8.5,0.316,6.4,12.3,0.518,3.6,4.8,0.735,1.6,6.9,8.5,2.5,0.9,0.8,2.8,3.9,24.4,103.0,109.0,12.2,0.531,0.407,0.232,3.8,15.7,9.8,7.6,0.9,1.5,11.0,22.9,0.1,1.9,2.0,0.063,-1.6,-1.0,-2.6,-0.2
2020-21,25.0,LAL,NBA,SF,68.0,32.0,1954.0,8.3,18.8,0.443,3.4,9.5,0.361,4.9,9.4,0.525,1.7,2.4,0.691,2.7,7.7,10.4,3.2,0.9,1.0,2.8,3.0,21.8,105.0,109.0,12.7,0.546,0.502,0.128,6.3,17.7,12.0,9.8,0.9,1.9,12.4,20.3,0.4,2.9,3.3,0.08,-0.4,-0.1,-0.4,0.8
2021-22,26.0,WAS,NBA,PF,66.0,66.0,2204.0,9.5,21.0,0.452,2.9,8.4,0.341,6.6,12.6,0.526,3.5,4.9,0.712,1.6,11.0,12.6,5.2,0.9,1.3,3.8,2.9,25.4,103.0,113.0,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0.0,2.0,2.0,0.044,0.2,-0.4,-0.2,1.0
2022-23,27.0,WAS,NBA,PF,64.0,64.0,2239.0,11.2,25.0,0.448,3.5,10.5,0.333,7.7,14.4,0.533,3.8,5.2,0.73,1.2,8.9,10.1,5.2,0.8,0.6,4.2,3.2,29.7,103.0,116.0,14.4,0.544,0.421,0.208,2.9,19.6,11.6,16.6,0.8,1.1,13.2,28.0,-0.9,1.9,1.0,0.021,-0.2,-1.5,-1.7,0.2
Career,,,NBA,,406.0,276.0,12638.0,9.6,21.4,0.449,3.0,9.0,0.338,6.6,12.4,0.529,3.2,4.4,0.725,1.6,8.2,9.8,3.8,0.9,0.8,3.2,3.2,25.5,104.0,112.0,13.9,0.545,0.42,0.207,3.8,18.2,11.1,12.1,0.9,1.4,12.0,23.7,2.4,12.8,15.2,0.058,-0.2,-0.9,-1.1,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAL,NBA,,276.0,146.0,8195.0,9.2,20.6,0.448,3.0,8.8,0.338,6.3,11.9,0.529,3.0,4.1,0.727,1.8,7.2,9.0,3.1,0.9,0.7,2.8,3.4,24.4,105.0,110.0,13.4,0.544,0.425,0.2,4.1,16.2,10.2,9.7,0.9,1.3,11.0,22.4,3.3,8.9,12.2,0.072,-0.3,-0.8,-1.2,1.7
2 seasons,,WAS,NBA,,130.0,130.0,4443.0,10.4,23.0,0.45,3.2,9.5,0.336,7.2,13.5,0.529,3.6,5.0,0.721,1.4,10.0,11.3,5.2,0.9,1.0,4.0,3.0,27.5,103.0,115.0,14.8,0.546,0.412,0.219,3.2,21.9,12.8,16.5,0.9,1.6,13.6,26.2,-1.0,3.9,3.0,0.032,0.0,-1.0,-1.0,1.2
