Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1999-00,20.0,LAC,NBA,SF,76.0,70.0,2767.0,8.3,18.9,0.438,1.1,3.0,0.36,7.2,15.9,0.453,5.6,7.8,0.719,2.9,8.1,11.0,5.9,1.7,1.8,4.8,5.4,23.3,100.0,108.0,16.8,0.521,0.16,0.41,6.2,18.2,12.0,20.2,1.7,2.3,17.6,23.5,1.7,1.5,3.2,0.055,0.8,-0.2,0.6,1.8
2000-01,21.0,LAC,NBA,PF,76.0,74.0,2836.0,9.1,19.7,0.46,1.5,4.8,0.316,7.6,15.0,0.506,4.9,7.3,0.679,2.1,9.1,11.2,7.4,1.4,2.3,5.0,4.5,24.6,102.0,102.0,18.9,0.536,0.242,0.369,4.6,18.9,11.9,25.0,1.4,3.0,17.8,24.1,3.2,3.3,6.5,0.111,2.9,1.1,4.0,4.3
2001-02,22.0,LAC,NBA,SF,29.0,25.0,999.0,8.1,19.2,0.419,0.9,4.5,0.19,7.2,14.7,0.489,3.3,5.0,0.656,1.7,7.7,9.4,9.1,1.2,1.9,5.2,4.9,20.2,94.0,105.0,13.7,0.473,0.233,0.258,3.6,16.2,10.0,28.6,1.2,2.5,19.5,22.5,-0.3,0.9,0.7,0.033,0.1,1.2,1.3,0.8
2002-03,23.0,LAC,NBA,SF,49.0,47.0,1679.0,8.4,19.1,0.439,1.3,4.0,0.326,7.1,15.1,0.469,4.3,5.5,0.777,1.8,8.4,10.2,5.6,1.3,1.3,4.4,5.7,22.3,99.0,106.0,14.6,0.519,0.211,0.286,4.0,17.9,11.0,19.0,1.3,1.7,16.9,22.3,0.9,1.2,2.2,0.062,-0.1,-0.2,-0.3,0.7
2003-04,24.0,MIA,NBA,PF,80.0,80.0,3003.0,8.8,20.5,0.43,1.1,3.7,0.298,7.7,16.8,0.46,6.2,8.3,0.742,2.9,11.2,14.1,5.9,1.5,1.3,4.3,5.0,24.9,102.0,98.0,18.5,0.516,0.182,0.406,6.1,24.2,15.1,20.6,1.5,1.9,15.1,24.5,3.6,4.8,8.4,0.134,1.7,1.2,2.9,3.8
2004-05,25.0,LAL,NBA,PF,64.0,64.0,2320.0,8.3,17.6,0.473,0.8,2.7,0.308,7.5,15.0,0.502,4.7,6.8,0.695,3.1,11.8,14.9,5.4,1.0,1.5,3.7,4.8,22.2,107.0,108.0,17.3,0.539,0.151,0.385,6.6,25.0,15.9,17.9,1.0,2.1,15.1,20.8,3.0,1.8,4.7,0.098,1.0,0.4,1.4,2.0
2005-06,26.0,LAL,NBA,PF,80.0,80.0,3221.0,7.3,15.2,0.481,1.3,3.5,0.372,6.0,11.6,0.514,3.5,5.1,0.69,3.0,9.1,12.1,7.3,1.2,1.0,3.5,4.2,19.4,112.0,105.0,17.0,0.558,0.232,0.338,6.6,20.3,13.5,22.4,1.2,1.5,16.7,18.1,5.4,3.8,9.2,0.137,2.1,0.6,2.7,3.9
2006-07,27.0,LAL,NBA,PF,56.0,56.0,2202.0,7.4,15.9,0.468,1.3,4.2,0.297,6.2,11.6,0.531,4.6,6.6,0.7,2.4,10.4,12.7,6.3,1.2,0.7,3.8,4.2,20.7,107.0,107.0,16.1,0.552,0.267,0.416,5.5,23.5,14.5,19.5,1.2,1.1,16.8,19.8,2.6,2.1,4.7,0.102,1.0,0.2,1.1,1.7
2007-08,28.0,LAL,NBA,PF,77.0,77.0,2921.0,7.2,13.7,0.525,0.5,1.9,0.274,6.6,11.7,0.566,3.9,5.6,0.698,3.4,10.7,14.1,4.7,1.3,1.2,2.7,3.8,18.8,116.0,104.0,16.9,0.582,0.142,0.413,7.8,22.7,15.6,13.8,1.3,1.8,14.2,16.5,5.3,4.3,9.7,0.159,1.3,1.0,2.3,3.2
2008-09,29.0,LAL,NBA,PF,78.0,32.0,2316.0,7.6,15.5,0.492,0.7,2.3,0.32,6.9,13.2,0.522,3.5,5.6,0.623,3.9,10.1,14.0,4.5,1.7,2.2,3.0,5.2,19.5,110.0,102.0,16.6,0.542,0.147,0.366,8.7,22.2,15.5,12.8,1.7,3.3,14.5,18.1,2.7,4.2,6.9,0.143,0.4,1.6,2.0,2.4
2009-10,30.0,LAL,NBA,PF,82.0,38.0,2585.0,6.8,14.8,0.463,1.2,3.6,0.319,5.7,11.1,0.51,2.8,4.0,0.693,3.7,12.4,16.0,5.3,1.5,1.2,3.0,4.5,17.6,109.0,100.0,15.9,0.533,0.246,0.273,8.0,26.5,17.3,15.6,1.5,1.7,15.3,17.0,2.8,4.9,7.7,0.143,0.7,1.8,2.5,2.9
2010-11,31.0,LAL,NBA,PF,82.0,35.0,2639.0,9.5,17.9,0.53,1.4,3.6,0.382,8.1,14.3,0.566,3.3,4.9,0.675,3.5,10.7,14.2,5.0,0.9,1.2,2.8,4.0,23.7,118.0,103.0,19.4,0.589,0.199,0.275,7.8,22.2,15.2,15.5,0.9,1.8,12.2,19.7,6.1,4.0,10.1,0.184,2.8,0.8,3.5,3.7
2011-12,32.0,DAL,NBA,SF,50.0,4.0,1027.0,6.3,17.8,0.352,1.4,5.7,0.252,4.9,12.2,0.399,3.0,5.0,0.592,1.8,8.8,10.6,4.2,1.0,0.9,2.7,5.0,17.0,89.0,103.0,9.2,0.423,0.318,0.281,4.0,18.7,11.4,12.9,1.0,1.4,11.7,20.1,-0.9,1.2,0.3,0.014,-3.2,0.1,-3.1,-0.3
2012-13,33.0,LAC,NBA,PF,82.0,2.0,1616.0,4.8,11.9,0.399,0.6,2.9,0.2,4.2,9.0,0.464,0.7,1.4,0.476,3.8,11.8,15.6,4.6,2.2,1.9,2.8,7.0,10.8,95.0,99.0,10.9,0.429,0.246,0.115,8.8,26.3,17.7,12.4,2.2,3.0,18.3,13.3,-0.3,3.0,2.7,0.081,-2.8,2.1,-0.7,0.6
Career,,,NBA,,961.0,684.0,32131.0,7.8,16.9,0.463,1.1,3.5,0.312,6.7,13.5,0.502,4.1,5.9,0.693,3.0,10.2,13.1,5.8,1.4,1.5,3.7,4.7,20.8,106.0,104.0,16.5,0.534,0.205,0.346,6.5,21.9,14.3,18.4,1.4,2.1,15.8,20.1,35.9,41.1,77.0,0.115,1.0,0.9,1.9,31.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,LAL,NBA,,519.0,382.0,18204.0,7.7,15.7,0.491,1.0,3.1,0.33,6.7,12.6,0.531,3.7,5.5,0.683,3.3,10.7,14.0,5.5,1.3,1.3,3.2,4.4,20.2,112.0,104.0,17.1,0.558,0.198,0.35,7.3,23.1,15.3,16.9,1.3,1.9,15.0,18.5,27.9,25.1,53.0,0.14,1.4,0.9,2.3,19.8
5 seasons,,LAC,NBA,,312.0,218.0,9897.0,7.9,18.1,0.439,1.1,3.8,0.299,6.8,14.3,0.476,4.1,5.9,0.7,2.5,9.0,11.5,6.4,1.6,1.9,4.5,5.4,21.1,99.0,104.0,15.7,0.511,0.211,0.328,5.5,19.5,12.5,20.9,1.6,2.6,17.8,21.7,5.3,10.0,15.3,0.074,0.6,0.7,1.3,8.2
1 season,,MIA,NBA,,80.0,80.0,3003.0,8.8,20.5,0.43,1.1,3.7,0.298,7.7,16.8,0.46,6.2,8.3,0.742,2.9,11.2,14.1,5.9,1.5,1.3,4.3,5.0,24.9,102.0,98.0,18.5,0.516,0.182,0.406,6.1,24.2,15.1,20.6,1.5,1.9,15.1,24.5,3.6,4.8,8.4,0.134,1.7,1.2,2.9,3.8
1 season,,DAL,NBA,,50.0,4.0,1027.0,6.3,17.8,0.352,1.4,5.7,0.252,4.9,12.2,0.399,3.0,5.0,0.592,1.8,8.8,10.6,4.2,1.0,0.9,2.7,5.0,17.0,89.0,103.0,9.2,0.423,0.318,0.281,4.0,18.7,11.4,12.9,1.0,1.4,11.7,20.1,-0.9,1.2,0.3,0.014,-3.2,0.1,-3.1,-0.3
