Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,21.0,TOT,NBA,SG,79.0,27.0,1802.0,6.3,14.6,0.431,4.4,10.4,0.422,1.9,4.2,0.453,2.0,2.4,0.806,0.6,3.0,3.5,3.1,1.0,0.3,1.2,4.1,18.9,120.0,115.0,11.0,0.604,0.711,0.167,1.3,6.4,3.9,9.0,1.0,0.4,7.0,15.0,2.7,0.9,3.6,0.095,-0.3,-1.3,-1.6,0.2
2018-19,21.0,PHI,NBA,SG,54.0,4.0,1108.0,6.5,14.8,0.441,4.2,10.4,0.404,2.3,4.3,0.529,1.9,2.3,0.815,0.6,2.7,3.3,2.5,1.0,0.3,1.1,4.5,19.1,119.0,114.0,10.7,0.606,0.706,0.156,1.4,5.9,3.7,7.4,1.0,0.6,6.6,15.0,1.6,0.6,2.2,0.096,-0.7,-1.1,-1.9,0.0
2018-19,21.0,LAC,NBA,SG,25.0,23.0,694.0,5.9,14.3,0.414,4.6,10.3,0.45,1.3,4.0,0.322,2.1,2.7,0.795,0.5,3.3,3.8,3.9,0.9,0.1,1.3,3.3,18.6,120.0,116.0,11.3,0.601,0.719,0.186,1.1,7.3,4.3,11.5,0.9,0.2,7.7,15.0,1.1,0.3,1.4,0.094,0.4,-1.6,-1.2,0.1
2019-20,22.0,LAC,NBA,SG,53.0,30.0,1452.0,5.1,12.7,0.404,3.6,9.6,0.375,1.5,3.1,0.495,2.1,2.5,0.855,0.2,3.1,3.3,3.2,0.7,0.3,1.4,4.6,16.0,115.0,113.0,8.5,0.58,0.757,0.194,0.4,6.6,3.6,9.1,0.7,0.6,9.0,13.4,1.5,1.1,2.6,0.086,-1.8,-0.3,-2.1,0.0
2020-21,23.0,BRK,NBA,SG,61.0,12.0,1403.0,6.4,15.7,0.408,4.4,11.4,0.387,2.0,4.2,0.463,2.3,2.7,0.846,0.4,3.5,3.9,3.4,1.1,0.3,1.7,3.2,19.5,113.0,118.0,10.3,0.578,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,0.063,-1.0,-1.5,-2.4,-0.2
2021-22,24.0,PHO,NBA,SG,69.0,14.0,1437.0,6.4,16.2,0.394,4.1,11.2,0.368,2.3,5.1,0.45,2.3,2.7,0.84,0.5,3.7,4.2,3.6,0.9,0.3,1.4,3.1,19.2,111.0,112.0,10.2,0.55,0.689,0.167,1.2,8.0,4.7,9.7,0.9,0.6,7.3,16.8,1.1,1.5,2.6,0.085,-0.9,-0.4,-1.2,0.3
2022-23,25.0,PHO,NBA,SG,34.0,7.0,721.0,7.0,18.1,0.386,4.6,12.1,0.38,2.4,6.0,0.398,2.8,3.2,0.894,0.6,3.1,3.7,4.9,1.6,0.3,2.3,3.7,21.4,111.0,116.0,10.8,0.549,0.67,0.176,1.4,7.3,4.3,13.9,1.6,0.6,10.6,19.0,0.4,0.6,1.0,0.068,-1.0,-0.4,-1.4,0.1
Career,,,NBA,,296.0,90.0,6815.0,6.2,15.1,0.407,4.2,10.8,0.389,2.0,4.3,0.453,2.2,2.6,0.843,0.4,3.3,3.7,3.5,1.0,0.3,1.5,3.8,18.7,114.0,115.0,10.1,0.575,0.713,0.174,1.0,7.1,4.2,9.7,1.0,0.6,8.3,15.8,6.8,4.8,11.6,0.082,-0.9,-0.8,-1.8,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,103.0,21.0,2158.0,6.6,16.9,0.391,4.3,11.5,0.372,2.3,5.4,0.431,2.5,2.9,0.859,0.6,3.5,4.1,4.1,1.1,0.3,1.7,3.3,19.9,111.0,113.0,10.4,0.55,0.682,0.17,1.3,7.8,4.6,11.1,1.1,0.6,8.5,17.6,1.5,2.1,3.6,0.08,-0.9,-0.4,-1.3,0.4
2 seasons,,LAC,NBA,,78.0,53.0,2146.0,5.4,13.2,0.408,3.9,9.8,0.4,1.5,3.4,0.429,2.1,2.5,0.835,0.3,3.1,3.4,3.5,0.7,0.3,1.3,4.2,16.8,117.0,114.0,9.4,0.587,0.744,0.191,0.7,6.8,3.8,9.8,0.7,0.5,8.6,13.9,2.6,1.4,4.0,0.089,-1.1,-0.7,-1.8,0.1
1 season,,BRK,NBA,,61.0,12.0,1403.0,6.4,15.7,0.408,4.4,11.4,0.387,2.0,4.2,0.463,2.3,2.7,0.846,0.4,3.5,3.9,3.4,1.1,0.3,1.7,3.2,19.5,113.0,118.0,10.3,0.578,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,0.063,-1.0,-1.5,-2.4,-0.2
1 season,,PHI,NBA,,54.0,4.0,1108.0,6.5,14.8,0.441,4.2,10.4,0.404,2.3,4.3,0.529,1.9,2.3,0.815,0.6,2.7,3.3,2.5,1.0,0.3,1.1,4.5,19.1,119.0,114.0,10.7,0.606,0.706,0.156,1.4,5.9,3.7,7.4,1.0,0.6,6.6,15.0,1.6,0.6,2.2,0.096,-0.7,-1.1,-1.9,0.0
