Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,22.0,PHI,NBA,PF,41.0,15.0,624.0,6.8,14.3,0.473,0.0,0.0,,6.8,14.3,0.473,0.9,1.2,0.786,4.0,10.6,14.7,2.9,1.1,1.5,1.7,6.3,14.5,104.0,98.0,12.7,0.488,0.0,0.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,0.4,1.2,1.6,0.124,-2.8,1.0,-1.7,0.0
2012-13,23.0,PHI,NBA,C,79.0,37.0,1669.0,6.5,14.3,0.454,0.0,0.0,0.0,6.5,14.3,0.455,1.4,1.9,0.717,5.0,7.5,12.5,2.3,0.8,1.7,1.7,5.7,14.4,103.0,106.0,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.9,1.6,2.5,0.072,-3.0,-0.3,-3.3,-0.6
2013-14,24.0,TOT,NBA,PF,65.0,2.0,1072.0,6.1,13.6,0.447,0.1,0.6,0.154,6.0,13.1,0.46,1.5,2.3,0.66,5.4,8.7,14.1,3.2,1.1,1.5,2.0,5.7,13.8,104.0,108.0,12.5,0.47,0.043,0.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,0.6,0.9,1.5,0.066,-2.6,-0.8,-3.5,-0.4
2013-14,24.0,PHI,NBA,PF,51.0,2.0,960.0,5.9,13.4,0.44,0.1,0.7,0.154,5.8,12.8,0.455,1.4,2.0,0.675,5.3,8.6,14.0,3.3,1.1,1.4,2.0,5.8,13.3,103.0,109.0,11.9,0.464,0.049,0.15,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,0.4,0.7,1.1,0.053,-2.9,-1.0,-3.8,-0.4
2013-14,24.0,IND,NBA,PF,14.0,0.0,112.0,7.9,15.8,0.5,0.0,0.0,,7.9,15.8,0.5,2.8,4.6,0.6,6.0,9.7,15.8,2.8,0.9,2.8,1.9,5.1,18.5,113.0,97.0,17.5,0.521,0.0,0.294,13.7,20.1,17.1,9.0,0.9,4.1,9.4,17.3,0.2,0.2,0.4,0.18,-0.8,0.2,-0.5,0.0
2014-15,25.0,IND,NBA,C,63.0,0.0,1070.0,6.8,14.4,0.472,0.0,0.0,,6.8,14.4,0.472,1.6,2.3,0.702,5.9,9.6,15.6,3.5,0.7,2.0,1.9,4.9,15.2,109.0,102.0,14.9,0.493,0.0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,1.3,1.6,2.8,0.127,-0.5,0.5,0.0,0.6
2015-16,26.0,IND,NBA,PF,79.0,28.0,1599.0,5.9,11.5,0.516,0.0,0.0,,5.9,11.5,0.516,1.4,2.3,0.63,5.0,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,110.0,104.0,12.4,0.532,0.0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,0.11,-1.7,0.1,-1.6,0.2
2016-17,27.0,IND,NBA,PF,61.0,5.0,871.0,4.4,9.7,0.458,0.0,0.1,0.0,4.4,9.6,0.461,1.3,1.9,0.697,6.0,6.6,12.6,3.3,1.0,1.4,1.7,4.5,10.2,114.0,110.0,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1
Career,,,NBA,,388.0,87.0,6905.0,6.1,13.0,0.471,0.0,0.1,0.133,6.1,12.8,0.474,1.4,2.0,0.682,5.3,8.3,13.6,2.8,0.9,1.6,1.9,5.2,13.6,107.0,105.0,12.5,0.491,0.009,0.158,11.4,18.2,14.8,8.4,0.9,2.5,12.0,13.9,5.7,8.1,13.8,0.096,-2.0,0.0,-2.1,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,217.0,33.0,3652.0,5.9,12.0,0.489,0.0,0.0,0.0,5.9,12.0,0.49,1.5,2.2,0.663,5.6,8.2,13.8,2.9,0.8,1.6,2.0,4.7,13.2,110.0,105.0,13.1,0.509,0.001,0.187,12.3,17.9,15.1,8.7,0.8,2.5,13.1,13.3,4.0,4.7,8.6,0.113,-1.3,0.2,-1.1,0.8
3 seasons,,PHI,NBA,,171.0,54.0,3253.0,6.4,14.1,0.453,0.0,0.2,0.143,6.3,13.8,0.458,1.3,1.8,0.711,4.9,8.4,13.4,2.7,0.9,1.6,1.8,5.8,14.1,103.0,106.0,11.9,0.473,0.016,0.129,10.3,18.6,14.4,8.1,0.9,2.4,10.9,14.6,1.7,3.5,5.2,0.076,-2.9,-0.3,-3.2,-1.0
