Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,19.0,CLE,NBA,SG,79.0,79.0,3122.0,10.5,25.3,0.417,1.1,3.7,0.29,9.5,21.6,0.438,5.9,7.8,0.754,1.7,5.6,7.3,7.9,2.2,1.0,4.6,2.5,28.0,99.0,104.0,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,2.4,2.6,5.1,0.078,2.3,-0.6,1.7,2.9
2004-05,20.0,CLE,NBA,SF,80.0,80.0,3388.0,12.6,26.6,0.472,1.7,4.9,0.351,10.8,21.7,0.499,7.5,10.0,0.75,1.8,7.5,9.3,9.1,2.8,0.8,4.1,2.3,34.3,114.0,103.0,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,7.0,1.7,8.6,9.1
2005-06,21.0,CLE,NBA,SF,79.0,79.0,3361.0,13.9,29.0,0.48,2.0,6.0,0.335,11.9,23.0,0.518,9.6,12.9,0.738,1.2,7.6,8.8,8.3,2.0,1.0,4.1,2.9,39.4,115.0,104.0,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,0.232,7.5,1.6,9.1,9.4
2006-07,22.0,CLE,NBA,SF,78.0,78.0,3190.0,12.8,26.9,0.476,1.6,5.1,0.319,11.2,21.7,0.513,8.1,11.6,0.698,1.4,7.3,8.7,7.8,2.1,0.9,4.1,2.8,35.3,112.0,100.0,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.9,2.2,8.1,8.1
2007-08,23.0,CLE,NBA,SF,75.0,74.0,3027.0,14.0,28.9,0.484,2.0,6.3,0.315,12.0,22.6,0.531,9.7,13.6,0.712,2.3,8.1,10.4,9.5,2.4,1.4,4.5,2.9,39.6,116.0,104.0,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,8.2,2.6,10.9,9.8
2008-09,24.0,CLE,NBA,SF,81.0,81.0,3054.0,14.0,28.6,0.489,2.3,6.8,0.344,11.6,21.8,0.535,10.5,13.5,0.78,1.9,9.0,10.9,10.4,2.4,1.6,4.3,2.5,40.8,122.0,99.0,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8
2009-10,25.0,CLE,NBA,SF,76.0,76.0,2966.0,13.6,27.1,0.503,2.3,6.9,0.333,11.3,20.2,0.56,10.5,13.7,0.767,1.3,8.6,9.8,11.5,2.2,1.4,4.6,2.1,40.0,121.0,102.0,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3
2010-11,26.0,MIA,NBA,SF,79.0,79.0,3063.0,13.1,25.6,0.51,1.6,4.8,0.33,11.5,20.8,0.552,8.7,11.4,0.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,116.0,102.0,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8
2011-12,27.0,MIA,NBA,SF,62.0,62.0,2326.0,14.1,26.4,0.531,1.2,3.4,0.362,12.8,23.1,0.556,8.8,11.4,0.771,2.1,9.0,11.1,8.8,2.6,1.1,4.8,2.2,38.1,118.0,97.0,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,0.298,8.2,2.7,10.9,7.6
2012-13,28.0,MIA,NBA,PF,76.0,76.0,2877.0,14.1,24.9,0.565,1.9,4.7,0.406,12.2,20.2,0.602,7.4,9.8,0.753,1.8,9.4,11.2,10.1,2.4,1.2,4.2,2.0,37.5,125.0,101.0,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9
