Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,22.0,MIL,NBA,PF,82.0,52.0,2114.0,5.6,12.0,0.462,0.0,0.1,0.0,5.6,11.9,0.466,3.4,4.7,0.729,4.6,7.3,11.9,2.1,2.1,1.1,2.5,5.0,14.6,106.0,106.0,12.3,0.516,0.008,0.391,10.1,17.4,13.6,6.3,2.1,1.8,14.8,14.3,1.2,2.8,4.0,0.092,-1.6,0.8,-0.8,0.6
2009-10,23.0,MIL,NBA,PF,73.0,62.0,1866.0,5.0,10.4,0.48,0.2,0.5,0.353,4.8,9.9,0.486,2.6,3.7,0.699,4.8,6.4,11.2,2.3,1.7,1.1,2.0,5.1,12.7,111.0,103.0,11.8,0.53,0.046,0.36,9.9,14.6,12.2,6.5,1.7,1.6,14.1,12.1,1.8,3.0,4.7,0.122,-1.8,1.5,-0.3,0.8
2010-11,24.0,MIL,NBA,PF,79.0,52.0,2093.0,5.1,10.9,0.463,0.0,0.2,0.0,5.1,10.8,0.47,3.4,4.8,0.707,4.3,6.4,10.7,1.7,1.8,0.7,2.0,4.6,13.5,107.0,103.0,11.5,0.518,0.016,0.439,9.2,14.3,11.7,5.3,1.8,1.1,13.1,13.1,1.5,3.3,4.8,0.109,-2.3,1.1,-1.3,0.4
2011-12,25.0,MIL,NBA,PF,43.0,22.0,1009.0,6.7,13.2,0.51,0.1,0.2,0.25,6.7,13.0,0.514,3.3,5.2,0.641,3.9,7.6,11.5,1.5,2.0,1.1,2.0,4.7,16.9,109.0,104.0,13.9,0.544,0.015,0.395,8.2,16.9,12.4,4.4,2.0,1.6,11.3,15.1,1.2,1.1,2.4,0.112,-1.2,0.1,-1.1,0.2
2012-13,26.0,MIL,NBA,SF,58.0,45.0,1326.0,5.8,14.4,0.401,0.5,1.4,0.351,5.3,13.0,0.406,2.8,4.8,0.571,3.4,6.4,9.8,2.1,1.6,0.5,2.7,3.1,14.8,92.0,107.0,9.1,0.447,0.098,0.334,7.0,14.0,10.4,6.1,1.6,0.8,13.9,16.5,-0.8,1.2,0.5,0.017,-3.5,-0.6,-4.1,-0.7
2013-14,27.0,TOT,NBA,"PF,SF",64.0,7.0,1003.0,4.3,9.5,0.451,0.2,0.8,0.235,4.1,8.7,0.472,2.3,3.3,0.687,2.8,4.5,7.2,1.8,1.5,0.7,2.0,3.4,11.1,101.0,109.0,8.3,0.503,0.088,0.347,6.0,10.1,8.0,5.1,1.5,1.1,15.2,11.2,0.2,0.8,1.0,0.049,-3.0,0.2,-2.8,-0.2
2013-14,27.0,SAC,NBA,SF,9.0,5.0,196.0,3.9,8.3,0.469,0.3,0.8,0.333,3.6,7.5,0.483,2.3,3.4,0.692,2.3,4.7,7.0,3.9,2.3,1.3,1.0,4.7,10.4,119.0,108.0,11.7,0.53,0.094,0.406,5.1,10.5,7.8,11.1,2.3,2.1,9.6,9.4,0.3,0.2,0.4,0.106,-1.7,2.3,0.5,0.1
2013-14,27.0,MIN,NBA,PF,55.0,2.0,807.0,4.4,9.8,0.447,0.2,0.9,0.214,4.2,9.0,0.469,2.3,3.3,0.685,2.9,4.4,7.3,1.3,1.3,0.6,2.2,3.1,11.2,98.0,109.0,7.5,0.498,0.087,0.335,6.2,10.0,8.0,3.6,1.3,0.8,16.3,11.6,0.0,0.6,0.6,0.035,-3.4,-0.2,-3.6,-0.3
2014-15,28.0,PHI,NBA,PF,67.0,61.0,1916.0,6.6,16.6,0.395,1.6,5.3,0.307,4.9,11.4,0.435,2.5,4.3,0.589,2.1,6.4,8.6,2.8,2.1,0.5,2.6,2.7,17.3,93.0,106.0,10.6,0.466,0.318,0.256,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.3,-0.9,2.0,1.1,0.027,-2.7,-0.1,-2.8,-0.4
2015-16,29.0,LAC,NBA,PF,75.0,61.0,1274.0,3.7,8.1,0.454,0.5,1.6,0.325,3.2,6.6,0.485,1.2,2.2,0.526,2.4,4.4,6.7,1.2,1.7,0.7,1.3,3.9,9.1,101.0,106.0,7.3,0.498,0.193,0.275,5.2,9.4,7.3,3.3,1.7,1.2,12.8,9.4,0.2,1.3,1.6,0.059,-3.2,0.6,-2.6,-0.2
