Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,21.0,DET,NBA,SG,73.0,9.0,1463.0,7.0,15.9,0.443,2.8,6.6,0.415,4.3,9.2,0.463,2.2,2.6,0.855,0.7,5.3,6.0,4.2,1.5,0.4,2.4,2.9,19.0,108.0,109.0,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-0.9,0.1,-0.8,0.5
2018-19,22.0,DET,NBA,SG,63.0,10.0,1437.0,7.8,17.8,0.438,3.6,9.2,0.394,4.2,8.6,0.486,1.7,2.1,0.836,0.4,5.9,6.3,3.9,0.9,0.3,2.0,3.2,21.0,110.0,112.0,11.9,0.56,0.517,0.117,0.9,13.5,7.0,12.3,0.9,0.6,9.4,18.1,1.3,1.3,2.5,0.085,-0.4,-0.6,-1.1,0.3
2019-20,23.0,DET,NBA,SG,28.0,25.0,922.0,8.1,18.2,0.442,3.9,9.8,0.399,4.2,8.5,0.491,3.6,4.0,0.893,0.5,4.7,5.2,6.1,0.6,0.3,2.3,3.5,23.6,117.0,117.0,14.4,0.589,0.535,0.219,1.1,11.1,6.0,19.2,0.6,0.5,10.3,19.8,1.6,0.3,1.9,0.1,1.1,-1.4,-0.3,0.4
2020-21,24.0,LAC,NBA,SG,63.0,17.0,1232.0,7.9,16.6,0.476,4.0,9.0,0.446,3.9,7.6,0.511,1.0,1.2,0.839,0.6,5.9,6.5,4.2,0.9,0.4,1.9,3.7,20.9,117.0,114.0,12.7,0.608,0.541,0.075,1.4,13.0,7.3,11.9,0.9,0.7,10.1,17.1,1.6,1.1,2.7,0.105,0.3,-0.5,-0.2,0.6
2021-22,25.0,LAC,NBA,SG,70.0,13.0,1919.0,7.3,16.3,0.449,4.9,10.8,0.449,2.5,5.5,0.449,1.8,2.0,0.896,0.5,5.3,5.8,3.7,1.1,0.2,1.5,2.6,21.3,119.0,113.0,13.3,0.619,0.662,0.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,0.113,0.8,-0.3,0.5,1.2
2022-23,26.0,TOT,NBA,SG,52.0,11.0,1104.0,6.6,13.9,0.476,4.7,9.6,0.486,2.0,4.4,0.455,1.5,1.6,0.944,0.4,5.0,5.5,3.2,1.2,0.2,1.8,3.2,19.4,124.0,116.0,12.1,0.664,0.688,0.114,1.0,11.3,6.2,8.9,1.2,0.3,10.7,14.5,1.6,1.0,2.5,0.111,-0.2,0.0,-0.2,0.5
2022-23,26.0,LAC,NBA,SG,35.0,11.0,725.0,6.6,14.3,0.464,4.0,8.9,0.447,2.6,5.3,0.494,1.3,1.4,0.95,0.4,5.2,5.6,2.5,1.3,0.3,2.0,3.2,18.6,114.0,116.0,10.5,0.623,0.626,0.095,0.9,11.8,6.4,7.2,1.3,0.5,12.0,15.1,0.5,0.6,1.1,0.072,-1.4,0.0,-1.4,0.1
2022-23,26.0,MEM,NBA,SG,17.0,0.0,379.0,6.6,13.3,0.5,5.9,10.8,0.547,0.8,2.5,0.3,1.9,2.0,0.938,0.5,4.6,5.1,4.4,1.1,0.0,1.3,3.1,21.1,145.0,115.0,15.0,0.743,0.811,0.151,1.1,10.3,5.7,12.1,1.1,0.0,8.1,13.4,1.1,0.4,1.5,0.184,2.1,-0.2,1.9,0.4
Career,,,NBA,,349.0,85.0,8077.0,7.4,16.4,0.452,4.0,9.2,0.434,3.4,7.2,0.476,1.9,2.2,0.876,0.5,5.4,5.9,4.1,1.1,0.3,1.9,3.1,20.8,115.0,113.0,12.7,0.597,0.561,0.132,1.2,12.0,6.6,12.4,1.1,0.5,10.0,17.2,10.1,6.7,16.8,0.1,0.1,-0.4,-0.3,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,168.0,41.0,3876.0,7.4,16.0,0.46,4.4,9.9,0.448,3.0,6.2,0.48,1.4,1.6,0.891,0.5,5.5,6.0,3.6,1.1,0.2,1.8,3.0,20.6,118.0,114.0,12.6,0.616,0.616,0.101,1.2,11.9,6.7,10.7,1.1,0.4,9.5,16.6,5.0,3.3,8.3,0.103,0.2,-0.3,-0.1,1.9
3 seasons,,DET,NBA,,164.0,44.0,3822.0,7.6,17.2,0.441,3.4,8.4,0.402,4.2,8.8,0.478,2.4,2.7,0.863,0.5,5.4,5.9,4.6,1.1,0.4,2.2,3.1,20.9,111.0,112.0,12.6,0.568,0.488,0.16,1.2,12.3,6.6,14.1,1.1,0.7,10.6,18.2,4.0,3.0,7.0,0.088,-0.2,-0.5,-0.8,1.2
1 season,,MEM,NBA,,17.0,0.0,379.0,6.6,13.3,0.5,5.9,10.8,0.547,0.8,2.5,0.3,1.9,2.0,0.938,0.5,4.6,5.1,4.4,1.1,0.0,1.3,3.1,21.1,145.0,115.0,15.0,0.743,0.811,0.151,1.1,10.3,5.7,12.1,1.1,0.0,8.1,13.4,1.1,0.4,1.5,0.184,2.1,-0.2,1.9,0.4
