Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,22.0,NYK,NBA,PF,20.0,1.0,326.0,7.5,19.0,0.392,4.3,12.0,0.354,3.2,7.0,0.457,1.2,1.7,0.727,1.7,8.1,9.7,4.0,0.9,2.4,1.8,4.3,20.4,106.0,110.0,13.6,0.516,0.632,0.088,3.8,18.0,10.9,11.6,0.9,4.2,8.5,19.0,0.2,0.3,0.5,0.077,0.4,-0.2,0.2,0.2
2018-19,23.0,NYK,NBA,PF,46.0,18.0,784.0,6.6,17.4,0.378,4.3,11.9,0.363,2.3,5.5,0.411,2.3,2.8,0.826,1.7,6.6,8.3,3.3,1.7,2.6,1.5,2.5,19.8,110.0,111.0,14.8,0.531,0.682,0.163,3.6,14.6,9.0,10.5,1.7,4.5,7.6,17.9,0.6,0.7,1.4,0.083,1.4,0.7,2.1,0.8
2019-20,24.0,CHI,NBA,C,36.0,14.0,559.0,7.1,16.1,0.439,2.7,9.3,0.287,4.4,6.8,0.646,1.7,2.4,0.714,1.9,5.3,7.2,2.8,0.9,2.2,1.2,4.7,18.5,112.0,111.0,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.5,0.6,1.1,0.091,-0.9,-0.2,-1.2,0.1
2020-21,25.0,TOT,NBA,"C,PF",31.0,2.0,348.0,6.2,14.1,0.436,2.1,8.3,0.254,4.1,5.9,0.69,0.4,0.8,0.5,2.0,7.4,9.4,3.4,0.6,4.5,1.0,2.8,14.8,112.0,110.0,13.3,0.511,0.584,0.059,4.4,17.0,10.7,9.5,0.6,8.5,6.3,13.7,0.2,0.5,0.7,0.095,-0.8,1.6,0.8,0.3
2020-21,25.0,CHI,NBA,PF,13.0,0.0,94.0,4.6,13.9,0.333,3.1,11.9,0.261,1.5,2.1,0.75,1.0,2.1,0.5,0.5,7.2,7.7,2.1,1.0,3.6,0.5,0.5,13.4,97.0,109.0,9.8,0.452,0.852,0.148,1.2,16.3,8.8,5.5,1.0,6.5,3.4,13.7,0.0,0.1,0.1,0.047,-0.6,1.3,0.6,0.1
2020-21,25.0,BOS,NBA,C,18.0,2.0,254.0,6.7,14.2,0.473,1.7,6.9,0.25,5.0,7.3,0.684,0.2,0.4,0.5,2.5,7.5,10.0,3.8,0.4,4.8,1.2,3.7,15.4,117.0,110.0,14.5,0.534,0.486,0.027,5.7,17.2,11.4,10.9,0.4,9.2,7.4,13.7,0.3,0.3,0.6,0.113,-0.8,1.8,0.9,0.2
2021-22,26.0,TOT,NBA,C,15.0,0.0,103.0,6.3,13.0,0.481,0.0,2.4,0.0,6.3,10.6,0.591,1.9,2.9,0.667,6.3,7.7,14.0,4.3,1.4,1.4,0.0,4.3,14.5,133.0,107.0,16.6,0.506,0.185,0.222,14.0,16.4,15.2,12.4,1.4,2.6,0.0,12.7,0.2,0.2,0.4,0.194,-0.9,0.4,-0.5,0.0
2021-22,26.0,CLE,NBA,C,2.0,0.0,15.0,3.3,16.6,0.2,0.0,3.3,0.0,3.3,13.3,0.25,6.7,10.0,0.667,6.7,3.3,10.0,3.3,0.0,3.3,0.0,3.3,13.3,96.0,112.0,8.7,0.316,0.2,0.6,15.1,7.2,11.1,8.8,0.0,5.9,0.0,18.6,0.0,0.0,0.0,0.008,-6.7,-3.2,-9.9,0.0
2021-22,26.0,MIL,NBA,C,1.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,,0.0,16.0,0.0,0.0,0.0,,16.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,70.0,120.0,-5.0,0.0,0.0,0.0,36.1,0.0,17.7,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,-0.154,-14.2,-10.5,-24.7,0.0
2021-22,26.0,BOS,NBA,C,12.0,0.0,85.0,7.0,12.3,0.571,0.0,2.3,0.0,7.0,9.9,0.706,1.2,1.8,0.667,5.8,8.8,14.6,4.7,1.8,1.2,0.0,4.1,15.2,145.0,106.0,18.8,0.582,0.19,0.143,13.0,18.6,15.9,13.5,1.8,2.1,0.0,11.6,0.3,0.2,0.4,0.239,0.6,1.4,2.1,0.1
