Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,23.0,SAS,NBA,PF,3.0,0.0,15.0,0.0,10.3,0.0,0.0,0.0,,0.0,10.3,0.0,3.4,6.9,0.5,3.4,6.9,10.3,3.4,3.4,3.4,0.0,0.0,3.4,62.0,97.0,7.1,0.129,0.0,0.667,7.8,15.0,11.5,8.1,3.4,4.8,0.0,11.8,0.0,0.0,0.0,-0.028,-2.5,0.4,-2.0,0.0
2012-13,24.0,TOT,NBA,PF,12.0,0.0,57.0,4.6,9.2,0.5,0.0,0.0,,4.6,9.2,0.5,4.6,7.4,0.625,4.6,10.2,14.8,3.7,1.8,1.8,2.8,7.4,13.8,109.0,100.0,13.8,0.555,0.0,0.8,10.0,21.6,15.9,10.3,1.9,2.7,18.2,13.2,0.1,0.1,0.2,0.133,-1.9,2.2,0.3,0.0
2012-13,24.0,GSW,NBA,PF,5.0,0.0,21.0,0.0,2.4,0.0,0.0,0.0,,0.0,2.4,0.0,7.3,9.7,0.75,0.0,12.1,12.1,4.8,0.0,2.4,2.4,2.4,7.3,104.0,104.0,8.8,0.543,0.0,4.0,0.0,25.4,13.1,12.1,0.0,3.7,26.6,8.0,0.0,0.0,0.0,0.077,-2.2,2.6,0.4,0.0
2012-13,24.0,CHI,NBA,PF,7.0,0.0,36.0,7.5,13.4,0.556,0.0,0.0,,7.5,13.4,0.556,3.0,6.0,0.5,7.5,9.0,16.4,3.0,3.0,1.5,3.0,10.4,17.9,111.0,98.0,16.7,0.558,0.0,0.444,15.8,19.4,17.5,9.3,3.0,2.1,15.7,16.3,0.1,0.1,0.1,0.166,-1.7,2.0,0.2,0.0
2013-14,25.0,TOT,NBA,PF,8.0,0.0,63.0,5.8,13.2,0.438,0.8,3.3,0.25,5.0,9.9,0.5,0.0,1.7,0.0,4.1,13.2,17.3,1.7,0.0,2.5,7.4,4.1,12.4,67.0,107.0,4.6,0.444,0.25,0.125,9.0,28.9,19.0,5.1,0.0,3.5,34.8,18.7,-0.2,0.1,-0.2,-0.132,-7.1,-1.9,-9.1,-0.1
2013-14,25.0,SAS,NBA,PF,1.0,0.0,15.0,3.4,13.5,0.25,0.0,0.0,,3.4,13.5,0.25,0.0,6.7,0.0,3.4,27.0,30.3,0.0,0.0,6.7,3.4,0.0,6.7,47.0,88.0,6.6,0.205,0.0,0.5,7.8,57.8,33.8,0.0,0.0,9.6,17.0,17.7,-0.1,0.0,0.0,-0.107,-8.3,1.0,-7.4,0.0
2013-14,25.0,UTA,NBA,PF,7.0,0.0,48.0,6.6,13.1,0.5,1.1,4.4,0.25,5.5,8.8,0.625,0.0,0.0,,4.4,8.8,13.1,2.2,0.0,1.1,8.8,5.5,14.2,73.0,113.0,4.0,0.542,0.333,0.0,9.3,19.8,14.4,6.7,0.0,1.6,40.0,19.1,-0.2,0.0,-0.1,-0.14,-6.8,-2.9,-9.6,-0.1
2014-15,26.0,PHI,NBA,PF,17.0,0.0,194.0,4.7,10.3,0.45,0.0,1.8,0.0,4.7,8.5,0.545,2.3,3.4,0.692,4.1,10.3,14.5,1.8,0.8,0.3,3.4,4.4,11.6,91.0,106.0,8.2,0.492,0.175,0.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,-0.1,0.2,0.1,0.023,-5.3,-1.7,-7.0,-0.2
Career,,,NBA,,40.0,0.0,329.0,4.6,10.7,0.435,0.2,1.7,0.091,4.5,9.0,0.5,2.3,3.9,0.6,4.2,10.7,14.9,2.2,0.9,1.1,3.9,4.6,11.8,87.0,105.0,8.4,0.475,0.159,0.362,8.8,23.8,16.1,6.6,0.9,1.6,23.8,14.2,-0.3,0.4,0.1,0.01,-4.9,-1.0,-5.9,-0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,PHI,NBA,,17.0,0.0,194.0,4.7,10.3,0.45,0.0,1.8,0.0,4.7,8.5,0.545,2.3,3.4,0.692,4.1,10.3,14.5,1.8,0.8,0.3,3.4,4.4,11.6,91.0,106.0,8.2,0.492,0.175,0.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,-0.1,0.2,0.1,0.023,-5.3,-1.7,-7.0,-0.2
1 season,,CHI,NBA,,7.0,0.0,36.0,7.5,13.4,0.556,0.0,0.0,,7.5,13.4,0.556,3.0,6.0,0.5,7.5,9.0,16.4,3.0,3.0,1.5,3.0,10.4,17.9,111.0,98.0,16.7,0.558,0.0,0.444,15.8,19.4,17.5,9.3,3.0,2.1,15.7,16.3,0.1,0.1,0.1,0.166,-1.7,2.0,0.2,0.0
1 season,,UTA,NBA,,7.0,0.0,48.0,6.6,13.1,0.5,1.1,4.4,0.25,5.5,8.8,0.625,0.0,0.0,,4.4,8.8,13.1,2.2,0.0,1.1,8.8,5.5,14.2,73.0,113.0,4.0,0.542,0.333,0.0,9.3,19.8,14.4,6.7,0.0,1.6,40.0,19.1,-0.2,0.0,-0.1,-0.14,-6.8,-2.9,-9.6,-0.1
1 season,,GSW,NBA,,5.0,0.0,21.0,0.0,2.4,0.0,0.0,0.0,,0.0,2.4,0.0,7.3,9.7,0.75,0.0,12.1,12.1,4.8,0.0,2.4,2.4,2.4,7.3,104.0,104.0,8.8,0.543,0.0,4.0,0.0,25.4,13.1,12.1,0.0,3.7,26.6,8.0,0.0,0.0,0.0,0.077,-2.2,2.6,0.4,0.0
2 seasons,,SAS,NBA,,4.0,0.0,30.0,1.7,11.9,0.143,0.0,0.0,,1.7,11.9,0.143,1.7,6.8,0.25,3.4,17.0,20.4,1.7,1.7,5.1,1.7,0.0,5.1,53.0,92.0,6.8,0.171,0.0,0.571,7.8,36.4,22.6,4.1,1.7,7.2,10.2,14.8,-0.1,0.1,0.0,-0.067,-5.4,0.7,-4.7,0.0
