Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,19.0,CHO,NBA,SG,63.0,0.0,854.0,8.7,24.3,0.36,4.7,13.9,0.342,4.0,10.4,0.385,1.8,2.2,0.842,0.5,3.3,3.8,5.2,1.1,0.5,2.8,3.4,24.0,96.0,112.0,10.2,0.477,0.572,0.089,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,-0.5,0.5,0.0,0.0,-1.3,-2.0,-3.4,-0.3
2018-19,20.0,CHO,NBA,SG,73.0,0.0,1258.0,8.8,22.7,0.387,4.2,12.8,0.33,4.6,9.9,0.461,3.5,3.9,0.882,0.6,4.7,5.3,4.5,1.4,0.7,3.3,4.1,25.2,99.0,114.0,11.8,0.518,0.563,0.174,1.3,10.6,5.9,14.3,1.4,1.3,12.0,24.6,-0.4,0.7,0.3,0.012,-1.3,-1.7,-3.0,-0.3
2019-20,21.0,CHO,NBA,SG,55.0,1.0,1169.0,9.1,20.9,0.434,2.5,8.7,0.284,6.6,12.2,0.542,3.5,4.3,0.82,1.2,5.6,6.7,4.9,1.1,0.7,3.3,3.2,24.2,102.0,115.0,12.6,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,0.028,-1.1,-1.3,-2.3,-0.1
2020-21,22.0,CHO,NBA,SG,42.0,0.0,878.0,9.6,22.2,0.434,4.7,11.8,0.401,4.9,10.4,0.471,3.3,4.0,0.819,0.8,4.8,5.6,4.8,1.1,0.2,3.1,2.6,27.3,108.0,116.0,13.6,0.569,0.531,0.18,1.7,10.9,6.2,15.7,1.1,0.5,11.3,23.8,0.5,0.5,1.0,0.054,0.2,-2.0,-1.8,0.0
2021-22,23.0,LAL,NBA,SG,76.0,37.0,2139.0,8.8,18.5,0.473,3.9,9.9,0.391,4.9,8.6,0.568,2.1,2.6,0.795,0.8,4.9,5.7,4.9,1.4,0.6,2.7,3.1,23.5,112.0,115.0,14.4,0.597,0.535,0.142,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.081,0.5,-1.0,-0.5,0.8
2022-23,24.0,SAC,NBA,SG,71.0,0.0,1581.0,9.8,22.1,0.447,3.9,11.0,0.356,5.9,11.0,0.537,5.3,5.9,0.888,1.0,4.7,5.6,8.3,1.3,0.6,4.1,3.5,28.9,114.0,118.0,16.5,0.586,0.5,0.268,2.3,11.1,6.8,25.0,1.3,1.0,14.3,25.9,1.9,1.0,2.9,0.087,1.6,-1.5,0.1,0.8
Career,,,NBA,,380.0,38.0,7879.0,9.1,21.3,0.429,3.9,11.1,0.355,5.2,10.2,0.509,3.3,3.8,0.848,0.8,4.7,5.6,5.5,1.3,0.6,3.2,3.3,25.4,107.0,116.0,13.6,0.554,0.52,0.181,1.9,10.8,6.3,17.5,1.3,1.1,12.3,23.3,3.8,4.7,8.5,0.052,0.0,-1.5,-1.5,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHO,NBA,,233.0,1.0,4159.0,9.0,22.4,0.403,4.0,11.7,0.339,5.1,10.7,0.473,3.1,3.7,0.843,0.8,4.7,5.4,4.8,1.2,0.6,3.2,3.4,25.1,101.0,115.0,12.1,0.523,0.521,0.164,1.7,10.6,6.0,15.8,1.2,1.0,11.6,24.0,-0.4,2.3,2.0,0.023,-0.9,-1.7,-2.7,-0.7
1 season,,LAL,NBA,,76.0,37.0,2139.0,8.8,18.5,0.473,3.9,9.9,0.391,4.9,8.6,0.568,2.1,2.6,0.795,0.8,4.9,5.7,4.9,1.4,0.6,2.7,3.1,23.5,112.0,115.0,14.4,0.597,0.535,0.142,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.081,0.5,-1.0,-0.5,0.8
1 season,,SAC,NBA,,71.0,0.0,1581.0,9.8,22.1,0.447,3.9,11.0,0.356,5.9,11.0,0.537,5.3,5.9,0.888,1.0,4.7,5.6,8.3,1.3,0.6,4.1,3.5,28.9,114.0,118.0,16.5,0.586,0.5,0.268,2.3,11.1,6.8,25.0,1.3,1.0,14.3,25.9,1.9,1.0,2.9,0.087,1.6,-1.5,0.1,0.8
