Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,BOS,NBA,PG,67,38,1808,4.8,13.2,0.367,2.5,7.5,0.335,2.3,5.7,0.41,2.3,3.5,0.646,1.7,4.5,6.1,5.8,2.7,0.5,2.5,4.9,14.5,101,104,11.0,0.491,0.57,0.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,0.7,2.2,2.9,0.077,-1.9,1.5,-0.5,0.7
2015-16,21.0,BOS,NBA,PG,61,10,1667,5.4,15.5,0.348,1.8,7.0,0.253,3.6,8.4,0.427,3.8,4.9,0.777,2.2,5.2,7.5,5.4,2.7,0.5,2.3,5.4,16.3,101,103,11.3,0.463,0.456,0.314,4.8,11.6,8.1,15.8,2.7,0.8,11.7,17.4,0.5,2.4,2.9,0.083,-2.2,1.2,-1.0,0.4
2016-17,22.0,BOS,NBA,SG,79,24,2399,5.6,15.5,0.359,1.9,6.9,0.283,3.6,8.6,0.42,4.2,5.2,0.812,1.6,4.7,6.3,7.5,2.6,0.7,3.3,4.0,17.3,102,108,12.0,0.486,0.443,0.334,3.7,10.4,7.1,22.0,2.6,1.2,15.6,18.8,0.5,2.7,3.2,0.064,-1.9,0.6,-1.3,0.4
2017-18,23.0,BOS,NBA,SG,54,11,1614,5.9,15.9,0.367,2.3,7.7,0.301,3.5,8.2,0.429,3.0,4.1,0.729,1.3,4.5,5.9,8.0,2.2,0.7,4.0,4.1,17.0,97,104,10.8,0.479,0.483,0.258,3.0,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.056,-2.1,1.0,-1.2,0.3
2018-19,24.0,BOS,NBA,SG,80,60,2200,5.2,12.4,0.422,2.8,7.6,0.364,2.5,4.8,0.511,2.3,2.8,0.806,1.2,3.9,5.1,7.0,3.1,0.6,2.7,4.4,15.5,113,107,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,2.2,3.1,5.3,0.116,-1.2,2.0,0.8,1.5
2019-20,25.0,BOS,NBA,SG,60,40,1919,6.4,17.2,0.375,3.4,9.9,0.347,3.0,7.2,0.415,3.2,3.8,0.836,1.1,4.6,5.7,7.3,2.5,0.7,2.6,4.1,19.5,110,107,13.8,0.518,0.579,0.223,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,1.7,2.8,4.5,0.112,0.0,1.4,1.4,1.6
2020-21,26.0,BOS,NBA,PG,48,45,1581,6.3,15.8,0.398,2.9,8.7,0.33,3.4,7.0,0.482,4.0,5.0,0.79,1.1,4.0,5.2,8.4,2.2,0.7,3.0,3.9,19.4,114,113,13.8,0.539,0.553,0.318,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,1.8,1.5,3.3,0.1,-0.4,0.2,-0.3,0.7
2021-22,27.0,BOS,NBA,PG,71,71,2296,6.5,15.5,0.418,2.6,7.8,0.331,3.9,7.7,0.506,3.1,3.9,0.793,0.9,4.9,5.8,9.0,2.6,0.4,3.4,3.5,18.6,110,107,13.6,0.54,0.501,0.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,0.116,-1.2,1.7,0.5,1.5
2022-23,28.0,BOS,NBA,PG,56,56,1814,6.1,14.6,0.414,2.7,8.2,0.333,3.3,6.5,0.517,2.3,3.0,0.757,1.1,3.7,4.8,9.7,2.3,0.6,3.6,4.2,17.1,110,112,12.1,0.536,0.558,0.204,2.6,8.1,5.4,26.9,2.3,1.0,18.5,17.5,0.9,2.4,3.4,0.089,-1.8,0.7,-1.1,0.4
Career,,,NBA,,576,355,17298,5.8,15.0,0.386,2.5,7.9,0.323,3.2,7.1,0.455,3.1,4.0,0.778,1.4,4.5,5.8,7.6,2.6,0.6,3.0,4.2,17.2,107,107,12.4,0.514,0.526,0.266,3.0,9.8,6.4,21.6,2.6,1.1,15.4,17.6,9.7,23.2,32.9,0.091,-1.4,1.2,-0.3,7.6
