Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,20.0,ORL,NBA,SF,79.0,9.0,1413.0,6.4,14.8,0.433,2.4,6.8,0.349,4.0,8.0,0.504,1.7,1.9,0.907,1.0,5.2,6.2,3.9,1.4,0.6,3.4,4.4,16.9,97.0,109.0,9.4,0.541,0.459,0.129,2.2,11.8,6.9,11.2,1.4,1.0,18.0,16.9,-0.1,1.0,0.9,0.029,-2.4,-0.7,-3.1,-0.4
2016-17,21.0,ORL,NBA,SF,65.0,2.0,960.0,6.0,17.0,0.355,2.2,7.4,0.299,3.8,9.6,0.398,2.1,2.6,0.8,1.0,6.5,7.5,3.2,1.5,0.8,3.0,3.8,16.4,87.0,111.0,7.2,0.45,0.436,0.152,2.2,14.7,8.3,9.6,1.5,1.3,14.1,18.8,-1.4,0.8,-0.7,-0.033,-4.1,-0.9,-5.0,-0.7
2017-18,22.0,ORL,NBA,SF,75.0,30.0,1657.0,8.1,18.2,0.442,2.7,7.9,0.337,5.4,10.3,0.523,2.5,3.1,0.819,1.2,7.1,8.3,3.1,2.4,0.9,2.5,4.0,21.3,103.0,108.0,13.7,0.544,0.433,0.17,2.7,16.1,9.3,10.0,2.4,1.5,11.5,19.9,0.5,1.8,2.3,0.066,-0.9,0.4,-0.5,0.6
2018-19,23.0,NYK,NBA,SF,58.0,24.0,1206.0,7.6,18.5,0.412,1.7,6.1,0.276,6.0,12.5,0.478,3.5,4.6,0.763,1.1,8.4,9.6,3.5,2.3,0.3,3.5,4.4,20.4,94.0,112.0,10.8,0.497,0.328,0.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,-1.1,1.1,-0.1,-0.003,-3.5,-0.3,-3.8,-0.5
2019-20,24.0,POR,NBA,PF,53.0,4.0,871.0,5.0,11.9,0.422,1.3,4.3,0.308,3.7,7.7,0.486,2.6,3.2,0.814,1.6,8.4,10.1,2.7,2.0,0.5,2.3,5.9,14.0,104.0,113.0,9.5,0.525,0.358,0.271,3.6,18.3,11.0,7.5,2.0,0.9,14.7,13.9,0.1,0.6,0.8,0.043,-3.1,0.2,-2.9,-0.2
Career,,,NBA,,330.0,69.0,6107.0,6.8,16.4,0.417,2.1,6.7,0.319,4.7,9.7,0.484,2.5,3.1,0.812,1.2,7.0,8.2,3.3,1.9,0.6,3.0,4.4,18.3,97.0,110.0,10.5,0.516,0.407,0.187,2.6,15.7,9.1,10.2,1.9,1.1,14.3,18.5,-2.1,5.2,3.2,0.025,-2.6,-0.2,-2.8,-1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,219.0,41.0,4030.0,7.0,16.8,0.418,2.5,7.4,0.332,4.6,9.4,0.487,2.1,2.6,0.837,1.1,6.3,7.4,3.4,1.8,0.8,3.0,4.1,18.6,97.0,109.0,10.7,0.521,0.442,0.153,2.4,14.2,8.2,10.3,1.8,1.3,14.2,18.6,-1.1,3.5,2.5,0.029,-2.2,-0.3,-2.5,-0.5
1 season,,NYK,NBA,,58.0,24.0,1206.0,7.6,18.5,0.412,1.7,6.1,0.276,6.0,12.5,0.478,3.5,4.6,0.763,1.1,8.4,9.6,3.5,2.3,0.3,3.5,4.4,20.4,94.0,112.0,10.8,0.497,0.328,0.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,-1.1,1.1,-0.1,-0.003,-3.5,-0.3,-3.8,-0.5
1 season,,POR,NBA,,53.0,4.0,871.0,5.0,11.9,0.422,1.3,4.3,0.308,3.7,7.7,0.486,2.6,3.2,0.814,1.6,8.4,10.1,2.7,2.0,0.5,2.3,5.9,14.0,104.0,113.0,9.5,0.525,0.358,0.271,3.6,18.3,11.0,7.5,2.0,0.9,14.7,13.9,0.1,0.6,0.8,0.043,-3.1,0.2,-2.9,-0.2
