Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,19.0,SAC,NBA,PF,62.0,4.0,1567.0,10.6,21.0,0.504,0.9,2.9,0.313,9.7,18.1,0.534,5.4,7.8,0.691,4.8,9.2,14.0,1.8,1.0,1.8,2.9,3.6,27.4,111.0,110.0,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1.0,3.2,10.7,24.2,2.0,1.6,3.6,0.11,0.5,-1.5,-1.0,0.4
2019-20,20.0,SAC,NBA,C,13.0,6.0,334.0,11.3,24.3,0.467,0.6,3.2,0.182,10.7,21.1,0.51,3.6,4.5,0.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,102.0,111.0,15.6,0.512,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,0.0,0.3,0.4,0.051,-2.2,-1.4,-3.5,-0.1
2020-21,21.0,SAC,NBA,PF,43.0,42.0,1112.0,10.7,21.2,0.504,1.6,4.7,0.343,9.1,16.5,0.55,3.3,5.8,0.575,4.6,9.2,13.7,1.9,0.9,0.9,2.5,4.3,26.2,109.0,117.0,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3
2021-22,22.0,TOT,NBA,PF,48.0,25.0,1146.0,9.5,18.8,0.504,1.0,4.1,0.237,8.5,14.7,0.579,2.8,4.3,0.663,4.4,9.8,14.3,1.5,0.9,0.8,1.6,3.9,22.8,112.0,114.0,15.7,0.551,0.217,0.226,9.7,22.6,16.0,5.2,0.9,1.4,7.4,19.8,1.2,0.9,2.0,0.085,-0.5,-1.8,-2.3,-0.1
2021-22,22.0,SAC,NBA,PF,30.0,17.0,656.0,8.4,18.0,0.463,1.1,4.5,0.242,7.3,13.5,0.538,2.6,3.4,0.745,4.9,10.9,15.8,1.2,0.7,0.8,1.5,3.7,20.4,110.0,115.0,14.3,0.521,0.252,0.191,11.0,24.8,17.8,3.9,0.7,1.5,7.3,18.8,0.5,0.4,0.9,0.068,-1.1,-2.4,-3.5,-0.3
2021-22,22.0,DET,NBA,PF,18.0,8.0,490.0,11.1,19.9,0.555,0.8,3.5,0.229,10.3,16.4,0.624,3.2,5.4,0.593,3.8,8.5,12.2,1.9,1.3,0.7,1.8,4.3,26.1,115.0,114.0,17.7,0.585,0.175,0.27,8.0,19.8,13.6,6.9,1.3,1.3,7.4,21.2,0.7,0.4,1.1,0.107,0.4,-0.9,-0.6,0.2
2022-23,23.0,DET,NBA,C,36.0,21.0,847.0,10.0,18.7,0.537,0.8,3.1,0.259,9.2,15.6,0.591,3.7,5.0,0.739,5.1,8.6,13.8,1.7,1.0,1.6,2.3,4.3,24.6,118.0,117.0,17.6,0.588,0.165,0.268,11.4,20.4,15.7,5.6,1.0,2.9,9.8,20.4,1.1,0.6,1.8,0.099,0.3,-1.2,-0.9,0.2
Career,,,NBA,,202.0,98.0,5006.0,10.3,20.4,0.506,1.0,3.6,0.286,9.3,16.8,0.553,4.0,5.9,0.674,4.7,9.3,14.0,1.7,0.9,1.3,2.4,4.1,25.6,111.0,114.0,17.2,0.558,0.176,0.288,10.4,21.5,15.8,5.6,0.9,2.4,9.5,22.5,5.2,3.9,9.1,0.087,-0.1,-1.8,-1.9,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,148.0,69.0,3669.0,10.3,20.8,0.494,1.1,3.7,0.299,9.2,17.1,0.537,4.1,6.1,0.671,4.7,9.5,14.2,1.7,0.9,1.3,2.5,4.0,25.8,109.0,113.0,17.0,0.549,0.179,0.295,10.4,22.0,16.1,5.4,0.9,2.4,9.7,23.2,3.3,2.9,6.3,0.082,-0.3,-2.0,-2.3,-0.3
2 seasons,,DET,NBA,,54.0,29.0,1337.0,10.4,19.2,0.544,0.8,3.2,0.247,9.6,15.9,0.604,3.5,5.2,0.683,4.6,8.6,13.2,1.7,1.1,1.3,2.1,4.3,25.1,117.0,116.0,17.7,0.587,0.169,0.269,10.1,20.1,14.9,6.1,1.1,2.3,8.9,20.7,1.8,1.0,2.8,0.102,0.3,-1.1,-0.8,0.4
