Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,23.0,CLE,NBA,SG,72.0,4.0,1271.0,4.9,12.0,0.412,2.3,6.3,0.368,2.6,5.7,0.461,1.5,1.9,0.792,1.2,3.8,5.0,7.6,1.3,0.2,2.4,4.9,13.8,111.0,111.0,10.7,0.534,0.524,0.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,1.4,0.7,2.1,0.078,-1.6,-0.2,-1.8,0.1
2014-15,24.0,CLE,NBA,SG,67.0,13.0,1380.0,4.2,11.6,0.362,2.6,6.3,0.407,1.6,5.3,0.307,1.1,1.4,0.763,1.4,3.4,4.7,7.7,0.9,0.1,2.3,5.7,12.0,109.0,111.0,8.5,0.493,0.544,0.124,3.1,7.3,5.2,21.1,0.9,0.1,15.9,12.6,1.4,0.5,1.9,0.067,-2.0,-0.8,-2.8,-0.3
2015-16,25.0,CLE,NBA,PG,76.0,14.0,1867.0,5.7,14.1,0.405,2.7,6.6,0.41,3.0,7.5,0.401,1.6,1.8,0.864,0.9,3.6,4.5,9.3,1.2,0.2,3.2,4.9,15.7,109.0,108.0,11.3,0.527,0.468,0.129,2.0,7.8,4.9,26.2,1.2,0.4,17.7,15.9,2.2,1.6,3.8,0.098,-0.7,-0.5,-1.2,0.4
2016-17,26.0,MIL,NBA,PG,76.0,54.0,1986.0,5.3,13.7,0.39,2.0,5.5,0.367,3.3,8.2,0.404,2.1,2.5,0.854,0.6,3.1,3.8,9.1,1.4,0.0,3.4,3.9,14.8,102.0,114.0,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,0.3,0.9,1.2,0.029,-2.5,-1.8,-4.2,-1.1
2017-18,27.0,MIL,NBA,PG,38.0,3.0,712.0,3.9,10.6,0.362,2.0,5.5,0.372,1.8,5.2,0.351,1.8,1.9,0.926,1.0,3.5,4.5,10.2,1.0,0.0,3.4,4.7,11.5,104.0,115.0,8.6,0.5,0.513,0.178,2.3,8.2,5.3,27.4,1.0,0.0,23.0,13.5,0.3,0.2,0.5,0.032,-2.4,-2.0,-4.4,-0.4
2018-19,28.0,TOT,NBA,PG,48.0,0.0,812.0,5.9,14.7,0.405,2.7,7.9,0.338,3.3,6.8,0.482,2.5,3.2,0.808,0.4,4.3,4.7,11.0,0.8,0.1,4.1,4.6,17.1,107.0,119.0,11.1,0.532,0.537,0.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,0.5,0.0,0.5,0.028,-1.7,-2.8,-4.4,-0.5
2018-19,28.0,MIL,NBA,PG,12.0,0.0,97.0,2.9,9.1,0.316,1.9,5.3,0.364,1.0,3.8,0.25,1.9,1.9,1.0,0.0,4.8,4.8,13.9,1.0,0.0,5.3,4.3,9.6,99.0,110.0,7.5,0.482,0.579,0.211,0.0,9.9,5.2,35.7,1.0,0.0,34.6,13.7,0.0,0.1,0.1,0.043,-3.5,-0.6,-4.1,-0.1
2018-19,28.0,CLE,NBA,PG,36.0,0.0,715.0,6.4,15.5,0.413,2.8,8.3,0.336,3.6,7.2,0.5,2.6,3.3,0.792,0.4,4.2,4.7,10.6,0.8,0.1,4.0,4.6,18.2,107.0,121.0,11.5,0.537,0.534,0.215,0.9,9.9,5.2,31.3,0.8,0.2,18.9,18.4,0.5,-0.1,0.4,0.026,-1.4,-3.0,-4.5,-0.4
2019-20,29.0,CLE,NBA,PG,57.0,4.0,821.0,3.7,10.4,0.354,1.2,5.4,0.231,2.4,5.0,0.488,1.9,2.2,0.865,1.1,3.4,4.4,10.7,1.2,0.1,3.5,4.6,10.5,103.0,118.0,8.1,0.463,0.52,0.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,0.011,-3.6,-1.6,-5.2,-0.7
2020-21,30.0,CLE,NBA,PG,13.0,1.0,224.0,3.1,12.3,0.25,0.9,5.5,0.16,2.2,6.8,0.323,0.9,0.9,1.0,1.3,4.0,5.3,12.8,0.9,0.2,1.3,4.6,7.9,101.0,118.0,7.3,0.312,0.446,0.071,2.9,9.2,6.0,35.3,0.9,0.4,9.4,12.4,-0.1,0.1,0.0,0.005,-4.5,-1.9,-6.4,-0.3
2022-23,32.0,SAC,NBA,PG,31.0,0.0,207.0,3.9,11.5,0.34,2.1,6.2,0.333,1.8,5.3,0.348,0.9,1.6,0.571,0.2,2.8,3.0,9.2,1.6,0.0,2.3,4.6,10.8,104.0,119.0,6.7,0.443,0.54,0.14,0.6,6.6,3.6,23.6,1.6,0.0,15.9,13.1,0.0,0.1,0.1,0.018,-4.4,-0.9,-5.3,-0.2
Career,,,NBA,,478.0,93.0,9280.0,4.9,12.7,0.385,2.2,6.2,0.363,2.6,6.5,0.406,1.7,2.0,0.835,0.9,3.5,4.4,9.2,1.2,0.1,3.1,4.7,13.7,106.0,113.0,9.7,0.504,0.485,0.161,2.1,7.9,5.0,25.8,1.2,0.2,18.4,14.7,6.1,4.2,10.2,0.053,-2.0,-1.2,-3.3,-3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,CLE,NBA,,321.0,36.0,6278.0,4.9,12.7,0.388,2.3,6.5,0.362,2.6,6.3,0.415,1.6,2.0,0.822,1.0,3.6,4.7,9.1,1.1,0.2,2.9,5.0,13.8,108.0,112.0,10.0,0.508,0.508,0.154,2.3,8.1,5.2,25.5,1.1,0.3,17.7,14.4,5.5,2.9,8.4,0.064,-1.8,-1.0,-2.7,-1.2
