Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,22.0,LAC,NBA,C,12.0,0.0,64.0,10.3,23.6,0.438,6.6,14.8,0.45,3.7,8.9,0.417,3.7,3.7,1.0,0.7,7.4,8.1,1.5,1.5,1.5,1.5,6.6,31.0,119.0,107.0,18.2,0.614,0.625,0.156,1.7,15.8,8.9,4.9,1.5,2.8,5.5,23.7,0.1,0.1,0.2,0.173,2.3,-0.1,2.2,0.1
2020-21,23.0,TOT,NBA,PF,39.0,0.0,280.0,5.8,15.7,0.371,2.3,8.8,0.26,3.5,6.9,0.513,2.8,3.5,0.8,2.1,8.5,10.6,3.0,1.4,2.3,2.6,6.3,16.8,97.0,111.0,9.5,0.486,0.562,0.225,4.7,19.4,12.0,8.7,1.4,4.1,13.3,17.7,-0.2,0.3,0.2,0.026,-4.3,0.1,-4.3,-0.2
2020-21,23.0,LAC,NBA,PF,23.0,0.0,94.0,4.7,16.9,0.281,2.1,9.5,0.222,2.6,7.4,0.357,2.6,3.2,0.833,0.5,6.8,7.4,2.6,1.1,1.6,3.2,9.5,14.2,78.0,111.0,1.4,0.39,0.563,0.188,1.2,15.1,8.4,6.9,1.1,2.8,14.8,19.2,-0.3,0.1,-0.1,-0.075,-9.2,-0.9,-10.1,-0.2
2020-21,23.0,CLE,NBA,PF,16.0,0.0,186.0,6.4,15.1,0.421,2.4,8.5,0.281,4.0,6.6,0.6,2.9,3.7,0.786,2.9,9.3,12.2,3.2,1.6,2.7,2.4,4.8,18.0,107.0,111.0,13.7,0.538,0.561,0.246,6.5,21.6,13.8,9.7,1.6,4.8,12.5,16.9,0.1,0.2,0.3,0.078,-1.9,0.6,-1.3,0.0
2022-23,25.0,BOS,NBA,PF,2.0,0.0,14.0,3.5,7.0,0.5,0.0,3.5,0.0,3.5,3.5,1.0,0.0,0.0,,10.5,7.0,17.4,0.0,0.0,0.0,3.5,10.5,7.0,111.0,116.0,5.6,0.5,0.5,0.0,23.8,15.5,19.6,0.0,0.0,0.0,33.3,9.4,0.0,0.0,0.0,0.06,-8.2,-4.7,-12.9,0.0
Career,,,NBA,,53.0,0.0,358.0,6.6,16.8,0.39,3.0,9.7,0.31,3.6,7.1,0.5,2.9,3.4,0.84,2.2,8.2,10.4,2.6,1.4,2.1,2.5,6.6,19.0,102.0,110.0,10.9,0.519,0.577,0.203,4.9,18.6,11.8,7.7,1.4,3.7,11.8,18.4,0.0,0.4,0.4,0.054,-3.3,-0.1,-3.4,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,35.0,0.0,158.0,7.1,19.7,0.359,4.0,11.7,0.342,3.1,8.0,0.385,3.1,3.4,0.909,0.6,7.1,7.7,2.2,1.2,1.5,2.5,8.3,21.2,96.0,109.0,8.2,0.501,0.594,0.172,1.4,15.4,8.6,6.1,1.2,2.8,10.4,21.0,-0.1,0.2,0.1,0.026,-4.5,-0.6,-5.1,-0.1
1 season,,CLE,NBA,,16.0,0.0,186.0,6.4,15.1,0.421,2.4,8.5,0.281,4.0,6.6,0.6,2.9,3.7,0.786,2.9,9.3,12.2,3.2,1.6,2.7,2.4,4.8,18.0,107.0,111.0,13.7,0.538,0.561,0.246,6.5,21.6,13.8,9.7,1.6,4.8,12.5,16.9,0.1,0.2,0.3,0.078,-1.9,0.6,-1.3,0.0
1 season,,BOS,NBA,,2.0,0.0,14.0,3.5,7.0,0.5,0.0,3.5,0.0,3.5,3.5,1.0,0.0,0.0,,10.5,7.0,17.4,0.0,0.0,0.0,3.5,10.5,7.0,111.0,116.0,5.6,0.5,0.5,0.0,23.8,15.5,19.6,0.0,0.0,0.0,33.3,9.4,0.0,0.0,0.0,0.06,-8.2,-4.7,-12.9,0.0
