Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000-01,21.0,MIL,NBA,SG,6.0,0.0,35.0,7.4,28.3,0.263,0.0,4.5,0.0,7.4,23.8,0.313,4.5,8.9,0.5,4.5,1.5,6.0,1.5,1.5,0.0,1.5,3.0,19.3,74.0,110.0,3.4,0.3,0.158,0.316,9.8,3.2,6.5,4.4,1.5,0.0,4.4,29.3,-0.1,0.0,-0.1,-0.163,-6.2,-5.2,-11.4,-0.1
2001-02,22.0,MIL,NBA,SG,67.0,8.0,1417.0,11.0,22.9,0.483,3.3,7.4,0.444,7.7,15.4,0.501,3.4,4.3,0.791,2.9,5.5,8.4,3.4,1.6,0.3,2.1,3.6,28.8,116.0,109.0,20.0,0.581,0.325,0.189,6.6,11.4,9.1,11.5,1.6,0.4,8.0,23.7,3.9,0.7,4.6,0.155,4.1,-1.6,2.5,1.6
2002-03,23.0,MIL,NBA,SG,82.0,14.0,2316.0,10.4,22.3,0.469,4.2,9.5,0.438,6.3,12.7,0.492,3.4,4.2,0.805,2.2,6.3,8.5,2.7,2.3,0.3,1.7,3.3,28.5,118.0,108.0,21.0,0.59,0.428,0.191,4.9,13.9,9.4,8.9,2.3,0.4,6.6,22.6,6.9,1.1,8.0,0.167,5.0,-1.2,3.9,3.4
2003-04,24.0,MIL,NBA,SG,82.0,82.0,3021.0,11.0,25.0,0.44,2.2,6.3,0.35,8.8,18.7,0.47,6.6,7.7,0.868,2.0,5.0,7.1,3.2,1.4,0.1,2.0,2.6,30.8,113.0,108.0,19.9,0.544,0.252,0.306,4.4,10.9,7.7,11.3,1.4,0.1,6.6,26.3,8.4,1.3,9.7,0.154,3.8,-1.3,2.5,3.5
2004-05,25.0,MIL,NBA,SG,75.0,75.0,2848.0,11.6,26.3,0.441,1.9,5.4,0.355,9.7,20.9,0.463,6.9,8.0,0.854,1.3,4.5,5.8,3.2,1.2,0.1,2.5,2.8,32.0,110.0,113.0,18.3,0.536,0.207,0.305,2.9,10.0,6.4,11.4,1.2,0.2,7.6,27.8,5.5,0.7,6.2,0.105,2.8,-1.8,1.0,2.2
2005-06,26.0,MIL,NBA,SG,80.0,80.0,3130.0,11.5,25.5,0.45,2.7,6.9,0.395,8.7,18.5,0.471,8.4,9.6,0.877,1.3,4.4,5.7,3.8,1.6,0.1,2.9,2.6,34.1,115.0,110.0,21.2,0.574,0.272,0.377,2.9,10.2,6.5,13.8,1.6,0.1,8.8,28.3,8.8,2.0,10.8,0.166,4.7,-0.9,3.8,4.6
2006-07,27.0,MIL,NBA,SF,53.0,53.0,2036.0,12.2,26.2,0.465,3.0,7.8,0.382,9.2,18.4,0.501,8.8,10.6,0.829,1.1,3.9,5.0,3.2,1.6,0.2,3.1,2.0,36.2,115.0,114.0,22.3,0.586,0.299,0.406,2.4,9.0,5.7,11.0,1.6,0.3,9.2,29.5,5.8,0.3,6.1,0.145,5.0,-2.0,3.0,2.5
2007-08,28.0,MIL,NBA,SG,72.0,71.0,2702.0,10.7,24.2,0.442,2.5,7.0,0.362,8.2,17.2,0.475,7.8,9.5,0.82,1.7,4.4,6.0,4.8,1.3,0.3,3.5,2.3,31.7,112.0,115.0,18.8,0.559,0.289,0.394,3.5,10.2,6.7,16.4,1.3,0.4,11.0,27.3,5.6,0.2,5.8,0.104,3.5,-2.1,1.5,2.4
2008-09,29.0,MIL,NBA,SG,33.0,32.0,1203.0,10.7,23.6,0.455,3.0,8.2,0.366,7.7,15.3,0.503,5.6,6.9,0.814,1.0,3.6,4.6,3.8,1.5,0.1,2.3,1.9,30.1,114.0,111.0,17.9,0.566,0.349,0.294,2.3,8.5,5.3,13.2,1.5,0.1,7.9,25.0,2.3,0.9,3.2,0.128,3.2,-1.1,2.2,1.3
2009-10,30.0,MIL,NBA,SG,18.0,12.0,492.0,8.0,22.7,0.352,1.9,6.4,0.3,6.1,16.3,0.373,5.0,7.0,0.712,1.2,4.6,5.7,4.1,2.0,0.2,1.6,2.6,22.9,98.0,104.0,12.1,0.444,0.282,0.31,2.4,10.4,6.2,13.0,2.0,0.3,5.8,23.7,-0.1,0.7,0.6,0.059,-0.9,1.0,0.1,0.2
