Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007-08,24.0,HOU,NBA,PF,17.0,0.0,159.0,9.0,18.0,0.5,0.0,0.7,0.0,9.0,17.4,0.519,2.7,4.3,0.615,8.0,10.0,18.0,1.0,2.0,1.0,3.0,5.3,20.7,107.0,99.0,17.1,0.519,0.037,0.241,17.3,21.0,19.2,3.2,2.0,1.4,13.1,19.7,0.1,0.3,0.5,0.143,-0.1,0.5,0.3,0.1
2009-10,26.0,TOT,NBA,PF,13.0,0.0,96.0,5.9,16.0,0.367,0.0,0.5,0.0,5.9,15.5,0.379,3.7,5.9,0.636,5.3,7.5,12.8,1.6,2.7,0.5,4.8,7.5,15.5,82.0,105.0,7.2,0.416,0.033,0.367,11.5,17.3,14.3,4.8,2.7,0.8,20.5,20.2,-0.2,0.1,-0.1,-0.037,-6.5,-1.3,-7.9,-0.1
2009-10,26.0,HOU,NBA,PF,8.0,0.0,82.0,6.2,16.8,0.37,0.0,0.6,0.0,6.2,16.2,0.385,3.1,5.6,0.556,5.6,6.8,12.4,1.9,2.5,0.6,5.6,6.2,15.6,78.0,106.0,6.4,0.404,0.037,0.333,12.1,16.0,14.0,5.6,2.5,0.9,22.5,21.6,-0.2,0.1,-0.1,-0.073,-6.8,-2.0,-8.8,-0.1
2009-10,26.0,WAS,NBA,PF,5.0,0.0,14.0,3.7,11.2,0.333,0.0,0.0,,3.7,11.2,0.333,7.5,7.5,1.0,3.7,11.2,15.0,0.0,3.7,0.0,0.0,15.0,15.0,126.0,102.0,11.9,0.515,0.0,0.667,8.1,25.0,16.4,0.0,3.7,0.0,0.0,12.6,0.0,0.0,0.1,0.179,-4.7,2.3,-2.4,0.0
2010-11,27.0,HOU,NBA,PF,4.0,0.0,16.0,9.6,19.1,0.5,0.0,0.0,,9.6,19.1,0.5,6.4,12.7,0.5,6.4,9.6,15.9,3.2,0.0,3.2,3.2,6.4,25.5,107.0,108.0,17.9,0.515,0.0,0.667,14.1,21.3,17.7,10.2,0.0,4.3,11.4,24.2,0.0,0.0,0.0,0.102,-2.3,-0.2,-2.4,0.0
2013-14,30.0,UTA,NBA,PF,20.0,0.0,225.0,6.8,14.2,0.475,0.0,0.5,0.0,6.8,13.8,0.492,6.1,6.3,0.963,3.5,4.2,7.7,1.2,3.7,1.6,2.6,8.4,19.6,112.0,107.0,15.3,0.576,0.033,0.443,7.4,9.5,8.4,3.6,3.7,2.4,13.1,17.1,0.3,0.2,0.5,0.116,-1.6,1.9,0.3,0.1
Career,,,NBA,,54.0,0.0,496.0,7.4,16.0,0.464,0.0,0.5,0.0,7.4,15.4,0.479,4.5,5.8,0.782,5.4,6.9,12.3,1.3,2.9,1.3,3.2,7.2,19.3,104.0,104.0,14.4,0.522,0.033,0.364,11.6,15.1,13.3,3.9,2.9,1.8,14.6,18.8,0.3,0.7,1.0,0.095,-2.1,0.8,-1.3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,29.0,0.0,257.0,8.1,17.7,0.46,0.0,0.6,0.0,8.1,17.1,0.476,3.1,5.3,0.577,7.1,9.0,16.1,1.4,2.0,1.0,3.9,5.7,19.3,97.0,102.0,13.7,0.483,0.034,0.299,15.5,19.4,17.4,4.4,2.0,1.4,16.2,20.6,-0.1,0.4,0.4,0.071,-2.4,-0.3,-2.8,0.0
1 season,,UTA,NBA,,20.0,0.0,225.0,6.8,14.2,0.475,0.0,0.5,0.0,6.8,13.8,0.492,6.1,6.3,0.963,3.5,4.2,7.7,1.2,3.7,1.6,2.6,8.4,19.6,112.0,107.0,15.3,0.576,0.033,0.443,7.4,9.5,8.4,3.6,3.7,2.4,13.1,17.1,0.3,0.2,0.5,0.116,-1.6,1.9,0.3,0.1
1 season,,WAS,NBA,,5.0,0.0,14.0,3.7,11.2,0.333,0.0,0.0,,3.7,11.2,0.333,7.5,7.5,1.0,3.7,11.2,15.0,0.0,3.7,0.0,0.0,15.0,15.0,126.0,102.0,11.9,0.515,0.0,0.667,8.1,25.0,16.4,0.0,3.7,0.0,0.0,12.6,0.0,0.0,0.1,0.179,-4.7,2.3,-2.4,0.0
