Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1998-99,23.0,DET,NBA,C,2.0,0.0,6.0,9.3,9.3,1.0,0.0,0.0,,9.3,9.3,1.0,18.5,18.5,1.0,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,37.1,229.0,104.0,35.7,1.064,0.0,2.0,0.0,20.5,10.2,0.0,0.0,0.0,0.0,14.9,0.1,0.0,0.1,0.527,15.2,3.0,18.2,0.0
1999-00,24.0,DET,NBA,C,29.0,0.0,488.0,8.9,14.4,0.621,0.0,0.0,,8.9,14.4,0.621,5.6,7.0,0.794,4.5,7.0,11.5,1.7,0.9,3.2,2.4,10.7,23.4,128.0,104.0,19.6,0.671,0.0,0.486,10.5,16.1,13.3,5.9,0.9,4.6,11.9,17.4,1.7,0.5,2.2,0.218,0.3,0.5,0.7,0.3
2000-01,25.0,DET,NBA,C,81.0,2.0,1154.0,5.8,11.8,0.493,0.0,0.0,0.0,5.8,11.7,0.494,4.2,5.7,0.731,5.3,8.6,13.9,1.4,1.1,2.7,3.2,8.9,15.8,105.0,100.0,12.9,0.552,0.004,0.485,11.0,18.4,14.7,4.6,1.1,3.7,18.5,15.0,1.1,1.6,2.8,0.116,-3.4,0.8,-2.6,-0.2
2001-02,26.0,DET,NBA,C,30.0,0.0,217.0,7.1,15.0,0.475,0.2,0.5,0.5,6.9,14.5,0.475,4.9,6.4,0.769,5.4,7.6,13.0,2.7,1.7,2.2,3.4,8.6,19.4,107.0,101.0,14.9,0.545,0.033,0.426,12.0,16.7,14.4,8.6,1.7,2.9,16.2,18.8,0.3,0.3,0.6,0.133,-1.8,0.6,-1.3,0.0
2002-03,27.0,TOT,NBA,C,8.0,0.0,43.0,6.1,16.0,0.385,0.0,0.0,,6.1,16.0,0.385,9.8,12.3,0.8,7.4,2.5,9.8,3.7,0.0,4.9,2.5,8.6,22.1,116.0,108.0,17.9,0.517,0.0,0.769,16.4,5.1,10.6,12.5,0.0,6.9,10.3,20.7,0.1,0.0,0.1,0.157,-1.8,0.0,-1.8,0.0
2002-03,27.0,BOS,NBA,C,3.0,0.0,12.0,0.0,4.4,0.0,0.0,0.0,,0.0,4.4,0.0,0.0,0.0,,4.4,0.0,4.4,0.0,0.0,8.8,0.0,26.4,0.0,60.0,101.0,-3.1,0.0,0.0,0.0,9.2,0.0,4.7,0.0,0.0,13.1,0.0,3.9,0.0,0.0,0.0,0.018,-16.7,3.7,-13.0,0.0
2002-03,27.0,ATL,NBA,C,5.0,0.0,31.0,8.5,20.4,0.417,0.0,0.0,,8.5,20.4,0.417,13.6,17.0,0.8,8.5,3.4,11.9,5.1,0.0,3.4,3.4,1.7,30.6,119.0,110.0,26.1,0.549,0.0,0.833,19.1,7.1,12.9,17.4,0.0,4.5,10.9,27.2,0.1,0.0,0.1,0.211,3.9,-1.5,2.5,0.0
2003-04,28.0,TOT,NBA,"C,PF",32.0,0.0,395.0,7.0,13.9,0.505,0.0,0.0,,7.0,13.9,0.505,4.2,4.9,0.857,4.1,7.7,11.8,2.7,1.0,1.8,3.1,9.1,18.2,110.0,103.0,13.3,0.568,0.0,0.354,9.0,17.5,13.2,8.7,1.0,2.8,16.1,16.1,0.6,0.4,1.0,0.122,-1.6,0.6,-1.0,0.1
2003-04,28.0,NJN,NBA,C,4.0,0.0,10.0,5.4,26.8,0.2,0.0,0.0,,5.4,26.8,0.2,0.0,0.0,,5.4,5.4,10.7,0.0,0.0,0.0,0.0,5.4,10.7,57.0,104.0,-3.5,0.2,0.0,0.0,11.8,11.8,11.8,0.0,0.0,0.0,0.0,23.5,-0.1,0.0,0.0,-0.202,-10.7,-6.8,-17.5,0.0
2003-04,28.0,UTA,NBA,PF,28.0,0.0,385.0,7.1,13.5,0.521,0.0,0.0,,7.1,13.5,0.521,4.3,5.0,0.857,4.0,7.8,11.8,2.7,1.0,1.9,3.2,9.2,18.4,112.0,103.0,13.7,0.585,0.0,0.372,8.9,17.7,13.2,8.9,1.0,2.9,16.7,15.9,0.7,0.4,1.0,0.131,-1.4,0.8,-0.6,0.1
2004-05,29.0,LAC,NBA,PF,74.0,4.0,1178.0,6.6,13.1,0.502,0.0,0.2,0.2,6.5,12.9,0.507,4.9,6.2,0.787,4.4,6.8,11.2,2.1,0.9,1.5,2.9,7.9,18.1,111.0,108.0,12.7,0.571,0.017,0.474,10.2,14.7,12.5,6.6,0.9,2.1,15.4,16.1,1.6,1.0,2.6,0.106,-1.8,-0.6,-2.4,-0.1
2005-06,30.0,SEA,NBA,C,47.0,1.0,583.0,4.9,11.1,0.435,0.0,0.2,0.0,4.9,11.0,0.443,4.1,5.6,0.742,4.0,7.7,11.7,2.4,0.6,1.3,3.6,8.3,13.8,99.0,115.0,8.6,0.509,0.016,0.5,9.0,18.1,13.5,6.8,0.6,2.0,20.9,14.7,0.1,0.0,0.1,0.006,-3.9,-1.5,-5.5,-0.5
2006-07,31.0,NJN,NBA,C,79.0,55.0,2082.0,7.8,12.8,0.609,0.0,0.0,0.0,7.8,12.7,0.61,4.0,5.9,0.681,3.7,6.5,10.2,1.9,1.2,1.5,2.9,6.6,19.6,115.0,106.0,14.8,0.637,0.002,0.464,8.3,14.5,11.4,6.1,1.2,2.3,15.6,16.2,3.5,2.3,5.7,0.131,-1.3,0.1,-1.2,0.4
2007-08,32.0,SAC,NBA,PF,82.0,79.0,2385.0,6.0,10.4,0.577,0.0,0.0,0.0,6.0,10.4,0.579,2.8,3.9,0.736,3.4,7.1,10.5,1.8,0.7,1.0,2.3,6.6,14.8,116.0,111.0,11.5,0.613,0.004,0.372,8.1,16.2,12.2,5.4,0.7,1.5,16.2,12.7,3.2,1.4,4.6,0.092,-1.8,-0.6,-2.4,-0.3
