Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,21.0,UTA,NBA,SG,57.0,0.0,772.0,8.3,21.8,0.38,0.7,2.8,0.256,7.5,19.0,0.398,3.2,4.0,0.786,1.7,3.5,5.2,5.5,2.0,0.1,3.7,6.2,20.4,92.0,106.0,9.4,0.433,0.129,0.185,3.6,8.0,5.8,18.5,2.0,0.2,13.5,22.8,-0.3,0.5,0.2,0.011,-3.1,-0.9,-4.1,-0.4
2004-05,22.0,MIL,NBA,PG,80.0,80.0,2254.0,7.6,17.3,0.438,0.8,2.3,0.323,6.8,15.0,0.456,3.2,3.8,0.85,1.2,4.6,5.7,11.4,1.7,0.3,4.6,5.2,19.1,102.0,111.0,14.1,0.504,0.134,0.217,2.6,10.2,6.4,35.4,1.7,0.4,19.5,20.3,1.2,1.0,2.2,0.046,-0.4,-1.2,-1.5,0.2
2005-06,23.0,MIL,NBA,PG,58.0,12.0,1531.0,9.2,21.6,0.424,2.5,6.6,0.382,6.7,15.1,0.443,3.3,3.9,0.85,1.0,3.9,4.9,7.9,1.8,0.2,3.6,5.0,24.2,105.0,109.0,15.0,0.518,0.304,0.18,2.3,8.9,5.5,26.1,1.8,0.4,13.4,23.4,1.5,1.0,2.5,0.079,0.8,-0.8,0.0,0.8
2006-07,24.0,MIL,NBA,PG,68.0,68.0,2472.0,9.8,22.1,0.446,1.7,4.8,0.346,8.2,17.3,0.474,3.3,3.9,0.855,1.1,5.8,6.9,8.7,1.8,0.1,4.3,4.2,24.7,104.0,112.0,16.3,0.519,0.217,0.177,2.5,13.3,7.8,28.2,1.8,0.2,15.2,24.4,2.2,0.9,3.2,0.061,0.9,-1.3,-0.5,0.9
2007-08,25.0,MIL,NBA,PG,66.0,66.0,2410.0,9.6,20.0,0.48,1.9,5.0,0.385,7.7,15.0,0.512,3.6,4.2,0.856,0.8,4.2,5.0,9.1,1.7,0.2,4.0,4.1,24.8,111.0,114.0,17.0,0.566,0.251,0.211,1.7,9.8,5.6,30.0,1.7,0.3,15.3,22.1,4.1,0.5,4.5,0.091,1.7,-1.4,0.3,1.4
2008-09,26.0,CLE,NBA,PG,81.0,81.0,2834.0,10.0,21.5,0.467,3.5,8.0,0.436,6.5,13.5,0.486,4.0,4.4,0.912,0.9,4.4,5.3,6.3,1.3,0.2,3.4,4.1,27.5,115.0,106.0,17.2,0.588,0.373,0.202,2.1,9.4,5.9,20.1,1.3,0.3,12.7,23.4,6.1,3.7,9.8,0.165,2.4,-0.1,2.3,3.1
2009-10,27.0,CLE,NBA,PG,69.0,68.0,2359.0,8.4,19.0,0.442,3.5,8.3,0.429,4.9,10.8,0.452,3.9,4.4,0.894,0.6,4.0,4.6,8.2,1.6,0.5,3.9,3.8,24.3,112.0,107.0,16.1,0.58,0.434,0.232,1.5,8.6,5.2,25.0,1.6,0.7,15.5,22.0,4.0,2.7,6.7,0.136,2.2,-0.4,1.8,2.3
2010-11,28.0,TOT,NBA,PG,58.0,56.0,1788.0,8.4,21.1,0.399,2.3,7.0,0.324,6.1,14.0,0.436,4.4,5.1,0.853,0.6,3.8,4.4,11.0,1.5,0.3,4.9,4.3,23.4,100.0,113.0,13.9,0.503,0.334,0.242,1.3,8.7,5.0,36.9,1.5,0.4,17.5,24.7,0.4,0.6,1.0,0.026,-0.1,-2.2,-2.4,-0.2
2010-11,28.0,CLE,NBA,PG,36.0,34.0,1065.0,8.6,22.4,0.385,1.7,6.6,0.265,6.9,15.8,0.436,4.1,4.9,0.833,0.7,4.0,4.7,12.4,1.6,0.5,5.1,4.4,23.1,96.0,114.0,13.8,0.471,0.294,0.221,1.6,9.1,5.2,42.8,1.6,0.7,17.2,26.0,-0.4,0.3,-0.1,-0.005,-0.3,-2.5,-2.8,-0.2
2010-11,28.0,LAC,NBA,PG,22.0,22.0,723.0,8.1,19.2,0.422,3.1,7.7,0.398,5.0,11.4,0.438,4.7,5.4,0.88,0.4,3.6,4.0,8.8,1.4,0.0,4.7,4.2,24.0,106.0,112.0,14.0,0.556,0.403,0.28,1.0,8.0,4.5,28.2,1.4,0.0,18.0,22.7,0.8,0.3,1.1,0.073,0.1,-1.9,-1.8,0.1
2011-12,29.0,LAC,NBA,SG,52.0,1.0,1472.0,9.5,22.3,0.426,3.4,8.7,0.389,6.1,13.6,0.449,2.6,2.9,0.9,0.8,2.8,3.6,5.9,1.9,0.3,3.1,3.8,25.0,107.0,109.0,15.0,0.53,0.391,0.131,1.8,6.2,4.0,18.5,1.9,0.4,11.7,22.9,2.2,0.7,2.8,0.093,1.4,-1.2,0.2,0.8
2012-13,30.0,UTA,NBA,PG,46.0,46.0,1418.0,8.5,19.8,0.43,2.2,5.7,0.383,6.3,14.1,0.449,2.8,3.2,0.882,0.9,3.2,4.1,10.6,1.7,0.3,4.7,3.9,22.0,103.0,111.0,14.4,0.519,0.289,0.159,2.0,7.2,4.5,33.2,1.7,0.5,18.0,22.3,1.2,0.7,1.8,0.062,0.9,-1.7,-0.9,0.4
2013-14,31.0,POR,NBA,PG,74.0,0.0,1834.0,7.7,18.5,0.417,2.3,6.2,0.369,5.4,12.3,0.441,2.2,2.5,0.876,1.2,3.1,4.2,8.9,1.5,0.3,4.1,5.4,19.9,102.0,110.0,11.8,0.507,0.335,0.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,1.0,1.2,2.2,0.056,-1.2,-0.8,-2.0,0.0
2014-15,32.0,TOT,NBA,PG,68.0,33.0,1980.0,8.8,22.2,0.397,3.1,9.0,0.342,5.7,13.2,0.434,4.2,4.8,0.872,0.6,3.9,4.5,11.0,1.2,0.4,4.4,4.2,24.9,102.0,112.0,15.4,0.512,0.405,0.217,1.2,8.9,4.9,37.4,1.2,0.6,15.4,25.2,1.6,0.6,2.1,0.052,1.5,-2.3,-0.8,0.6
2014-15,32.0,MIN,NBA,PG,41.0,19.0,1149.0,8.0,19.8,0.403,2.6,7.5,0.347,5.4,12.3,0.437,3.5,4.2,0.851,0.6,3.8,4.3,11.5,1.3,0.4,4.5,4.6,22.1,103.0,115.0,14.4,0.511,0.38,0.21,1.3,8.7,4.9,38.0,1.3,0.5,17.3,22.7,0.9,-0.2,0.7,0.031,0.8,-3.0,-2.2,-0.1
2014-15,32.0,CHO,NBA,PG,27.0,14.0,831.0,10.0,25.7,0.39,3.7,11.1,0.337,6.3,14.6,0.43,5.2,5.8,0.892,0.6,4.2,4.7,10.1,1.0,0.4,4.3,3.7,28.9,102.0,107.0,16.9,0.512,0.431,0.225,1.2,9.1,5.0,36.5,1.0,0.6,13.4,28.8,0.7,0.7,1.4,0.08,2.5,-1.3,1.1,0.6
2015-16,33.0,CLE,NBA,PG,41.0,14.0,748.0,9.1,20.8,0.437,2.5,7.0,0.353,6.6,13.8,0.48,2.6,2.9,0.905,0.4,4.5,5.0,6.7,1.0,0.3,3.9,4.1,23.3,102.0,108.0,12.4,0.527,0.338,0.139,0.9,9.9,5.4,21.1,1.0,0.5,15.1,22.8,0.4,0.7,1.1,0.067,-0.9,-0.6,-1.5,0.1
Career,,,NBA,,818.0,525.0,23872.0,8.9,20.5,0.434,2.4,6.4,0.378,6.5,14.2,0.46,3.4,3.9,0.871,0.9,4.1,5.0,8.8,1.6,0.3,4.1,4.4,23.7,106.0,110.0,15.0,0.532,0.31,0.192,2.0,9.1,5.5,28.1,1.6,0.4,15.5,22.8,25.4,14.6,40.0,0.08,0.8,-1.1,-0.3,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,272.0,226.0,8667.0,9.1,20.2,0.45,1.7,4.5,0.364,7.4,15.7,0.474,3.4,4.0,0.853,1.0,4.7,5.7,9.4,1.8,0.2,4.2,4.6,23.2,105.0,112.0,15.7,0.529,0.225,0.196,2.3,10.7,6.4,30.2,1.7,0.3,15.9,22.5,9.0,3.4,12.4,0.069,0.8,-1.2,-0.5,3.3
4 seasons,,CLE,NBA,,227.0,197.0,7006.0,9.2,20.7,0.442,3.1,7.8,0.402,6.0,13.0,0.466,3.8,4.3,0.891,0.7,4.2,4.9,7.9,1.4,0.3,3.9,4.0,25.3,109.0,108.0,15.8,0.559,0.375,0.208,1.7,9.1,5.5,25.3,1.4,0.5,14.6,23.3,10.1,7.3,17.4,0.119,1.5,-0.6,0.9,5.2
2 seasons,,UTA,NBA,,103.0,46.0,2190.0,8.4,20.5,0.411,1.7,4.7,0.358,6.7,15.8,0.428,2.9,3.5,0.844,1.2,3.3,4.5,8.9,1.8,0.3,4.3,4.7,21.5,99.0,109.0,12.7,0.488,0.231,0.169,2.6,7.5,5.0,28.1,1.8,0.4,16.4,22.5,0.8,1.2,2.0,0.044,-0.6,-1.4,-2.0,0.0
2 seasons,,LAC,NBA,,74.0,23.0,2195.0,9.0,21.3,0.424,3.3,8.4,0.392,5.7,12.9,0.445,3.3,3.8,0.89,0.7,3.0,3.8,6.8,1.7,0.2,3.7,3.9,24.7,107.0,110.0,14.6,0.538,0.395,0.176,1.6,6.8,4.2,21.7,1.7,0.3,13.8,22.8,3.0,1.0,3.9,0.086,1.0,-1.4,-0.4,0.9
1 season,,POR,NBA,,74.0,0.0,1834.0,7.7,18.5,0.417,2.3,6.2,0.369,5.4,12.3,0.441,2.2,2.5,0.876,1.2,3.1,4.2,8.9,1.5,0.3,4.1,5.4,19.9,102.0,110.0,11.8,0.507,0.335,0.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,1.0,1.2,2.2,0.056,-1.2,-0.8,-2.0,0.0
1 season,,MIN,NBA,,41.0,19.0,1149.0,8.0,19.8,0.403,2.6,7.5,0.347,5.4,12.3,0.437,3.5,4.2,0.851,0.6,3.8,4.3,11.5,1.3,0.4,4.5,4.6,22.1,103.0,115.0,14.4,0.511,0.38,0.21,1.3,8.7,4.9,38.0,1.3,0.5,17.3,22.7,0.9,-0.2,0.7,0.031,0.8,-3.0,-2.2,-0.1
1 season,,CHO,NBA,,27.0,14.0,831.0,10.0,25.7,0.39,3.7,11.1,0.337,6.3,14.6,0.43,5.2,5.8,0.892,0.6,4.2,4.7,10.1,1.0,0.4,4.3,3.7,28.9,102.0,107.0,16.9,0.512,0.431,0.225,1.2,9.1,5.0,36.5,1.0,0.6,13.4,28.8,0.7,0.7,1.4,0.08,2.5,-1.3,1.1,0.6
