Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,27.0,MIN,NBA,PF,60.0,0.0,1075.0,5.2,11.0,0.468,2.3,5.9,0.384,2.9,5.2,0.564,1.9,2.6,0.727,2.3,7.5,9.8,3.9,1.2,1.0,2.2,7.2,14.4,114.0,110.0,11.2,0.594,0.532,0.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,1.4,0.6,1.9,0.087,-0.9,0.2,-0.7,0.3
2016-17,28.0,MIN,NBA,PF,65.0,1.0,1190.0,6.4,15.2,0.424,2.4,7.5,0.316,4.0,7.6,0.531,1.9,2.6,0.738,2.4,8.0,10.4,3.4,1.7,0.9,2.5,6.6,17.2,105.0,111.0,11.0,0.526,0.497,0.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,0.6,0.9,1.5,0.059,-1.8,0.2,-1.6,0.1
2017-18,29.0,MIN,NBA,PF,67.0,21.0,1371.0,6.2,13.5,0.461,2.8,6.7,0.415,3.5,6.9,0.505,1.3,1.6,0.8,1.9,8.1,10.0,3.1,1.8,0.6,1.9,5.1,16.6,114.0,110.0,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1.0,11.7,14.3,1.7,1.1,2.8,0.097,-0.1,0.2,0.1,0.7
2018-19,30.0,SAC,NBA,PF,77.0,70.0,1788.0,7.4,15.4,0.479,2.7,6.7,0.401,4.7,8.7,0.539,1.8,2.4,0.761,3.3,8.3,11.6,3.8,1.4,1.5,2.1,5.1,19.3,117.0,110.0,15.4,0.585,0.433,0.155,7.0,18.8,12.8,11.1,1.4,2.7,11.5,16.5,2.7,1.9,4.5,0.122,0.4,0.5,0.9,1.3
2019-20,31.0,SAC,NBA,PF,72.0,67.0,2011.0,7.6,15.8,0.481,3.2,7.7,0.419,4.3,8.0,0.541,1.7,2.0,0.821,2.7,8.4,11.0,4.9,1.5,1.0,2.4,5.2,20.0,119.0,111.0,15.7,0.602,0.49,0.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17.0,3.4,1.9,5.3,0.127,1.2,0.5,1.8,1.9
2020-21,32.0,TOT,NBA,PF,37.0,3.0,595.0,7.2,16.0,0.454,2.2,6.9,0.318,5.0,9.0,0.559,3.0,4.2,0.725,2.4,8.0,10.3,5.6,1.2,0.4,2.7,5.5,19.7,111.0,116.0,12.9,0.554,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,0.5,0.3,0.9,0.071,-1.4,-0.8,-2.2,0.0
2020-21,32.0,SAC,NBA,PF,26.0,1.0,439.0,7.5,16.4,0.46,1.9,6.3,0.293,5.7,10.1,0.565,3.5,4.6,0.762,2.6,8.3,10.9,5.4,0.9,0.2,3.1,5.2,20.4,110.0,119.0,12.7,0.555,0.387,0.28,6.0,19.5,12.6,15.3,0.9,0.4,14.3,19.3,0.3,0.1,0.5,0.052,-1.3,-1.3,-2.6,-0.1
2020-21,32.0,MIA,NBA,PF,11.0,2.0,156.0,6.4,14.6,0.435,3.2,8.6,0.37,3.2,6.1,0.526,1.6,2.9,0.556,1.6,7.0,8.6,6.4,2.2,1.0,1.6,6.4,17.5,116.0,110.0,13.3,0.55,0.587,0.196,3.7,15.8,9.9,18.7,2.2,2.0,9.1,15.9,0.2,0.2,0.4,0.122,-1.8,0.4,-1.3,0.0
2021-22,33.0,GSW,NBA,C,71.0,0.0,1142.0,6.8,14.6,0.468,2.3,6.4,0.362,4.5,8.2,0.549,2.5,3.5,0.728,2.6,9.9,12.6,6.8,1.8,1.1,3.7,5.5,18.5,111.0,105.0,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,1.0,2.1,3.0,0.128,-0.9,2.3,1.4,1.0
Career,,,NBA,,449.0,162.0,9172.0,6.8,14.6,0.466,2.7,6.9,0.384,4.2,7.7,0.539,1.9,2.5,0.759,2.6,8.3,10.9,4.4,1.5,1.0,2.4,5.6,18.2,114.0,110.0,13.7,0.578,0.472,0.171,5.8,19.2,12.4,12.8,1.5,1.8,13.5,16.1,11.1,8.8,20.0,0.104,-0.2,0.5,0.3,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,192.0,22.0,3636.0,6.0,13.3,0.449,2.5,6.7,0.371,3.5,6.6,0.528,1.7,2.2,0.752,2.2,7.9,10.1,3.4,1.6,0.8,2.2,6.2,16.1,111.0,111.0,11.6,0.564,0.504,0.167,5.0,18.3,11.6,9.8,1.6,1.3,13.3,14.5,3.6,2.6,6.2,0.081,-0.9,0.2,-0.7,1.2
3 seasons,,SAC,NBA,,175.0,138.0,4238.0,7.5,15.7,0.478,2.9,7.1,0.4,4.6,8.5,0.543,1.9,2.4,0.784,2.9,8.3,11.3,4.5,1.4,1.1,2.3,5.2,19.8,117.0,112.0,15.3,0.59,0.455,0.156,6.5,19.4,12.8,13.3,1.4,2.1,12.3,17.0,6.4,3.9,10.4,0.117,0.6,0.3,1.0,3.2
1 season,,GSW,NBA,,71.0,0.0,1142.0,6.8,14.6,0.468,2.3,6.4,0.362,4.5,8.2,0.549,2.5,3.5,0.728,2.6,9.9,12.6,6.8,1.8,1.1,3.7,5.5,18.5,111.0,105.0,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,1.0,2.1,3.0,0.128,-0.9,2.3,1.4,1.0
1 season,,MIA,NBA,,11.0,2.0,156.0,6.4,14.6,0.435,3.2,8.6,0.37,3.2,6.1,0.526,1.6,2.9,0.556,1.6,7.0,8.6,6.4,2.2,1.0,1.6,6.4,17.5,116.0,110.0,13.3,0.55,0.587,0.196,3.7,15.8,9.9,18.7,2.2,2.0,9.1,15.9,0.2,0.2,0.4,0.122,-1.8,0.4,-1.3,0.0
