Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,PHI,NBA,C,75.0,71.0,2311.0,6.6,14.2,0.462,0.0,0.0,,6.6,14.2,0.462,3.0,5.0,0.609,4.0,9.2,13.3,2.8,2.9,3.1,3.2,4.5,16.1,96.0,99.0,15.0,0.493,0.0,0.352,8.3,21.0,14.3,9.8,2.9,5.0,16.2,17.0,-0.2,4.2,4.0,0.083,-2.6,2.3,-0.3,1.0
2015-16,21.0,PHI,NBA,C,67.0,62.0,1965.0,7.6,14.6,0.521,0.0,0.0,0.5,7.6,14.6,0.521,3.3,5.7,0.59,3.8,9.7,13.5,3.0,2.9,2.5,3.9,4.8,18.6,99.0,103.0,16.2,0.544,0.003,0.387,8.2,22.2,15.0,10.5,2.9,3.9,18.7,18.8,0.3,2.8,3.0,0.074,-1.7,1.5,-0.2,0.9
2016-17,22.0,TOT,NBA,C,51.0,19.0,1047.0,8.8,14.8,0.595,0.0,0.0,0.0,8.8,14.8,0.597,3.7,5.3,0.694,4.5,9.6,14.1,2.4,3.1,2.4,2.4,6.0,21.3,119.0,102.0,20.4,0.622,0.003,0.359,9.8,22.3,15.9,8.1,3.1,4.0,12.5,17.6,2.1,1.9,4.0,0.181,0.1,2.3,2.4,1.2
2016-17,22.0,PHI,NBA,C,29.0,7.0,564.0,9.2,15.1,0.611,0.0,0.1,0.0,9.2,15.0,0.615,3.7,5.4,0.683,4.0,8.5,12.4,2.6,3.7,2.2,2.5,6.1,22.2,119.0,102.0,20.8,0.634,0.006,0.36,9.0,19.2,14.1,9.0,3.7,3.7,12.5,17.8,1.1,1.0,2.2,0.184,0.4,2.8,3.2,0.7
2016-17,22.0,DAL,NBA,C,22.0,12.0,483.0,8.3,14.4,0.575,0.0,0.0,,8.3,14.4,0.575,3.7,5.2,0.708,5.1,11.1,16.2,2.2,2.4,2.6,2.4,5.9,20.3,118.0,102.0,19.8,0.606,0.0,0.358,10.8,26.0,18.0,7.0,2.4,4.5,12.4,17.3,0.9,0.9,1.8,0.178,-0.2,1.7,1.4,0.4
2017-18,23.0,DAL,NBA,C,30.0,6.0,472.0,5.8,11.2,0.524,0.0,0.1,0.0,5.8,11.1,0.529,2.2,3.0,0.75,5.1,12.8,17.9,2.1,3.3,2.3,2.8,6.3,13.9,109.0,100.0,16.2,0.558,0.01,0.267,10.9,29.3,19.8,6.3,3.3,4.1,18.1,13.8,0.4,1.0,1.3,0.135,-2.2,2.7,0.5,0.3
2018-19,24.0,OKC,NBA,C,77.0,2.0,1055.0,7.2,12.2,0.587,0.0,0.0,,7.2,12.2,0.587,2.4,3.5,0.684,5.6,8.8,14.4,2.0,2.9,4.2,2.1,7.3,16.7,122.0,99.0,19.3,0.608,0.0,0.286,12.1,20.0,15.9,5.9,2.9,7.7,13.4,13.8,1.9,2.5,4.3,0.198,-1.2,3.3,2.1,1.1
2019-20,25.0,OKC,NBA,C,61.0,7.0,1127.0,7.9,11.6,0.684,0.0,0.1,0.333,7.9,11.5,0.688,3.4,4.6,0.755,3.9,9.0,12.9,2.5,2.5,3.9,2.8,7.2,19.4,127.0,102.0,20.4,0.711,0.011,0.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,2.6,2.3,4.9,0.209,-0.3,3.4,3.1,1.5
2020-21,26.0,NYK,NBA,C,64.0,41.0,1547.0,4.4,7.2,0.614,0.0,0.1,0.0,4.4,7.1,0.623,1.6,2.3,0.714,4.6,8.6,13.2,1.5,2.3,4.6,2.1,5.7,10.5,121.0,101.0,14.8,0.638,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3
2021-22,27.0,NYK,NBA,C,25.0,11.0,562.0,2.8,5.3,0.533,0.0,0.3,0.0,2.8,5.1,0.561,1.9,2.7,0.7,4.3,8.3,12.6,2.0,2.7,2.8,1.8,6.0,7.6,119.0,105.0,11.8,0.581,0.05,0.5,9.0,18.1,13.5,5.7,2.7,5.4,21.5,7.3,0.4,1.0,1.5,0.128,-3.1,3.3,0.3,0.3
2022-23,28.0,TOT,NBA,C,17.0,4.0,195.0,3.2,8.9,0.361,0.2,0.5,0.5,3.0,8.4,0.353,2.0,3.0,0.667,2.5,8.9,11.4,2.5,4.0,2.5,3.2,7.9,8.7,84.0,109.0,7.9,0.424,0.056,0.333,5.6,21.0,13.1,6.7,4.0,4.5,23.9,11.9,-0.3,0.3,0.0,0.007,-6.5,2.6,-3.9,-0.1
2022-23,28.0,DET,NBA,C,14.0,3.0,152.0,3.8,9.5,0.4,0.3,0.6,0.5,3.5,8.9,0.393,2.2,3.2,0.7,2.2,9.5,11.8,2.2,4.1,2.9,2.5,8.0,10.2,92.0,108.0,10.0,0.465,0.067,0.333,4.9,22.5,13.4,6.2,4.1,5.2,18.9,11.8,-0.1,0.3,0.1,0.041,-5.1,3.1,-2.0,0.0
2022-23,28.0,BRK,NBA,C,3.0,1.0,43.0,1.1,6.8,0.167,0.0,0.0,,1.1,6.8,0.167,1.1,2.3,0.5,3.4,6.8,10.2,3.4,3.4,1.1,5.7,7.9,3.4,56.0,110.0,0.3,0.218,0.0,0.333,8.1,15.4,11.8,8.3,3.4,2.0,42.1,12.3,-0.2,0.1,-0.1,-0.112,-11.3,0.9,-10.4,-0.1
Career,,,NBA,,467.0,223.0,10281.0,6.6,12.1,0.546,0.0,0.1,0.2,6.6,12.0,0.548,2.8,4.3,0.655,4.3,9.3,13.6,2.4,2.8,3.3,2.8,5.7,16.0,109.0,101.0,16.5,0.573,0.006,0.355,9.3,21.0,15.0,7.8,2.8,5.7,16.9,14.9,8.7,19.6,28.3,0.132,-1.8,2.7,0.9,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,171.0,140.0,4840.0,7.3,14.5,0.505,0.0,0.0,0.333,7.3,14.4,0.506,3.2,5.3,0.61,3.9,9.3,13.3,2.9,3.0,2.7,3.4,4.8,17.9,100.0,101.0,16.2,0.532,0.002,0.367,8.3,21.3,14.6,10.0,3.0,4.4,16.8,17.8,1.2,8.0,9.2,0.091,-1.9,2.0,0.1,2.6
2 seasons,,OKC,NBA,,138.0,9.0,2182.0,7.6,11.9,0.635,0.0,0.1,0.333,7.5,11.8,0.637,2.9,4.0,0.724,4.8,8.9,13.6,2.2,2.7,4.1,2.5,7.2,18.1,125.0,101.0,19.9,0.66,0.006,0.339,10.6,20.0,15.3,6.8,2.7,7.3,15.4,14.4,4.5,4.8,9.3,0.204,-0.7,3.3,2.6,2.6
2 seasons,,NYK,NBA,,89.0,52.0,2109.0,4.0,6.7,0.597,0.0,0.1,0.0,4.0,6.6,0.61,1.7,2.4,0.71,4.5,8.5,13.0,1.6,2.4,4.1,2.0,5.8,9.7,121.0,102.0,14.0,0.625,0.021,0.353,9.8,18.4,14.1,4.5,2.4,7.8,20.6,8.7,2.1,4.6,6.7,0.153,-2.6,3.7,1.1,1.6
2 seasons,,DAL,NBA,,52.0,18.0,955.0,7.1,12.8,0.552,0.0,0.1,0.0,7.1,12.7,0.555,2.9,4.1,0.724,5.1,11.9,17.0,2.1,2.8,2.5,2.6,6.1,17.1,114.0,101.0,18.0,0.585,0.004,0.318,10.8,27.6,18.9,6.7,2.8,4.3,15.0,15.6,1.3,1.8,3.1,0.157,-1.2,2.2,1.0,0.7
1 season,,DET,NBA,,14.0,3.0,152.0,3.8,9.5,0.4,0.3,0.6,0.5,3.5,8.9,0.393,2.2,3.2,0.7,2.2,9.5,11.8,2.2,4.1,2.9,2.5,8.0,10.2,92.0,108.0,10.0,0.465,0.067,0.333,4.9,22.5,13.4,6.2,4.1,5.2,18.9,11.8,-0.1,0.3,0.1,0.041,-5.1,3.1,-2.0,0.0
1 season,,BRK,NBA,,3.0,1.0,43.0,1.1,6.8,0.167,0.0,0.0,,1.1,6.8,0.167,1.1,2.3,0.5,3.4,6.8,10.2,3.4,3.4,1.1,5.7,7.9,3.4,56.0,110.0,0.3,0.218,0.0,0.333,8.1,15.4,11.8,8.3,3.4,2.0,42.1,12.3,-0.2,0.1,-0.1,-0.112,-11.3,0.9,-10.4,-0.1
