Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,23.0,IND,NBA,SG,51.0,0.0,619.0,6.2,15.5,0.4,3.1,8.1,0.383,3.1,7.4,0.419,2.0,2.8,0.719,1.7,7.7,9.5,4.0,0.9,0.8,2.5,4.4,17.5,106.0,102.0,11.4,0.523,0.522,0.178,3.7,15.9,9.9,12.5,0.9,1.1,13.0,16.4,0.5,1.0,1.5,0.115,-0.5,0.7,0.2,0.3
2013-14,24.0,TOT,NBA,SG,45.0,0.0,392.0,4.8,14.9,0.319,1.2,6.2,0.191,3.6,8.7,0.409,2.5,3.4,0.731,1.2,6.1,7.3,2.6,0.8,0.3,2.0,3.4,13.2,85.0,104.0,5.3,0.402,0.416,0.23,2.7,12.6,7.9,7.7,0.8,0.4,10.8,16.2,-0.5,0.5,0.1,0.008,-4.8,-0.3,-5.1,-0.3
2013-14,24.0,IND,NBA,SG,38.0,0.0,342.0,5.0,14.6,0.344,1.2,6.2,0.195,3.8,8.3,0.455,2.6,3.3,0.773,1.1,6.7,7.7,2.4,0.9,0.2,2.1,3.5,13.8,88.0,102.0,6.1,0.431,0.427,0.229,2.4,13.8,8.4,7.2,0.9,0.2,11.7,16.0,-0.3,0.5,0.2,0.031,-4.5,0.3,-4.3,-0.2
2013-14,24.0,SAC,NBA,SG,7.0,0.0,50.0,3.1,17.3,0.176,1.0,6.1,0.167,2.0,11.2,0.182,2.0,4.1,0.5,2.0,2.0,4.1,4.1,0.0,1.0,1.0,3.1,9.2,68.0,115.0,-0.3,0.24,0.353,0.235,4.5,4.6,4.5,11.4,0.0,1.6,5.1,17.4,-0.2,0.0,-0.1,-0.144,-6.5,-4.0,-10.5,-0.1
2015-16,26.0,TOT,NBA,SG,7.0,1.0,101.0,4.4,16.6,0.265,1.0,4.9,0.2,3.4,11.7,0.292,2.9,3.9,0.75,1.9,5.4,7.3,1.0,1.5,1.5,1.9,4.4,12.7,74.0,110.0,3.6,0.346,0.294,0.235,4.2,12.3,8.1,2.7,1.5,2.4,9.6,17.8,-0.2,0.1,-0.2,-0.087,-6.5,-1.8,-8.3,-0.2
2015-16,26.0,PHO,NBA,SG,2.0,0.0,47.0,5.2,17.6,0.294,1.0,5.2,0.2,4.1,12.4,0.333,5.2,6.2,0.833,3.1,6.2,9.3,0.0,2.1,3.1,1.0,5.2,16.6,92.0,105.0,10.1,0.407,0.294,0.353,6.8,14.2,10.4,0.0,2.1,5.2,4.8,18.7,0.0,0.1,0.0,0.026,-3.2,0.8,-2.4,0.0
2015-16,26.0,NOP,NBA,SG,5.0,1.0,54.0,3.7,15.6,0.235,0.9,4.6,0.2,2.8,11.0,0.25,0.9,1.8,0.5,0.9,4.6,5.5,1.8,0.9,0.0,2.8,3.7,9.2,58.0,113.0,-2.1,0.28,0.294,0.118,2.0,10.6,6.2,5.1,0.9,0.0,14.4,17.1,-0.2,0.0,-0.2,-0.185,-9.3,-4.1,-13.4,-0.2
Career,,,NBA,,103.0,1.0,1112.0,5.5,15.4,0.358,2.2,7.1,0.311,3.3,8.3,0.398,2.3,3.1,0.727,1.6,6.9,8.5,3.2,0.9,0.7,2.3,4.0,15.5,96.0,103.0,8.5,0.462,0.462,0.202,3.4,14.4,9.0,9.9,0.9,1.0,11.9,16.5,-0.2,1.6,1.4,0.059,-2.5,0.1,-2.4,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,89.0,0.0,961.0,5.8,15.1,0.38,2.4,7.4,0.326,3.3,7.7,0.433,2.2,3.0,0.741,1.5,7.4,8.8,3.5,0.9,0.5,2.4,4.1,16.1,100.0,102.0,9.5,0.49,0.489,0.196,3.2,15.2,9.4,10.6,0.9,0.8,12.5,16.3,0.2,1.5,1.7,0.085,-1.9,0.5,-1.4,0.2
1 season,,SAC,NBA,,7.0,0.0,50.0,3.1,17.3,0.176,1.0,6.1,0.167,2.0,11.2,0.182,2.0,4.1,0.5,2.0,2.0,4.1,4.1,0.0,1.0,1.0,3.1,9.2,68.0,115.0,-0.3,0.24,0.353,0.235,4.5,4.6,4.5,11.4,0.0,1.6,5.1,17.4,-0.2,0.0,-0.1,-0.144,-6.5,-4.0,-10.5,-0.1
1 season,,NOP,NBA,,5.0,1.0,54.0,3.7,15.6,0.235,0.9,4.6,0.2,2.8,11.0,0.25,0.9,1.8,0.5,0.9,4.6,5.5,1.8,0.9,0.0,2.8,3.7,9.2,58.0,113.0,-2.1,0.28,0.294,0.118,2.0,10.6,6.2,5.1,0.9,0.0,14.4,17.1,-0.2,0.0,-0.2,-0.185,-9.3,-4.1,-13.4,-0.2
1 season,,PHO,NBA,,2.0,0.0,47.0,5.2,17.6,0.294,1.0,5.2,0.2,4.1,12.4,0.333,5.2,6.2,0.833,3.1,6.2,9.3,0.0,2.1,3.1,1.0,5.2,16.6,92.0,105.0,10.1,0.407,0.294,0.353,6.8,14.2,10.4,0.0,2.1,5.2,4.8,18.7,0.0,0.1,0.0,0.026,-3.2,0.8,-2.4,0.0
