Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,24.0,UTA,NBA,SG,14.0,0.0,73.0,8.4,20.3,0.414,0.0,0.0,,8.4,20.3,0.414,9.1,13.3,0.684,5.6,7.7,13.3,0.7,2.8,0.0,4.2,7.0,25.9,98.0,103.0,13.6,0.495,0.0,0.655,13.3,17.4,15.4,2.1,2.8,0.0,13.8,26.7,0.0,0.1,0.1,0.067,-3.7,-1.0,-4.6,0.0
2010-11,25.0,TOT,NBA,SG,17.0,1.0,322.0,4.9,10.3,0.477,0.2,0.6,0.25,4.8,9.7,0.492,4.8,7.3,0.652,4.0,6.7,10.6,3.2,2.7,0.0,2.2,5.1,14.8,112.0,109.0,13.3,0.546,0.062,0.708,8.5,15.4,11.9,9.3,2.7,0.0,14.1,13.6,0.4,0.3,0.7,0.097,-1.6,0.0,-1.7,0.0
2010-11,25.0,SAS,NBA,SG,1.0,0.0,8.0,6.5,19.5,0.333,0.0,0.0,,6.5,19.5,0.333,0.0,0.0,,0.0,13.0,13.0,6.5,0.0,0.0,6.5,6.5,13.0,63.0,106.0,-0.5,0.333,0.0,0.0,0.0,28.4,14.5,18.6,0.0,0.0,25.0,23.0,0.0,0.0,0.0,-0.183,-12.6,-1.8,-14.4,0.0
2010-11,25.0,WAS,NBA,SG,16.0,1.0,314.0,4.9,10.1,0.484,0.2,0.7,0.25,4.7,9.4,0.5,4.9,7.5,0.652,4.1,6.5,10.6,3.1,2.8,0.0,2.1,5.1,14.8,114.0,109.0,13.7,0.553,0.065,0.742,8.8,15.1,11.8,9.0,2.8,0.0,13.6,13.4,0.4,0.3,0.7,0.104,-1.4,0.0,-1.4,0.0
2013-14,28.0,TOT,NBA,SG,6.0,1.0,47.0,3.2,6.4,0.5,0.0,2.1,0.0,3.2,4.3,0.75,3.2,4.3,0.75,1.1,8.5,9.6,1.1,0.0,0.0,1.1,3.2,9.6,113.0,107.0,6.9,0.58,0.333,0.667,2.5,18.7,10.7,2.8,0.0,0.0,11.4,8.3,0.0,0.0,0.1,0.082,-2.9,-0.3,-3.2,0.0
2013-14,28.0,SAS,NBA,SG,4.0,1.0,34.0,4.5,7.4,0.6,0.0,1.5,0.0,4.5,5.9,0.75,1.5,3.0,0.5,1.5,7.4,8.9,1.5,0.0,0.0,0.0,3.0,10.4,132.0,107.0,8.9,0.595,0.2,0.4,3.5,15.9,9.9,3.9,0.0,0.0,0.0,7.8,0.1,0.0,0.1,0.121,-0.9,0.0,-0.9,0.0
2013-14,28.0,MIN,NBA,SG,2.0,0.0,13.0,0.0,3.8,0.0,0.0,3.8,0.0,0.0,0.0,,7.6,7.6,1.0,0.0,11.4,11.4,0.0,0.0,0.0,3.8,3.8,7.6,76.0,108.0,1.7,0.532,1.0,2.0,0.0,25.8,12.6,0.0,0.0,0.0,34.7,9.4,0.0,0.0,0.0,-0.02,-8.2,-1.0,-9.2,0.0
Career,,,NBA,,37.0,2.0,442.0,5.3,11.6,0.46,0.1,0.7,0.167,5.2,10.9,0.479,5.3,8.0,0.667,3.9,7.0,11.0,2.5,2.4,0.0,2.4,5.2,16.1,108.0,108.0,12.7,0.533,0.06,0.69,8.7,16.1,12.3,7.4,2.4,0.0,13.9,15.2,0.4,0.4,0.8,0.091,-2.1,-0.2,-2.3,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,WAS,NBA,,16.0,1.0,314.0,4.9,10.1,0.484,0.2,0.7,0.25,4.7,9.4,0.5,4.9,7.5,0.652,4.1,6.5,10.6,3.1,2.8,0.0,2.1,5.1,14.8,114.0,109.0,13.7,0.553,0.065,0.742,8.8,15.1,11.8,9.0,2.8,0.0,13.6,13.4,0.4,0.3,0.7,0.104,-1.4,0.0,-1.4,0.0
1 season,,UTA,NBA,,14.0,0.0,73.0,8.4,20.3,0.414,0.0,0.0,,8.4,20.3,0.414,9.1,13.3,0.684,5.6,7.7,13.3,0.7,2.8,0.0,4.2,7.0,25.9,98.0,103.0,13.6,0.495,0.0,0.655,13.3,17.4,15.4,2.1,2.8,0.0,13.8,26.7,0.0,0.1,0.1,0.067,-3.7,-1.0,-4.6,0.0
2 seasons,,SAS,NBA,,5.0,1.0,42.0,4.8,9.7,0.5,0.0,1.2,0.0,4.8,8.5,0.571,1.2,2.4,0.5,1.2,8.5,9.7,2.4,0.0,0.0,1.2,3.6,10.9,103.0,107.0,7.1,0.507,0.125,0.25,2.8,18.3,10.8,6.7,0.0,0.0,10.1,10.7,0.0,0.0,0.1,0.063,-3.1,-0.4,-3.5,0.0
1 season,,MIN,NBA,,2.0,0.0,13.0,0.0,3.8,0.0,0.0,3.8,0.0,0.0,0.0,,7.6,7.6,1.0,0.0,11.4,11.4,0.0,0.0,0.0,3.8,3.8,7.6,76.0,108.0,1.7,0.532,1.0,2.0,0.0,25.8,12.6,0.0,0.0,0.0,34.7,9.4,0.0,0.0,0.0,-0.02,-8.2,-1.0,-9.2,0.0
