Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,24.0,HOU,NBA,PG,41.0,0.0,713.0,5.5,13.2,0.418,2.5,6.7,0.375,3.0,6.5,0.462,2.4,2.9,0.829,3.2,4.5,7.6,8.2,2.6,1.5,3.1,5.8,16.0,116.0,105.0,15.4,0.551,0.508,0.217,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,1.4,0.8,2.2,0.148,1.7,2.1,3.8,1.0
2013-14,25.0,HOU,NBA,PG,56.0,55.0,1751.0,5.7,13.7,0.414,2.6,7.3,0.361,3.0,6.4,0.473,2.4,2.9,0.814,2.0,3.5,5.6,4.3,2.2,0.7,1.9,5.0,16.3,115.0,108.0,12.4,0.545,0.53,0.212,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,2.7,1.6,4.2,0.116,-0.3,0.9,0.6,1.2
2014-15,26.0,HOU,NBA,PG,56.0,55.0,1727.0,5.9,15.3,0.383,3.3,9.3,0.356,2.6,6.0,0.426,1.3,1.7,0.75,1.9,4.9,6.8,5.5,1.7,0.7,2.4,5.2,16.4,107.0,106.0,11.3,0.509,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1.0,12.9,16.1,1.7,1.8,3.5,0.096,-0.4,0.5,0.1,0.9
2015-16,27.0,HOU,NBA,PG,71.0,63.0,2041.0,6.2,14.3,0.434,3.0,7.5,0.4,3.2,6.8,0.472,1.4,2.1,0.682,1.8,4.3,6.0,5.8,2.3,0.6,2.2,5.6,16.9,114.0,110.0,13.0,0.553,0.522,0.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,3.1,1.3,4.4,0.102,0.0,0.1,0.2,1.1
2016-17,28.0,HOU,NBA,SG,67.0,67.0,2058.0,5.3,12.7,0.42,2.6,6.7,0.382,2.8,5.9,0.463,1.7,2.2,0.768,2.2,6.9,9.2,6.6,2.3,0.6,2.3,5.2,14.9,116.0,108.0,13.0,0.546,0.53,0.175,5.0,15.8,10.4,18.8,2.3,1.0,14.6,14.1,2.9,2.4,5.3,0.123,-0.2,1.4,1.1,1.6
2017-18,29.0,LAC,NBA,SG,11.0,11.0,334.0,7.0,17.3,0.403,3.5,8.7,0.4,3.5,8.6,0.407,2.0,2.5,0.824,2.3,4.2,6.6,4.7,2.8,0.7,3.6,4.9,19.5,102.0,110.0,12.4,0.53,0.504,0.143,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,0.1,0.3,0.4,0.056,-0.3,0.8,0.5,0.2
2018-19,30.0,LAC,NBA,PG,78.0,49.0,2137.0,4.3,10.5,0.407,2.5,6.2,0.397,1.8,4.3,0.421,2.1,2.7,0.78,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,119.0,111.0,11.8,0.561,0.591,0.258,3.9,15.0,9.6,18.4,1.5,1.6,13.8,12.2,2.8,2.0,4.8,0.108,-0.3,1.2,0.9,1.5
2019-20,31.0,LAC,NBA,PG,51.0,50.0,1342.0,5.2,12.0,0.431,2.8,7.3,0.388,2.4,4.8,0.496,1.1,1.7,0.66,2.0,7.4,9.4,6.4,1.9,0.9,2.3,5.5,14.3,116.0,107.0,12.5,0.56,0.604,0.138,4.5,15.8,10.3,18.2,1.9,1.6,15.4,13.3,1.6,2.0,3.6,0.128,-0.3,2.5,2.2,1.4
2020-21,32.0,LAC,NBA,PG,37.0,34.0,832.0,5.5,13.1,0.423,3.3,8.4,0.397,2.2,4.7,0.468,2.1,2.7,0.8,1.7,5.4,7.1,4.5,1.7,1.7,2.0,6.4,16.5,118.0,110.0,12.0,0.58,0.641,0.205,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,1.0,1.0,2.1,0.119,-0.7,1.4,0.7,0.6
2021-22,33.0,MIN,NBA,PG,58.0,54.0,1476.0,5.7,14.1,0.406,2.7,7.8,0.343,3.0,6.3,0.485,3.1,4.3,0.722,2.0,5.7,7.7,8.6,2.2,1.7,2.4,5.6,17.2,119.0,111.0,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,2.3,1.7,4.1,0.132,0.6,2.1,2.7,1.7
2022-23,34.0,TOT,NBA,PG,59.0,59.0,1608.0,3.7,9.4,0.397,2.1,6.2,0.34,1.6,3.2,0.509,1.4,1.9,0.73,1.3,5.4,6.7,5.0,1.5,1.1,1.7,5.0,10.9,113.0,114.0,8.7,0.535,0.659,0.199,3.0,12.0,7.6,13.2,1.5,2.0,14.0,10.6,0.7,1.8,2.5,0.075,-3.0,1.5,-1.5,0.2
2022-23,34.0,LAL,NBA,PG,45.0,45.0,1211.0,3.8,9.4,0.402,2.2,6.2,0.348,1.6,3.2,0.506,1.5,2.0,0.78,0.9,4.5,5.5,4.6,1.6,1.0,1.6,4.8,11.3,112.0,115.0,8.3,0.548,0.656,0.207,2.2,9.9,6.2,12.2,1.6,1.7,13.8,10.6,0.5,1.3,1.8,0.07,-3.2,1.4,-1.8,0.0
2022-23,34.0,CHI,NBA,PG,14.0,14.0,397.0,3.6,9.3,0.382,2.0,6.3,0.314,1.6,3.1,0.52,0.9,1.6,0.538,2.3,8.1,10.4,6.4,1.1,1.3,1.7,5.5,9.9,113.0,112.0,9.7,0.496,0.671,0.171,5.5,18.4,12.1,16.4,1.1,2.7,14.6,10.6,0.2,0.5,0.7,0.09,-2.3,1.7,-0.6,0.1
Career,,,NBA,,585.0,497.0,16019.0,5.3,12.9,0.413,2.7,7.3,0.374,2.6,5.6,0.463,1.9,2.5,0.754,1.9,5.5,7.5,6.1,2.0,0.9,2.2,5.4,15.2,115.0,109.0,12.3,0.545,0.568,0.192,4.4,12.2,8.4,17.5,2.0,1.6,13.6,14.2,20.3,16.7,37.0,0.111,-0.4,1.2,0.9,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,291.0,240.0,8290.0,5.7,13.9,0.414,2.8,7.5,0.375,2.9,6.3,0.46,1.8,2.3,0.764,2.1,4.9,7.0,5.8,2.2,0.7,2.3,5.3,16.1,113.0,108.0,12.7,0.54,0.544,0.165,4.8,11.0,7.9,17.5,2.2,1.1,13.3,15.1,11.7,7.8,19.6,0.113,0.0,0.8,0.8,5.9
4 seasons,,LAC,NBA,,177.0,144.0,4645.0,5.0,11.9,0.417,2.8,7.1,0.395,2.2,4.8,0.449,1.8,2.4,0.763,1.8,6.6,8.4,6.1,1.7,1.0,2.2,5.8,14.5,116.0,110.0,12.1,0.561,0.596,0.201,4.2,14.2,9.4,16.9,1.7,1.8,14.3,13.5,5.5,5.4,10.8,0.112,-0.4,1.6,1.2,3.7
1 season,,MIN,NBA,,58.0,54.0,1476.0,5.7,14.1,0.406,2.7,7.8,0.343,3.0,6.3,0.485,3.1,4.3,0.722,2.0,5.7,7.7,8.6,2.2,1.7,2.4,5.6,17.2,119.0,111.0,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,2.3,1.7,4.1,0.132,0.6,2.1,2.7,1.7
1 season,,LAL,NBA,,45.0,45.0,1211.0,3.8,9.4,0.402,2.2,6.2,0.348,1.6,3.2,0.506,1.5,2.0,0.78,0.9,4.5,5.5,4.6,1.6,1.0,1.6,4.8,11.3,112.0,115.0,8.3,0.548,0.656,0.207,2.2,9.9,6.2,12.2,1.6,1.7,13.8,10.6,0.5,1.3,1.8,0.07,-3.2,1.4,-1.8,0.0
1 season,,CHI,NBA,,14.0,14.0,397.0,3.6,9.3,0.382,2.0,6.3,0.314,1.6,3.1,0.52,0.9,1.6,0.538,2.3,8.1,10.4,6.4,1.1,1.3,1.7,5.5,9.9,113.0,112.0,9.7,0.496,0.671,0.171,5.5,18.4,12.1,16.4,1.1,2.7,14.6,10.6,0.2,0.5,0.7,0.09,-2.3,1.7,-0.6,0.1
