Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,21.0,OKC,NBA,PG,2.0,0.0,3.0,16.5,33.1,0.5,0.0,0.0,,16.5,33.1,0.5,0.0,0.0,,0.0,16.5,16.5,0.0,0.0,0.0,16.5,16.5,33.1,59.0,107.0,-5.0,0.5,0.0,0.0,0.0,38.3,18.5,0.0,0.0,0.0,33.3,42.9,0.0,0.0,0.0,-0.404,-17.7,-2.7,-20.4,0.0
2018-19,22.0,BOS,NBA,SG,6.0,0.0,51.0,7.6,19.8,0.381,1.9,7.6,0.25,5.7,12.3,0.462,0.9,1.9,0.5,5.7,10.4,16.1,4.7,1.9,0.0,0.0,1.9,17.9,112.0,107.0,16.0,0.434,0.381,0.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,0.1,0.1,0.1,0.125,-1.3,-0.6,-2.0,0.0
2019-20,23.0,DEN,NBA,SG,29.0,0.0,412.0,7.8,18.8,0.414,2.0,5.9,0.347,5.8,13.0,0.444,2.5,3.5,0.724,1.2,5.4,6.6,7.6,1.7,0.7,3.2,5.4,20.2,102.0,112.0,11.6,0.495,0.312,0.185,2.7,12.2,7.5,21.6,1.7,1.3,13.7,20.8,0.0,0.4,0.4,0.044,-2.5,-1.2,-3.8,-0.2
2020-21,24.0,DEN,NBA,SG,50.0,6.0,1088.0,6.7,16.1,0.417,2.1,6.8,0.315,4.6,9.4,0.49,1.9,3.0,0.636,1.6,6.7,8.3,4.2,1.4,1.0,2.1,3.9,17.5,104.0,113.0,10.4,0.501,0.42,0.186,3.7,15.3,9.5,11.2,1.4,2.0,10.7,17.2,0.1,1.1,1.1,0.051,-2.3,-0.4,-2.6,-0.2
2021-22,25.0,DEN,NBA,SG,18.0,0.0,340.0,5.2,14.3,0.364,2.2,6.9,0.313,3.0,7.4,0.412,1.4,1.9,0.769,2.0,7.1,9.1,4.2,1.6,0.9,1.9,4.8,14.0,100.0,112.0,8.7,0.463,0.485,0.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,-0.1,0.4,0.3,0.038,-3.0,1.0,-2.0,0.0
2022-23,26.0,SAC,NBA,SG,10.0,0.0,23.0,6.2,20.8,0.3,2.1,10.4,0.2,4.2,10.4,0.4,0.0,0.0,,0.0,12.5,12.5,0.0,6.2,2.1,4.2,4.2,14.5,58.0,101.0,5.4,0.35,0.5,0.0,0.0,29.6,15.0,0.0,6.2,3.8,16.7,22.4,-0.1,0.1,-0.1,-0.137,-11.6,1.6,-10.0,0.0
Career,,,NBA,,115.0,6.0,1917.0,6.7,16.6,0.405,2.1,6.7,0.317,4.6,9.9,0.465,1.9,2.8,0.673,1.7,6.7,8.3,4.9,1.6,0.9,2.3,4.3,17.4,102.0,112.0,10.4,0.49,0.402,0.171,3.8,15.1,9.5,13.4,1.6,1.7,11.4,17.8,-0.1,1.9,1.8,0.046,-2.6,-0.3,-2.9,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,97.0,6.0,1840.0,6.7,16.4,0.408,2.1,6.6,0.321,4.6,9.8,0.466,2.0,2.9,0.676,1.6,6.5,8.0,4.9,1.5,0.9,2.3,4.4,17.4,103.0,112.0,10.4,0.494,0.403,0.177,3.7,14.6,9.2,13.6,1.5,1.8,11.6,17.7,0.0,1.8,1.8,0.047,-2.5,-0.3,-2.8,-0.3
1 season,,SAC,NBA,,10.0,0.0,23.0,6.2,20.8,0.3,2.1,10.4,0.2,4.2,10.4,0.4,0.0,0.0,,0.0,12.5,12.5,0.0,6.2,2.1,4.2,4.2,14.5,58.0,101.0,5.4,0.35,0.5,0.0,0.0,29.6,15.0,0.0,6.2,3.8,16.7,22.4,-0.1,0.1,-0.1,-0.137,-11.6,1.6,-10.0,0.0
1 season,,BOS,NBA,,6.0,0.0,51.0,7.6,19.8,0.381,1.9,7.6,0.25,5.7,12.3,0.462,0.9,1.9,0.5,5.7,10.4,16.1,4.7,1.9,0.0,0.0,1.9,17.9,112.0,107.0,16.0,0.434,0.381,0.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,0.1,0.1,0.1,0.125,-1.3,-0.6,-2.0,0.0
1 season,,OKC,NBA,,2.0,0.0,3.0,16.5,33.1,0.5,0.0,0.0,,16.5,33.1,0.5,0.0,0.0,,0.0,16.5,16.5,0.0,0.0,0.0,16.5,16.5,33.1,59.0,107.0,-5.0,0.5,0.0,0.0,0.0,38.3,18.5,0.0,0.0,0.0,33.3,42.9,0.0,0.0,0.0,-0.404,-17.7,-2.7,-20.4,0.0
