Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000-01,24.0,PHI,NBA,SG,5.0,0.0,30.0,3.5,12.4,0.286,1.8,5.3,0.333,1.8,7.1,0.25,0.0,0.0,,0.0,1.8,1.8,0.0,1.8,0.0,3.5,1.8,8.8,59.0,104.0,-0.6,0.357,0.429,0.0,0.0,3.7,1.9,0.0,1.8,0.0,22.2,13.6,-0.1,0.0,-0.1,-0.091,-7.2,-2.2,-9.4,-0.1
2001-02,25.0,PHI,NBA,SG,74.0,12.0,890.0,6.2,14.6,0.429,0.7,2.7,0.273,5.5,11.9,0.464,2.2,2.9,0.75,1.9,4.9,6.7,4.3,1.3,0.2,2.9,6.6,15.4,97.0,104.0,8.6,0.486,0.183,0.2,4.0,10.1,7.1,13.4,1.3,0.3,15.5,15.9,0.1,1.0,1.1,0.059,-3.6,0.3,-3.3,-0.3
2002-03,26.0,DAL,NBA,SG,75.0,32.0,1173.0,4.1,9.3,0.441,0.9,2.3,0.412,3.2,7.1,0.45,1.0,1.5,0.676,2.1,4.3,6.4,2.5,2.3,0.4,1.9,5.9,10.2,101.0,104.0,7.9,0.509,0.242,0.161,4.4,9.2,6.8,6.8,2.3,0.5,16.0,10.4,0.5,1.2,1.7,0.069,-3.1,1.4,-1.8,0.1
2003-04,27.0,UTA,NBA,SG,82.0,4.0,2020.0,9.0,22.1,0.409,1.7,4.6,0.373,7.3,17.5,0.418,5.4,6.8,0.786,1.6,5.0,6.6,2.9,1.7,0.4,3.0,7.2,25.1,103.0,105.0,12.7,0.5,0.206,0.308,3.6,11.3,7.4,10.2,1.7,0.5,10.8,23.6,2.2,1.5,3.7,0.088,-1.2,-0.8,-2.0,0.0
2004-05,28.0,UTA,NBA,SG,63.0,32.0,1790.0,9.2,20.2,0.454,1.6,4.1,0.403,7.6,16.2,0.467,3.4,4.6,0.747,1.5,4.6,6.1,2.8,1.3,0.2,2.4,6.2,23.4,105.0,112.0,12.2,0.527,0.201,0.225,3.2,10.9,7.0,9.3,1.3,0.4,9.7,20.9,1.6,0.6,2.2,0.06,-1.0,-1.2,-2.2,-0.1
2005-06,29.0,PHO,NBA,SG,79.0,79.0,2959.0,7.2,15.7,0.457,3.3,7.5,0.442,3.9,8.2,0.471,1.9,2.5,0.788,0.7,3.5,4.3,3.5,1.3,0.4,1.5,4.2,19.7,114.0,109.0,12.9,0.584,0.48,0.157,1.7,7.7,4.7,9.8,1.3,0.5,8.2,16.4,4.7,2.1,6.8,0.11,0.2,0.1,0.2,1.6
2006-07,30.0,PHO,NBA,SG,78.0,78.0,2917.0,7.1,16.3,0.432,3.5,8.5,0.413,3.5,7.8,0.452,2.0,2.6,0.776,0.8,3.5,4.3,3.4,0.9,0.4,1.4,4.0,19.7,113.0,110.0,12.0,0.562,0.522,0.16,2.0,7.7,5.0,9.5,0.9,0.5,7.5,17.0,4.2,1.6,5.8,0.095,0.5,-0.6,-0.1,1.4
2007-08,31.0,PHO,NBA,SG,75.0,75.0,2646.0,5.9,14.1,0.421,3.3,8.2,0.401,2.6,5.9,0.449,1.5,1.7,0.868,0.9,4.3,5.1,3.2,1.0,0.5,1.2,4.1,16.7,113.0,111.0,10.5,0.561,0.583,0.121,2.2,9.0,5.9,8.6,1.0,0.7,7.6,14.5,3.0,1.5,4.5,0.082,-0.3,-0.5,-0.8,0.8
2008-09,32.0,TOT,NBA,SG,67.0,66.0,2315.0,6.8,15.6,0.437,2.6,6.2,0.421,4.2,9.4,0.448,2.0,2.3,0.853,0.9,4.6,5.6,3.2,1.1,0.2,2.0,3.8,18.3,109.0,111.0,10.7,0.548,0.396,0.149,2.2,10.5,6.4,10.1,1.1,0.3,10.6,16.3,2.0,1.6,3.6,0.074,-0.9,-0.4,-1.3,0.4
2008-09,32.0,PHO,NBA,SG,22.0,22.0,712.0,5.3,12.4,0.429,3.1,6.6,0.468,2.2,5.8,0.386,1.1,1.5,0.762,0.6,3.9,4.5,2.0,0.9,0.1,1.3,4.0,14.9,114.0,116.0,8.5,0.569,0.531,0.119,1.4,8.8,5.2,5.5,0.9,0.2,8.8,12.6,0.7,0.1,0.8,0.054,-0.9,-0.9,-1.9,0.0
2008-09,32.0,CHA,NBA,SG,45.0,44.0,1603.0,7.6,17.2,0.44,2.4,6.0,0.395,5.2,11.2,0.464,2.4,2.7,0.877,1.1,4.9,6.1,3.8,1.3,0.2,2.3,3.7,19.9,107.0,109.0,11.7,0.541,0.349,0.16,2.6,11.2,6.9,12.2,1.3,0.3,11.1,18.0,1.3,1.5,2.8,0.083,-0.9,-0.1,-1.0,0.4
