Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1998-99,19.0,SEA,NBA,SF,20.0,7.0,145.0,7.0,19.2,0.365,0.4,2.2,0.167,6.6,17.0,0.391,3.0,5.2,0.571,4.8,4.4,9.2,1.5,3.0,0.4,7.4,7.0,17.4,72.0,105.0,4.5,0.404,0.115,0.269,10.2,9.7,9.9,4.6,3.0,0.5,25.6,24.4,-0.5,0.1,-0.4,-0.136,-7.5,-2.0,-9.5,-0.3
1999-00,20.0,SEA,NBA,SF,82.0,8.0,1575.0,9.0,18.5,0.486,1.3,3.9,0.333,7.7,14.6,0.527,2.7,4.0,0.683,4.1,6.8,11.0,2.3,2.0,1.2,2.5,5.3,22.0,108.0,104.0,16.5,0.543,0.212,0.217,8.7,14.7,11.7,7.3,2.0,1.6,11.2,19.6,2.4,1.7,4.1,0.125,0.7,0.0,0.6,1.0
2000-01,21.0,SEA,NBA,PF,78.0,78.0,2720.0,8.2,17.1,0.48,2.4,5.5,0.432,5.8,11.6,0.503,3.4,4.1,0.826,2.8,7.7,10.4,2.4,1.8,0.9,2.5,3.7,22.2,114.0,105.0,17.3,0.587,0.321,0.24,6.1,16.7,11.4,7.6,1.8,1.2,11.6,18.4,5.9,2.1,8.0,0.142,2.4,-0.4,2.1,2.8
2001-02,22.0,SEA,NBA,SF,71.0,70.0,2585.0,9.5,20.3,0.468,2.6,6.6,0.389,6.9,13.7,0.506,3.4,4.2,0.81,2.9,7.5,10.4,2.6,2.2,0.8,2.0,3.6,24.9,115.0,104.0,18.5,0.564,0.325,0.206,6.5,16.1,11.4,7.8,2.2,1.2,8.4,20.8,5.9,2.7,8.6,0.16,3.1,-0.1,3.0,3.2
2002-03,23.0,SEA,NBA,SF,77.0,77.0,3044.0,9.3,20.6,0.452,1.3,3.9,0.346,8.0,16.7,0.476,5.1,6.2,0.82,2.7,6.3,9.0,2.4,1.8,0.6,2.6,3.7,25.0,108.0,105.0,16.7,0.537,0.189,0.3,5.8,13.8,9.7,7.9,1.8,0.9,9.9,22.2,5.0,2.8,7.8,0.122,1.2,-0.5,0.7,2.1
2003-04,24.0,SEA,NBA,SF,80.0,80.0,2931.0,9.7,22.4,0.435,2.6,7.0,0.376,7.1,15.3,0.463,3.8,4.9,0.763,2.4,7.0,9.4,3.2,1.8,1.0,2.5,4.2,25.9,107.0,108.0,17.5,0.527,0.314,0.22,5.4,15.4,10.4,10.7,1.8,1.4,9.1,23.4,5.2,1.3,6.5,0.107,2.1,-1.2,1.0,2.2
2004-05,25.0,SEA,NBA,SF,71.0,71.0,2697.0,10.8,23.3,0.462,3.5,8.7,0.4,7.3,14.6,0.499,4.5,5.7,0.777,2.2,5.6,7.9,1.9,1.5,1.3,2.5,3.2,29.5,117.0,110.0,19.4,0.571,0.375,0.246,5.0,12.6,8.8,6.5,1.5,1.8,8.8,24.0,6.9,1.5,8.4,0.15,4.5,-0.8,3.7,3.9
2005-06,26.0,SEA,NBA,SF,78.0,77.0,2876.0,9.8,21.0,0.467,2.6,6.7,0.384,7.2,14.2,0.507,6.4,7.8,0.818,2.0,5.1,7.1,3.3,1.9,0.9,2.6,3.5,28.6,119.0,115.0,20.0,0.585,0.321,0.372,4.6,11.9,8.2,10.7,1.9,1.3,9.5,23.1,8.2,0.1,8.3,0.138,4.2,-1.6,2.7,3.4
2006-07,27.0,SEA,NBA,SF,60.0,60.0,2348.0,10.3,22.4,0.461,3.4,8.6,0.39,6.9,13.8,0.505,5.9,7.0,0.841,2.0,6.8,8.8,3.2,1.5,0.9,2.6,3.2,29.9,117.0,110.0,20.7,0.587,0.385,0.313,4.6,15.7,10.1,10.8,1.5,1.3,9.4,24.4,6.3,1.3,7.6,0.155,4.8,-0.7,4.1,3.6
2007-08,28.0,ORL,NBA,PF,81.0,81.0,3076.0,8.6,19.0,0.455,3.8,9.2,0.409,4.8,9.7,0.498,3.6,4.3,0.838,1.6,5.7,7.3,3.3,1.7,0.6,2.3,3.6,24.7,115.0,106.0,16.7,0.591,0.487,0.229,3.8,12.2,8.2,10.5,1.7,0.9,10.1,20.7,6.1,3.7,9.8,0.153,2.7,0.4,3.1,4.0
2008-09,29.0,ORL,NBA,PF,79.0,79.0,2859.0,8.7,19.8,0.439,4.0,10.1,0.397,4.7,9.7,0.482,4.1,4.9,0.836,1.7,6.6,8.2,3.7,1.5,0.9,2.9,3.5,25.5,113.0,103.0,16.8,0.58,0.509,0.247,3.7,13.9,8.9,12.5,1.5,1.3,11.6,22.0,4.7,4.8,9.5,0.16,2.7,1.0,3.7,4.1
2009-10,30.0,ORL,NBA,PF,72.0,72.0,2369.0,7.7,17.7,0.435,3.7,9.3,0.397,4.0,8.4,0.476,3.2,4.0,0.806,1.4,5.6,7.0,2.4,1.7,0.6,2.4,4.0,22.3,111.0,104.0,14.0,0.573,0.525,0.224,3.1,12.1,7.8,7.4,1.7,0.9,10.9,19.4,3.1,3.4,6.5,0.132,0.9,0.8,1.8,2.3
2010-11,31.0,TOT,NBA,"PF,SF",57.0,52.0,1824.0,7.2,16.5,0.433,2.5,6.9,0.357,4.7,9.6,0.488,2.2,2.7,0.802,2.0,6.2,8.2,2.6,1.5,0.9,2.5,4.5,19.0,105.0,107.0,12.0,0.535,0.419,0.165,4.4,14.0,9.1,8.1,1.5,1.3,12.2,17.6,1.2,1.9,3.0,0.079,-0.7,0.3,-0.4,0.7
2010-11,31.0,ORL,NBA,PF,25.0,25.0,810.0,7.3,17.5,0.419,2.9,7.8,0.367,4.5,9.7,0.46,2.2,2.9,0.756,1.5,5.4,6.9,1.9,1.4,0.6,2.3,4.1,19.7,103.0,104.0,11.0,0.524,0.444,0.167,3.4,11.7,7.6,5.9,1.4,1.0,10.8,18.6,0.3,1.2,1.5,0.091,-1.0,0.6,-0.5,0.3
2010-11,31.0,WAS,NBA,SF,32.0,27.0,1014.0,7.0,15.7,0.446,2.2,6.3,0.347,4.8,9.5,0.511,2.2,2.6,0.843,2.4,6.9,9.3,3.2,1.5,1.0,2.6,4.8,18.4,107.0,110.0,12.8,0.544,0.397,0.163,5.2,15.9,10.4,9.9,1.5,1.5,13.5,16.8,0.8,0.7,1.5,0.07,-0.4,0.0,-0.3,0.4
2011-12,32.0,WAS,NBA,SF,28.0,15.0,729.0,6.0,15.7,0.385,1.1,4.8,0.239,4.9,11.0,0.448,2.2,2.6,0.838,2.4,5.3,7.8,1.9,1.6,0.7,2.3,3.5,15.4,94.0,108.0,9.3,0.457,0.303,0.167,5.2,11.7,8.4,5.7,1.6,1.1,11.9,16.5,-0.2,0.4,0.3,0.018,-2.3,-1.3,-3.5,-0.3
2012-13,33.0,MIA,NBA,PF,55.0,9.0,792.0,6.9,16.6,0.414,3.4,8.8,0.389,3.5,7.9,0.441,1.9,3.0,0.622,1.3,6.8,8.1,2.0,1.4,0.9,2.2,4.5,19.1,101.0,105.0,11.1,0.53,0.526,0.181,3.1,15.0,9.4,5.7,1.4,1.4,10.9,18.2,0.3,0.9,1.2,0.071,-1.5,-1.0,-2.5,-0.1
2013-14,34.0,MIA,NBA,SF,60.0,6.0,971.0,5.3,12.8,0.415,2.5,7.3,0.343,2.8,5.5,0.51,1.4,1.8,0.788,1.3,4.7,6.0,3.1,2.9,0.4,1.9,4.9,14.5,105.0,106.0,10.7,0.535,0.568,0.14,3.2,10.7,7.1,8.5,2.9,0.7,12.3,14.1,0.5,1.1,1.7,0.083,-1.3,1.0,-0.3,0.4
Career,,,NBA,,1049.0,842.0,33541.0,8.9,19.6,0.452,2.8,7.3,0.386,6.1,12.3,0.491,3.9,4.9,0.805,2.2,6.3,8.5,2.8,1.8,0.9,2.5,3.8,24.5,112.0,107.0,16.8,0.563,0.371,0.249,5.0,13.9,9.5,8.9,1.8,1.2,10.2,21.1,61.0,29.9,90.9,0.13,2.2,-0.3,1.9,33.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,SEA,NBA,,617.0,528.0,20921.0,9.6,20.8,0.461,2.5,6.4,0.386,7.1,14.4,0.494,4.5,5.6,0.801,2.6,6.6,9.1,2.7,1.8,0.9,2.5,3.8,26.1,113.0,108.0,18.3,0.562,0.309,0.268,5.7,14.5,10.1,8.7,1.8,1.3,9.7,22.1,45.3,13.6,58.9,0.135,2.9,-0.7,2.2,21.9
4 seasons,,ORL,NBA,,257.0,257.0,9114.0,8.3,18.8,0.442,3.7,9.4,0.399,4.5,9.4,0.485,3.5,4.3,0.825,1.6,5.9,7.5,3.1,1.6,0.7,2.5,3.7,23.9,112.0,104.0,15.5,0.578,0.5,0.229,3.6,12.6,8.3,9.9,1.6,1.0,10.8,20.6,14.2,13.2,27.4,0.144,1.9,0.7,2.6,10.7
2 seasons,,MIA,NBA,,115.0,15.0,1763.0,6.0,14.5,0.414,2.9,7.9,0.366,3.1,6.6,0.473,1.6,2.3,0.692,1.3,5.6,6.9,2.6,2.2,0.7,2.0,4.7,16.6,103.0,105.0,10.9,0.532,0.546,0.161,3.2,12.7,8.1,7.3,2.2,1.0,11.6,15.9,0.8,2.0,2.9,0.078,-1.4,0.1,-1.3,0.3
2 seasons,,WAS,NBA,,60.0,42.0,1743.0,6.6,15.7,0.42,1.7,5.6,0.309,4.9,10.1,0.482,2.2,2.6,0.841,2.4,6.2,8.6,2.7,1.6,0.9,2.5,4.3,17.2,102.0,109.0,11.4,0.508,0.358,0.165,5.2,14.1,9.6,8.2,1.6,1.3,12.8,16.7,0.7,1.1,1.8,0.048,-1.2,-0.5,-1.7,0.1
