Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,22.0,UTA,NBA,SG,20.0,0.0,161.0,6.0,13.0,0.465,0.9,5.1,0.176,5.1,7.9,0.654,5.7,7.0,0.826,0.9,5.1,6.0,1.5,0.3,0.3,2.4,3.0,18.7,109.0,114.0,9.7,0.584,0.395,0.535,2.1,11.2,6.8,4.4,0.3,0.5,13.1,16.6,0.1,0.1,0.2,0.063,-3.8,-2.2,-6.1,-0.2
2020-21,23.0,PHI,NBA,PG,14.0,0.0,68.0,6.4,12.8,0.5,1.4,5.0,0.286,5.0,7.8,0.636,9.9,13.5,0.737,0.7,7.1,7.8,4.3,1.4,0.0,2.8,5.7,24.1,123.0,110.0,15.1,0.645,0.389,1.056,1.6,15.9,8.9,12.2,1.4,0.0,13.2,19.2,0.1,0.1,0.2,0.166,-3.0,-0.4,-3.4,0.0
2021-22,24.0,TOT,NBA,SG,5.0,0.0,71.0,4.1,6.1,0.667,2.7,3.4,0.8,1.4,2.7,0.5,3.4,4.8,0.714,2.0,3.4,5.5,6.8,2.7,0.0,0.7,3.4,14.3,178.0,112.0,17.7,0.869,0.556,0.778,4.7,7.5,6.1,18.1,2.7,0.0,7.6,7.9,0.3,0.1,0.4,0.243,2.3,1.2,3.5,0.1
2021-22,24.0,DEN,NBA,SG,3.0,0.0,29.0,1.7,3.4,0.5,1.7,3.4,0.5,0.0,0.0,,5.1,6.8,0.75,1.7,5.1,6.8,6.8,1.7,0.0,0.0,5.1,10.2,187.0,114.0,13.6,0.798,1.0,2.0,4.0,11.2,7.7,16.7,1.7,0.0,0.0,5.7,0.1,0.0,0.1,0.213,0.6,1.3,1.9,0.0
2021-22,24.0,MIL,NBA,SG,2.0,0.0,42.0,5.7,8.0,0.714,3.4,3.4,1.0,2.3,4.6,0.5,2.3,3.4,0.667,2.3,2.3,4.6,6.9,3.4,0.0,1.1,2.3,17.2,173.0,111.0,20.5,0.901,0.429,0.429,5.2,4.9,5.1,19.1,3.4,0.0,10.7,9.5,0.2,0.0,0.2,0.264,3.5,1.1,4.6,0.1
Career,,,NBA,,39.0,0.0,300.0,5.7,11.3,0.5,1.5,4.7,0.31,4.2,6.6,0.634,6.1,7.9,0.776,1.1,5.2,6.3,3.4,1.1,0.2,2.1,3.7,18.9,123.0,113.0,12.8,0.639,0.414,0.7,2.6,11.4,7.1,9.4,1.1,0.3,12.4,15.1,0.5,0.3,0.8,0.129,-2.2,-1.0,-3.2,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,UTA,NBA,,20.0,0.0,161.0,6.0,13.0,0.465,0.9,5.1,0.176,5.1,7.9,0.654,5.7,7.0,0.826,0.9,5.1,6.0,1.5,0.3,0.3,2.4,3.0,18.7,109.0,114.0,9.7,0.584,0.395,0.535,2.1,11.2,6.8,4.4,0.3,0.5,13.1,16.6,0.1,0.1,0.2,0.063,-3.8,-2.2,-6.1,-0.2
1 season,,PHI,NBA,,14.0,0.0,68.0,6.4,12.8,0.5,1.4,5.0,0.286,5.0,7.8,0.636,9.9,13.5,0.737,0.7,7.1,7.8,4.3,1.4,0.0,2.8,5.7,24.1,123.0,110.0,15.1,0.645,0.389,1.056,1.6,15.9,8.9,12.2,1.4,0.0,13.2,19.2,0.1,0.1,0.2,0.166,-3.0,-0.4,-3.4,0.0
1 season,,DEN,NBA,,3.0,0.0,29.0,1.7,3.4,0.5,1.7,3.4,0.5,0.0,0.0,,5.1,6.8,0.75,1.7,5.1,6.8,6.8,1.7,0.0,0.0,5.1,10.2,187.0,114.0,13.6,0.798,1.0,2.0,4.0,11.2,7.7,16.7,1.7,0.0,0.0,5.7,0.1,0.0,0.1,0.213,0.6,1.3,1.9,0.0
1 season,,MIL,NBA,,2.0,0.0,42.0,5.7,8.0,0.714,3.4,3.4,1.0,2.3,4.6,0.5,2.3,3.4,0.667,2.3,2.3,4.6,6.9,3.4,0.0,1.1,2.3,17.2,173.0,111.0,20.5,0.901,0.429,0.429,5.2,4.9,5.1,19.1,3.4,0.0,10.7,9.5,0.2,0.0,0.2,0.264,3.5,1.1,4.6,0.1
