Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,22.0,LAC,NBA,SF,43.0,0.0,395.0,5.4,15.3,0.355,2.8,9.2,0.301,2.7,6.1,0.438,0.9,1.1,0.778,1.4,5.4,6.8,1.5,1.1,0.1,1.6,3.3,14.6,93.0,108.0,6.7,0.46,0.603,0.074,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,-0.2,0.3,0.2,0.019,-2.5,-0.9,-3.3,-0.1
2014-15,23.0,TOT,NBA,SF,36.0,2.0,338.0,3.6,10.5,0.343,2.2,6.9,0.326,1.3,3.6,0.375,0.9,1.3,0.667,0.1,7.3,7.5,1.2,1.5,0.6,1.2,2.8,10.3,88.0,106.0,6.2,0.466,0.657,0.129,0.3,16.0,8.3,3.2,1.5,0.9,9.8,10.9,-0.2,0.3,0.1,0.019,-3.2,0.0,-3.2,-0.1
2014-15,23.0,LAC,NBA,SF,25.0,2.0,263.0,4.4,10.4,0.426,2.9,7.5,0.385,1.5,2.9,0.533,0.8,1.0,0.8,0.0,7.7,7.7,1.2,1.7,0.4,1.2,3.3,12.5,106.0,106.0,8.8,0.578,0.722,0.093,0.0,16.8,8.6,3.1,1.7,0.6,9.6,10.7,0.1,0.3,0.4,0.074,-1.5,0.3,-1.2,0.1
2014-15,23.0,PHO,NBA,SF,11.0,0.0,75.0,0.7,10.6,0.063,0.0,4.7,0.0,0.7,6.0,0.111,1.3,2.7,0.5,0.7,6.0,6.6,1.3,0.7,1.3,1.3,1.3,2.7,33.0,109.0,-3.1,0.113,0.438,0.25,1.4,13.3,7.3,3.4,0.7,2.0,10.1,11.6,-0.3,0.0,-0.3,-0.173,-8.9,-1.2,-10.2,-0.2
2015-16,24.0,DET,NBA,SF,37.0,0.0,429.0,5.1,11.5,0.439,2.6,6.2,0.415,2.5,5.3,0.467,1.6,1.8,0.933,1.6,6.4,8.0,3.2,1.2,0.2,0.9,3.4,14.4,125.0,107.0,12.0,0.583,0.541,0.153,3.4,14.3,8.6,9.2,1.2,0.4,7.1,11.4,0.8,0.4,1.2,0.134,0.1,0.7,0.8,0.3
2016-17,25.0,DET,NBA,SF,31.0,5.0,467.0,5.8,13.8,0.422,3.0,7.9,0.384,2.8,5.9,0.473,0.5,0.8,0.714,1.4,5.5,6.9,3.1,1.9,0.3,1.1,2.4,15.3,112.0,108.0,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1.0,0.101,-1.0,1.3,0.3,0.3
2017-18,26.0,DET,NBA,SF,62.0,52.0,1732.0,7.7,15.7,0.489,3.6,8.1,0.445,4.1,7.6,0.536,1.1,1.4,0.796,0.8,3.7,4.4,2.7,1.4,0.4,1.4,2.0,20.1,118.0,110.0,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.4,4.2,0.117,0.7,0.0,0.7,1.2
2018-19,27.0,TOT,NBA,SG,63.0,60.0,1879.0,6.3,15.3,0.412,3.8,10.1,0.377,2.5,5.2,0.483,1.9,2.2,0.859,0.6,3.9,4.5,3.3,1.0,0.3,1.7,2.8,18.4,111.0,113.0,10.5,0.563,0.662,0.143,1.2,8.8,4.9,10.1,1.0,0.5,9.3,15.8,1.6,1.4,3.1,0.078,-0.7,-0.4,-1.1,0.4
2018-19,27.0,DET,NBA,SG,44.0,44.0,1355.0,6.6,16.0,0.413,4.1,10.7,0.388,2.5,5.3,0.463,2.0,2.3,0.875,0.7,3.7,4.5,4.0,0.9,0.2,2.0,2.9,19.4,113.0,113.0,11.0,0.569,0.667,0.145,1.6,8.6,5.0,12.0,0.9,0.3,10.3,16.7,1.4,1.0,2.4,0.084,-0.1,-0.5,-0.6,0.5
2018-19,27.0,LAL,NBA,SG,19.0,16.0,524.0,5.6,13.6,0.412,3.0,8.8,0.343,2.6,4.8,0.537,1.5,1.9,0.81,0.2,4.3,4.4,1.8,1.4,0.6,1.0,2.7,15.7,107.0,112.0,9.1,0.545,0.647,0.137,0.4,9.3,4.9,5.0,1.4,1.1,6.3,13.7,0.2,0.4,0.7,0.061,-2.1,-0.1,-2.2,0.0
2019-20,28.0,NYK,NBA,SG,29.0,19.0,684.0,6.4,15.9,0.402,2.6,7.9,0.333,3.8,8.0,0.469,1.2,1.5,0.81,0.9,3.9,4.8,3.0,1.8,0.2,1.4,4.0,16.7,105.0,115.0,9.3,0.502,0.496,0.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,0.2,0.3,0.5,0.036,-2.8,-0.3,-3.0,-0.2
2020-21,29.0,NYK,NBA,SF,65.0,64.0,1949.0,6.4,14.4,0.442,4.2,10.2,0.41,2.2,4.2,0.521,1.3,1.4,0.909,0.4,5.3,5.7,2.5,1.3,0.3,1.2,3.7,18.2,118.0,111.0,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9
2021-22,30.0,DAL,NBA,SF,68.0,37.0,1902.0,5.3,13.3,0.401,3.7,10.4,0.36,1.6,2.9,0.55,1.1,1.3,0.833,0.9,5.5,6.4,2.2,1.1,0.4,1.1,2.9,15.4,111.0,112.0,9.2,0.558,0.782,0.096,1.9,12.2,7.0,6.1,1.1,0.7,7.1,13.3,1.2,2.0,3.2,0.08,-1.5,0.0,-1.4,0.3
2022-23,31.0,DAL,NBA,SF,71.0,48.0,2181.0,4.0,9.8,0.413,3.2,8.3,0.39,0.8,1.5,0.537,0.6,0.8,0.703,0.7,5.2,5.9,2.2,1.2,0.3,0.7,3.5,11.9,118.0,118.0,7.9,0.585,0.844,0.086,1.7,12.4,7.0,6.1,1.2,0.5,6.7,9.9,1.4,1.4,2.9,0.063,-2.1,-0.2,-2.3,-0.1
Career,,,NBA,,505.0,287.0,11956.0,5.8,13.6,0.425,3.5,9.1,0.386,2.3,4.5,0.505,1.2,1.4,0.827,0.8,4.9,5.6,2.6,1.3,0.3,1.2,3.1,16.2,113.0,112.0,10.2,0.571,0.667,0.102,1.7,11.0,6.3,7.5,1.3,0.6,7.7,13.7,10.4,10.5,20.9,0.084,-1.1,0.1,-1.1,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,174.0,101.0,3983.0,6.8,15.2,0.45,3.6,8.8,0.412,3.2,6.4,0.502,1.4,1.7,0.844,0.9,4.2,5.1,3.3,1.2,0.3,1.5,2.5,18.7,116.0,111.0,12.3,0.587,0.578,0.111,2.0,9.5,5.6,9.8,1.2,0.5,8.6,15.3,5.5,3.3,8.8,0.106,0.2,0.0,0.2,2.2
2 seasons,,DAL,NBA,,139.0,85.0,4083.0,4.6,11.4,0.406,3.5,9.2,0.374,1.2,2.2,0.545,0.8,1.0,0.776,0.8,5.3,6.1,2.2,1.2,0.3,0.9,3.3,13.5,114.0,115.0,8.5,0.571,0.811,0.091,1.8,12.3,7.0,6.1,1.2,0.6,6.9,11.5,2.6,3.4,6.0,0.071,-1.8,-0.1,-1.9,0.1
2 seasons,,NYK,NBA,,94.0,83.0,2633.0,6.4,14.8,0.431,3.8,9.6,0.393,2.6,5.2,0.5,1.3,1.4,0.882,0.5,4.9,5.5,2.7,1.5,0.3,1.2,3.8,17.8,115.0,112.0,10.7,0.576,0.648,0.097,1.2,10.7,6.0,7.8,1.5,0.5,7.3,14.7,2.5,2.7,5.2,0.094,-1.4,0.5,-0.9,0.7
2 seasons,,LAC,NBA,,68.0,2.0,658.0,5.0,13.4,0.377,2.8,8.6,0.33,2.2,4.8,0.46,0.8,1.1,0.786,0.8,6.3,7.2,1.4,1.4,0.2,1.5,3.3,13.8,97.0,107.0,7.6,0.497,0.64,0.08,1.9,13.7,8.0,3.8,1.4,0.4,9.5,13.5,0.0,0.6,0.6,0.041,-2.1,-0.4,-2.5,-0.1
1 season,,LAL,NBA,,19.0,16.0,524.0,5.6,13.6,0.412,3.0,8.8,0.343,2.6,4.8,0.537,1.5,1.9,0.81,0.2,4.3,4.4,1.8,1.4,0.6,1.0,2.7,15.7,107.0,112.0,9.1,0.545,0.647,0.137,0.4,9.3,4.9,5.0,1.4,1.1,6.3,13.7,0.2,0.4,0.7,0.061,-2.1,-0.1,-2.2,0.0
