Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2002-03,22.0,SEA,NBA,PF,67.0,60.0,1365.0,2.6,5.6,0.471,0.0,0.0,,2.6,5.6,0.471,3.2,6.2,0.519,6.7,11.1,17.8,1.4,1.5,0.4,2.1,6.9,8.5,109.0,102.0,10.4,0.51,0.0,1.1,14.2,24.3,19.2,3.7,1.5,0.6,20.0,8.9,1.3,1.7,3.0,0.105,-2.4,-0.3,-2.8,-0.3
2003-04,23.0,SEA,NBA,PF,75.0,27.0,1280.0,2.8,6.9,0.406,0.0,0.1,0.0,2.8,6.8,0.414,3.5,6.2,0.561,6.5,10.5,17.0,1.4,2.3,0.4,2.7,7.3,9.0,101.0,104.0,9.9,0.471,0.018,0.897,14.5,23.0,18.8,3.7,2.3,0.6,22.0,10.7,0.7,1.1,1.7,0.065,-2.7,-1.2,-3.9,-0.6
2004-05,24.0,SEA,NBA,PF,79.0,79.0,1881.0,3.8,8.0,0.476,0.0,0.1,0.0,3.8,7.9,0.48,3.6,6.8,0.534,7.4,14.0,21.4,1.7,1.7,0.4,3.0,5.9,11.2,107.0,105.0,13.0,0.512,0.007,0.851,16.6,31.2,23.9,4.7,1.7,0.6,21.6,11.8,1.5,2.3,3.8,0.096,-0.4,-0.7,-1.1,0.4
2005-06,25.0,TOT,NBA,PF,67.0,25.0,1393.0,4.9,10.0,0.489,0.0,0.0,0.0,4.9,9.9,0.491,4.3,8.1,0.53,6.4,12.3,18.7,1.4,1.5,0.4,3.2,6.2,14.0,104.0,107.0,12.5,0.519,0.004,0.81,14.6,28.3,21.4,4.0,1.5,0.5,19.0,14.4,0.8,1.3,2.1,0.072,-1.8,-1.9,-3.7,-0.6
2005-06,25.0,SEA,NBA,PF,41.0,23.0,788.0,5.8,11.5,0.509,0.0,0.1,0.0,5.8,11.4,0.512,4.4,8.0,0.55,7.6,10.8,18.3,1.5,1.6,0.3,2.7,6.3,16.1,112.0,112.0,15.0,0.536,0.006,0.694,17.2,25.2,21.2,4.4,1.6,0.5,15.4,15.2,1.2,0.3,1.5,0.09,0.1,-3.0,-2.9,-0.2
2005-06,25.0,DEN,NBA,PF,26.0,2.0,605.0,3.6,8.0,0.453,0.0,0.0,,3.6,8.0,0.453,4.1,8.2,0.505,4.8,14.3,19.1,1.3,1.4,0.4,3.7,6.0,11.4,91.0,102.0,9.2,0.49,0.0,1.021,11.1,32.3,21.8,3.5,1.4,0.6,24.2,13.4,-0.4,1.0,0.6,0.048,-4.3,-0.5,-4.9,-0.4
2006-07,26.0,DEN,NBA,PF,66.0,11.0,1127.0,5.1,9.4,0.544,0.0,0.0,,5.1,9.4,0.544,4.0,8.0,0.497,6.8,13.3,20.1,2.0,1.8,0.7,4.2,6.3,14.2,101.0,101.0,13.5,0.55,0.0,0.851,15.8,29.9,23.0,5.7,1.8,1.0,24.3,14.8,0.4,1.9,2.3,0.096,-2.2,0.0,-2.2,-0.1
2007-08,27.0,PHI,NBA,PF,81.0,61.0,1879.0,4.3,9.8,0.439,0.0,0.0,1.0,4.3,9.7,0.438,3.4,7.3,0.467,6.3,10.9,17.3,1.8,2.4,0.2,3.1,6.0,12.0,97.0,103.0,11.0,0.463,0.003,0.743,14.0,24.7,19.3,5.0,2.4,0.3,19.0,13.6,-0.3,3.0,2.7,0.068,-3.0,0.0,-3.0,-0.5
2008-09,28.0,PHI,NBA,PF,79.0,7.0,1137.0,3.7,8.4,0.444,0.0,0.0,0.0,3.7,8.3,0.446,4.9,8.2,0.594,6.3,10.6,16.9,1.2,1.9,0.4,3.2,7.6,12.3,102.0,105.0,10.4,0.514,0.006,0.983,14.1,24.0,19.0,3.3,1.9,0.6,21.3,13.0,0.3,1.6,1.9,0.079,-3.5,-0.6,-4.2,-0.6
2009-10,29.0,TOR,NBA,PF,28.0,1.0,311.0,5.6,11.4,0.493,0.0,0.0,,5.6,11.4,0.493,4.5,10.0,0.45,5.0,12.4,17.4,1.3,2.3,0.7,3.6,7.3,15.8,96.0,107.0,11.4,0.498,0.0,0.87,11.7,27.7,19.9,3.7,2.3,1.0,18.7,17.2,-0.1,0.3,0.2,0.033,-3.5,-1.1,-4.6,-0.2
2010-11,30.0,TOR,NBA,PF,30.0,18.0,798.0,2.7,6.7,0.408,0.0,0.1,0.0,2.7,6.6,0.412,3.1,5.7,0.545,7.7,14.6,22.3,2.5,1.9,0.4,2.5,5.8,8.6,106.0,107.0,12.4,0.466,0.01,0.854,17.2,34.4,25.6,6.4,1.9,0.6,21.6,10.1,0.5,0.8,1.3,0.077,-0.9,-0.6,-1.5,0.1
2011-12,31.0,LAC,NBA,PF,56.0,0.0,771.0,2.4,5.0,0.472,0.0,0.0,,2.4,5.0,0.472,2.5,5.0,0.507,7.0,11.9,18.9,1.2,2.2,0.4,3.1,8.2,7.3,101.0,102.0,9.2,0.504,0.0,0.986,15.3,26.7,20.9,3.1,2.2,0.6,29.9,8.8,0.2,1.0,1.3,0.079,-3.5,-0.2,-3.7,-0.3
2012-13,32.0,BRK,NBA,PF,80.0,56.0,1967.0,3.4,7.2,0.479,0.0,0.0,,3.4,7.2,0.479,3.1,6.1,0.509,7.1,17.3,24.4,1.2,2.0,0.4,3.1,5.5,10.0,102.0,100.0,12.8,0.506,0.0,0.851,15.5,38.0,26.7,3.2,2.0,0.5,23.6,11.0,0.8,3.5,4.3,0.105,-1.7,0.0,-1.7,0.1
2013-14,33.0,TOT,NBA,PF,54.0,20.0,899.0,4.1,8.6,0.473,0.0,0.0,,4.1,8.6,0.473,4.1,7.5,0.554,6.6,12.6,19.2,1.2,2.1,0.2,3.3,6.8,12.3,102.0,104.0,11.7,0.516,0.0,0.867,14.8,28.4,21.5,3.5,2.1,0.3,21.9,13.4,0.3,1.2,1.5,0.08,-2.8,-0.5,-3.4,-0.3
2013-14,33.0,BRK,NBA,PF,30.0,6.0,399.0,3.0,7.8,0.39,0.0,0.0,,3.0,7.8,0.39,4.6,8.6,0.538,7.0,12.6,19.6,0.7,1.7,0.3,3.7,7.1,10.7,94.0,104.0,9.0,0.462,0.0,1.102,15.9,28.7,22.4,1.8,1.7,0.4,24.2,13.6,-0.1,0.5,0.4,0.046,-4.4,-1.7,-6.1,-0.4
2013-14,33.0,SAC,NBA,PF,24.0,14.0,500.0,4.9,9.3,0.527,0.0,0.0,,4.9,9.3,0.527,3.8,6.6,0.569,6.3,12.5,18.8,1.6,2.4,0.1,3.1,6.6,13.5,108.0,104.0,13.8,0.556,0.0,0.714,13.8,28.1,20.9,4.8,2.4,0.2,20.1,13.2,0.5,0.7,1.1,0.107,-1.6,0.4,-1.2,0.1
2014-15,34.0,SAC,NBA,PF,47.0,7.0,764.0,3.8,9.0,0.423,0.0,0.1,0.0,3.8,8.9,0.43,4.0,6.4,0.619,6.4,13.3,19.7,2.1,1.4,0.3,3.0,6.0,11.6,103.0,106.0,11.7,0.49,0.015,0.708,14.9,29.0,22.2,6.1,1.4,0.5,20.0,13.0,0.4,0.8,1.2,0.074,-1.6,-0.8,-2.4,-0.1
Career,,,NBA,,809.0,372.0,15572.0,3.8,8.1,0.465,0.0,0.0,0.091,3.8,8.0,0.467,3.6,6.9,0.528,6.7,12.8,19.6,1.6,1.9,0.4,3.0,6.4,11.2,103.0,104.0,11.7,0.502,0.005,0.856,15.0,28.7,21.9,4.3,1.9,0.6,21.5,12.1,6.6,20.5,27.1,0.084,-2.2,-0.6,-2.7,-2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SEA,NBA,,262.0,189.0,5314.0,3.6,7.6,0.467,0.0,0.1,0.0,3.6,7.6,0.471,3.6,6.7,0.54,7.0,11.9,18.9,1.5,1.8,0.4,2.7,6.6,10.7,107.0,105.0,11.9,0.508,0.008,0.871,15.6,26.6,21.1,4.1,1.8,0.6,20.1,11.3,4.6,5.4,10.0,0.09,-1.4,-1.1,-2.5,-0.7
2 seasons,,PHI,NBA,,160.0,68.0,3016.0,4.1,9.2,0.441,0.0,0.0,0.5,4.1,9.2,0.441,4.0,7.6,0.519,6.3,10.8,17.1,1.6,2.2,0.3,3.1,6.6,12.1,99.0,104.0,10.8,0.481,0.004,0.824,14.1,24.4,19.2,4.4,2.2,0.4,19.9,13.4,-0.1,4.6,4.5,0.072,-3.2,-0.3,-3.4,-1.1
2 seasons,,BRK,NBA,,110.0,62.0,2366.0,3.4,7.3,0.463,0.0,0.0,,3.4,7.3,0.463,3.4,6.5,0.516,7.1,16.5,23.6,1.1,2.0,0.3,3.2,5.8,10.1,101.0,100.0,12.2,0.497,0.0,0.897,15.6,36.4,25.9,3.0,2.0,0.5,23.7,11.4,0.6,4.1,4.7,0.095,-2.1,-0.3,-2.4,-0.3
2 seasons,,DEN,NBA,,92.0,13.0,1732.0,4.6,8.9,0.516,0.0,0.0,,4.6,8.9,0.516,4.0,8.1,0.5,6.1,13.6,19.8,1.7,1.7,0.6,4.0,6.2,13.2,98.0,101.0,12.0,0.531,0.0,0.903,14.2,30.8,22.6,5.0,1.7,0.9,24.3,14.4,0.0,2.8,2.9,0.08,-3.0,-0.2,-3.1,-0.5
2 seasons,,SAC,NBA,,71.0,21.0,1264.0,4.2,9.1,0.465,0.0,0.1,0.0,4.2,9.0,0.469,3.9,6.5,0.599,6.4,13.0,19.4,1.9,1.8,0.2,3.0,6.2,12.4,105.0,105.0,12.5,0.516,0.009,0.711,14.5,28.6,21.7,5.6,1.8,0.4,20.0,13.1,0.9,1.4,2.3,0.087,-1.6,-0.3,-1.9,0.0
2 seasons,,TOR,NBA,,58.0,19.0,1109.0,3.5,8.0,0.442,0.0,0.0,0.0,3.5,8.0,0.444,3.5,6.9,0.507,6.9,14.0,21.0,2.1,2.0,0.5,2.8,6.2,10.6,103.0,107.0,12.1,0.479,0.006,0.86,15.7,32.5,24.0,5.6,2.0,0.7,20.5,12.1,0.4,1.1,1.5,0.065,-1.7,-0.7,-2.4,-0.1
1 season,,LAC,NBA,,56.0,0.0,771.0,2.4,5.0,0.472,0.0,0.0,,2.4,5.0,0.472,2.5,5.0,0.507,7.0,11.9,18.9,1.2,2.2,0.4,3.1,8.2,7.3,101.0,102.0,9.2,0.504,0.0,0.986,15.3,26.7,20.9,3.1,2.2,0.6,29.9,8.8,0.2,1.0,1.3,0.079,-3.5,-0.2,-3.7,-0.3
