Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,22.0,PHI,NBA,PF,51.0,1.0,702.0,8.0,15.5,0.514,0.6,3.1,0.182,7.4,12.4,0.596,3.6,5.2,0.689,4.3,5.1,9.4,2.3,1.3,2.8,2.2,6.4,20.0,111.0,109.0,15.9,0.564,0.198,0.333,9.3,11.7,10.5,8.0,1.3,4.3,11.2,17.9,1.0,0.5,1.5,0.103,-1.1,-0.4,-1.5,0.1
2016-17,23.0,PHI,NBA,C,57.0,17.0,1193.0,9.4,16.8,0.558,1.1,3.1,0.351,8.3,13.7,0.606,2.9,4.2,0.699,3.8,8.9,12.7,2.4,1.7,2.2,2.2,5.6,22.8,117.0,106.0,18.6,0.611,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.8,0.151,0.5,0.5,1.0,0.9
2017-18,24.0,PHI,NBA,C,48.0,2.0,746.0,8.7,15.5,0.56,0.3,2.0,0.129,8.4,13.5,0.624,2.4,3.6,0.661,3.7,9.9,13.6,3.9,1.3,1.9,1.6,6.3,20.1,121.0,103.0,17.4,0.585,0.129,0.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,1.6,1.3,2.8,0.183,-0.3,1.4,1.1,0.6
2018-19,25.0,PHO,NBA,C,70.0,4.0,1184.0,9.0,14.7,0.608,0.0,0.0,,9.0,14.7,0.608,5.2,7.1,0.731,4.6,8.7,13.3,2.4,1.7,3.2,2.1,7.8,23.1,127.0,111.0,20.7,0.647,0.0,0.479,10.6,20.5,15.5,7.9,1.7,5.6,10.5,17.9,3.1,1.1,4.3,0.173,0.1,0.5,0.6,0.8
2019-20,26.0,SAC,NBA,C,44.0,38.0,1242.0,8.7,13.4,0.648,0.0,0.0,,8.7,13.4,0.648,3.6,4.6,0.788,5.0,9.0,14.0,1.6,1.6,2.2,2.0,6.6,21.1,131.0,109.0,19.7,0.681,0.0,0.343,11.2,21.5,16.2,5.1,1.6,4.3,11.6,15.6,3.4,1.5,4.9,0.19,0.3,0.7,1.0,0.9
2020-21,27.0,SAC,NBA,C,61.0,61.0,1782.0,9.9,15.5,0.637,0.1,0.3,0.182,9.8,15.2,0.645,3.6,4.6,0.794,3.9,9.7,13.6,2.7,1.1,2.6,2.0,5.7,23.4,130.0,115.0,20.2,0.669,0.019,0.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,4.7,1.4,6.1,0.165,0.6,0.0,0.6,1.2
2021-22,28.0,SAC,NBA,C,45.0,37.0,1074.0,8.9,13.4,0.66,0.1,0.2,0.4,8.8,13.2,0.664,3.1,4.0,0.778,4.2,10.0,14.2,2.2,0.8,1.8,2.5,5.7,21.0,127.0,114.0,17.8,0.689,0.017,0.3,9.3,22.9,16.1,6.8,0.8,3.3,14.2,15.8,2.4,0.9,3.2,0.145,-0.4,-0.1,-0.5,0.4
2022-23,29.0,SAC,NBA,C,37.0,1.0,314.0,7.5,11.3,0.662,0.6,0.8,0.8,6.8,10.5,0.652,2.1,2.6,0.824,4.0,7.3,11.3,0.8,0.5,1.7,2.1,7.1,17.6,129.0,117.0,13.2,0.712,0.068,0.23,9.6,17.3,13.5,2.1,0.5,3.0,14.7,13.1,0.5,0.2,0.8,0.118,-2.0,-0.9,-2.9,-0.1
Career,,,NBA,,413.0,161.0,8237.0,9.0,14.8,0.607,0.3,1.0,0.272,8.7,13.8,0.631,3.5,4.7,0.747,4.2,8.9,13.1,2.4,1.3,2.4,2.1,6.3,21.8,125.0,111.0,18.7,0.645,0.068,0.317,9.5,20.6,15.0,7.7,1.3,4.2,11.1,17.0,18.9,8.5,27.4,0.16,0.0,0.3,0.3,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,187.0,137.0,4412.0,9.1,14.1,0.647,0.1,0.2,0.381,9.0,13.9,0.651,3.4,4.3,0.79,4.3,9.4,13.7,2.1,1.1,2.2,2.2,6.1,21.7,130.0,113.0,19.0,0.679,0.016,0.305,9.7,22.0,15.8,6.6,1.1,4.1,11.8,16.3,11.0,4.0,15.0,0.164,0.1,0.1,0.2,2.4
3 seasons,,PHI,NBA,,156.0,20.0,2641.0,8.8,16.1,0.547,0.7,2.8,0.257,8.1,13.3,0.609,2.9,4.3,0.687,3.9,8.2,12.1,2.8,1.5,2.3,2.1,6.0,21.3,117.0,106.0,17.5,0.592,0.174,0.266,8.8,18.2,13.6,9.3,1.5,3.7,10.3,17.9,4.7,3.3,8.1,0.147,-0.1,0.5,0.4,1.6
1 season,,PHO,NBA,,70.0,4.0,1184.0,9.0,14.7,0.608,0.0,0.0,,9.0,14.7,0.608,5.2,7.1,0.731,4.6,8.7,13.3,2.4,1.7,3.2,2.1,7.8,23.1,127.0,111.0,20.7,0.647,0.0,0.479,10.6,20.5,15.5,7.9,1.7,5.6,10.5,17.9,3.1,1.1,4.3,0.173,0.1,0.5,0.6,0.8
