Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,BRK,NBA,SF,63.0,46.0,1294.0,7.4,16.5,0.45,2.1,6.8,0.315,5.3,9.7,0.543,2.6,3.4,0.783,2.1,7.0,9.0,1.9,1.5,0.9,2.8,5.4,19.6,102.0,109.0,11.0,0.545,0.41,0.205,4.6,15.4,10.0,6.0,1.5,1.5,13.6,18.4,0.1,1.5,1.6,0.059,-2.9,0.3,-2.6,-0.2
2019-20,21.0,BRK,NBA,PF,47.0,9.0,684.0,5.5,12.2,0.446,2.3,6.2,0.367,3.2,6.0,0.529,1.7,2.6,0.632,1.7,7.7,9.5,3.5,1.7,0.3,3.2,6.2,14.9,101.0,109.0,8.9,0.555,0.508,0.215,3.9,16.6,10.4,10.4,1.7,0.6,19.2,14.7,-0.1,0.8,0.8,0.055,-3.6,0.9,-2.8,-0.1
2020-21,22.0,TOT,NBA,"PF,SF",21.0,0.0,125.0,4.2,12.1,0.344,2.3,8.0,0.286,1.9,4.2,0.455,1.1,1.5,0.75,1.9,6.8,8.7,3.8,3.4,1.5,4.9,6.1,11.7,79.0,109.0,6.3,0.459,0.656,0.125,4.3,15.4,9.8,10.3,3.4,2.9,27.8,15.9,-0.3,0.2,-0.1,-0.041,-6.4,1.8,-4.6,-0.1
2020-21,22.0,BRK,NBA,PF,5.0,0.0,16.0,3.0,9.0,0.333,3.0,6.0,0.5,0.0,3.0,0.0,0.0,0.0,,0.0,9.0,9.0,6.0,0.0,0.0,0.0,3.0,9.0,128.0,117.0,7.7,0.5,0.667,0.0,0.0,19.7,10.4,15.1,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.082,-0.8,0.8,0.0,0.0
2020-21,22.0,HOU,NBA,SF,11.0,0.0,75.0,3.2,13.3,0.238,1.3,9.5,0.133,1.9,3.8,0.5,0.6,1.3,0.5,1.3,5.7,6.9,2.5,3.8,2.5,5.7,4.4,8.2,53.0,108.0,0.8,0.297,0.714,0.095,2.7,13.4,7.8,7.1,3.8,4.8,29.1,17.5,-0.4,0.1,-0.3,-0.176,-10.1,1.5,-8.6,-0.1
2020-21,22.0,MIL,NBA,SF,5.0,0.0,34.0,6.9,11.1,0.625,4.1,5.5,0.75,2.8,5.5,0.5,2.8,2.8,1.0,4.1,8.3,12.4,5.5,4.1,0.0,5.5,11.1,20.7,127.0,106.0,17.9,0.845,0.5,0.25,9.6,17.9,13.9,15.0,4.1,0.0,31.1,15.9,0.1,0.1,0.1,0.199,-0.9,3.1,2.2,0.0
Career,,,NBA,,131.0,55.0,2103.0,6.6,14.9,0.444,2.2,6.7,0.329,4.4,8.2,0.537,2.2,3.0,0.739,1.9,7.2,9.2,2.6,1.7,0.8,3.1,5.7,17.6,100.0,109.0,10.0,0.544,0.448,0.204,4.3,15.8,10.1,7.7,1.7,1.3,15.9,17.0,-0.3,2.5,2.3,0.052,-3.3,0.6,-2.8,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,BRK,NBA,,115.0,55.0,1994.0,6.7,15.0,0.448,2.2,6.6,0.333,4.5,8.4,0.538,2.3,3.1,0.738,1.9,7.3,9.2,2.5,1.6,0.7,2.9,5.6,17.9,102.0,109.0,10.2,0.548,0.439,0.207,4.3,15.8,10.1,7.6,1.6,1.2,15.2,17.0,0.0,2.4,2.4,0.058,-3.1,0.5,-2.6,-0.3
1 season,,HOU,NBA,,11.0,0.0,75.0,3.2,13.3,0.238,1.3,9.5,0.133,1.9,3.8,0.5,0.6,1.3,0.5,1.3,5.7,6.9,2.5,3.8,2.5,5.7,4.4,8.2,53.0,108.0,0.8,0.297,0.714,0.095,2.7,13.4,7.8,7.1,3.8,4.8,29.1,17.5,-0.4,0.1,-0.3,-0.176,-10.1,1.5,-8.6,-0.1
1 season,,MIL,NBA,,5.0,0.0,34.0,6.9,11.1,0.625,4.1,5.5,0.75,2.8,5.5,0.5,2.8,2.8,1.0,4.1,8.3,12.4,5.5,4.1,0.0,5.5,11.1,20.7,127.0,106.0,17.9,0.845,0.5,0.25,9.6,17.9,13.9,15.0,4.1,0.0,31.1,15.9,0.1,0.1,0.1,0.199,-0.9,3.1,2.2,0.0
