Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,24.0,UTA,NBA,SF,69.0,4.0,1150.0,5.2,12.4,0.423,1.8,5.1,0.356,3.4,7.2,0.47,2.7,3.3,0.803,1.1,9.2,10.3,4.1,1.6,0.7,2.4,4.6,15.0,105.0,104.0,10.8,0.54,0.415,0.268,2.5,20.6,11.7,12.0,1.6,1.2,14.8,14.6,0.5,1.8,2.4,0.099,-2.0,1.8,-0.2,0.5
2018-19,25.0,UTA,NBA,SF,82.0,16.0,1671.0,4.7,9.8,0.475,1.9,5.0,0.386,2.7,4.8,0.569,0.9,1.2,0.762,0.6,7.5,8.2,3.6,1.5,0.7,2.0,4.9,12.2,108.0,106.0,9.0,0.589,0.513,0.122,1.5,16.7,9.2,10.0,1.5,1.1,16.2,11.0,0.7,2.5,3.3,0.094,-2.6,2.1,-0.5,0.6
2019-20,26.0,UTA,NBA,SF,71.0,62.0,2049.0,3.8,8.7,0.433,2.2,5.8,0.377,1.6,2.9,0.545,1.0,1.3,0.764,0.6,8.6,9.2,4.3,1.4,0.8,1.4,4.8,10.7,117.0,109.0,9.5,0.578,0.668,0.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,1.8,2.5,4.3,0.101,-1.3,2.2,0.9,1.5
2020-21,27.0,UTA,NBA,SF,71.0,71.0,2241.0,3.8,8.6,0.444,2.3,6.0,0.385,1.5,2.5,0.586,0.8,1.0,0.848,1.9,8.6,10.5,3.9,1.2,0.7,1.8,4.0,10.8,121.0,108.0,9.9,0.599,0.706,0.117,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,2.3,3.3,5.6,0.121,-1.2,2.1,1.0,1.7
2021-22,28.0,UTA,NBA,SF,77.0,77.0,2406.0,4.2,9.1,0.457,2.4,6.3,0.389,1.7,2.8,0.609,0.9,1.2,0.804,1.3,6.2,7.6,3.9,1.8,0.7,1.6,3.8,11.7,122.0,111.0,10.3,0.608,0.689,0.126,3.0,13.4,8.4,10.5,1.8,1.2,14.4,9.9,2.7,2.8,5.5,0.109,-0.8,1.7,0.8,1.7
2022-23,29.0,BRK,NBA,SF,70.0,52.0,2233.0,4.7,12.0,0.389,3.3,8.3,0.394,1.4,3.6,0.38,1.1,1.5,0.731,1.2,6.6,7.7,5.6,1.3,1.0,2.3,4.8,13.7,108.0,115.0,9.4,0.542,0.697,0.122,2.8,14.8,8.9,14.9,1.3,1.8,15.4,13.6,0.5,2.2,2.7,0.058,-1.5,0.5,-1.1,0.5
Career,,,NBA,,440.0,282.0,11750.0,4.3,9.9,0.434,2.4,6.3,0.385,1.9,3.6,0.519,1.1,1.4,0.784,1.2,7.6,8.8,4.3,1.5,0.8,1.9,4.4,12.1,114.0,110.0,9.8,0.576,0.632,0.144,2.7,16.7,9.9,11.6,1.5,1.3,15.2,11.1,8.5,15.2,23.7,0.097,-1.5,1.7,0.2,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,UTA,NBA,,370.0,230.0,9517.0,4.2,9.4,0.448,2.2,5.8,0.381,2.0,3.6,0.552,1.1,1.4,0.796,1.2,7.9,9.1,4.0,1.5,0.7,1.8,4.3,11.7,116.0,108.0,9.8,0.586,0.613,0.15,2.7,17.1,10.1,10.8,1.5,1.2,15.1,10.5,8.1,12.9,21.0,0.106,-1.5,2.0,0.5,6.1
1 season,,BRK,NBA,,70.0,52.0,2233.0,4.7,12.0,0.389,3.3,8.3,0.394,1.4,3.6,0.38,1.1,1.5,0.731,1.2,6.6,7.7,5.6,1.3,1.0,2.3,4.8,13.7,108.0,115.0,9.4,0.542,0.697,0.122,2.8,14.8,8.9,14.9,1.3,1.8,15.4,13.6,0.5,2.2,2.7,0.058,-1.5,0.5,-1.1,0.5
