Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,21.0,WAS,NBA,PF,48.0,48.0,1444.0,8.2,17.6,0.466,0.8,2.8,0.287,7.4,14.8,0.5,3.8,4.5,0.829,2.5,7.0,9.5,2.8,1.2,0.3,1.7,3.4,21.0,110.0,117.0,13.5,0.535,0.16,0.257,5.7,17.0,11.1,8.8,1.2,0.5,8.0,19.0,1.3,0.5,1.8,0.06,-1.2,-2.0,-3.2,-0.4
2020-21,22.0,WAS,NBA,PF,57.0,57.0,1797.0,8.0,16.6,0.478,1.2,3.5,0.328,6.8,13.1,0.519,3.2,4.1,0.77,1.3,6.7,8.0,2.1,1.1,0.2,1.7,3.1,20.2,107.0,115.0,11.4,0.549,0.211,0.248,2.9,15.5,9.2,6.3,1.1,0.3,8.6,18.1,0.7,1.4,2.1,0.056,-2.2,-1.0,-3.1,-0.5
2021-22,23.0,WAS,NBA,PF,42.0,13.0,943.0,9.8,20.0,0.491,2.9,6.5,0.447,6.9,13.5,0.512,2.4,3.5,0.697,1.3,7.1,8.4,2.5,1.2,0.5,1.7,2.8,24.9,111.0,116.0,14.9,0.579,0.323,0.173,3.0,15.6,9.4,7.9,1.2,0.8,7.4,20.9,0.9,0.6,1.4,0.073,0.2,-1.7,-1.4,0.1
2022-23,24.0,TOT,NBA,PF,56.0,9.0,1315.0,9.2,19.1,0.483,1.8,5.3,0.34,7.4,13.9,0.537,2.9,3.9,0.748,1.6,7.3,8.9,1.8,0.7,0.8,1.8,2.3,23.2,109.0,117.0,12.9,0.556,0.276,0.205,3.7,16.0,10.1,5.7,0.7,1.4,7.9,20.3,0.4,1.1,1.5,0.055,-1.3,-1.0,-2.3,-0.1
2022-23,24.0,WAS,NBA,PF,30.0,0.0,728.0,10.6,21.8,0.488,2.0,6.0,0.337,8.6,15.8,0.545,3.0,3.9,0.759,1.3,7.3,8.6,2.4,0.7,0.8,2.4,2.6,26.2,106.0,117.0,13.7,0.558,0.275,0.179,3.1,16.1,9.9,7.3,0.7,1.4,9.3,23.1,0.1,0.5,0.6,0.039,-1.2,-1.4,-2.6,-0.1
2022-23,24.0,LAL,NBA,PF,26.0,9.0,587.0,7.6,16.0,0.475,1.5,4.4,0.345,6.0,11.5,0.524,2.9,4.0,0.735,1.9,7.3,9.2,1.2,0.6,0.7,1.0,1.9,19.6,113.0,116.0,12.0,0.553,0.278,0.247,4.5,15.8,10.4,3.6,0.6,1.3,5.6,16.7,0.4,0.5,0.9,0.075,-1.5,-0.4,-1.9,0.0
Career,,,NBA,,203.0,127.0,5499.0,8.6,18.0,0.479,1.5,4.2,0.354,7.1,13.8,0.517,3.1,4.1,0.772,1.7,7.0,8.7,2.3,1.0,0.4,1.7,2.9,21.9,109.0,116.0,12.9,0.552,0.234,0.226,3.8,16.0,9.9,7.1,1.0,0.7,8.1,19.3,3.3,3.5,6.8,0.06,-1.3,-1.4,-2.7,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,177.0,118.0,4912.0,8.8,18.3,0.479,1.5,4.2,0.356,7.3,14.1,0.516,3.2,4.1,0.776,1.6,7.0,8.6,2.4,1.1,0.3,1.8,3.1,22.2,109.0,116.0,13.0,0.552,0.23,0.224,3.8,16.0,9.9,7.5,1.1,0.6,8.4,19.7,3.0,3.0,5.9,0.058,-1.3,-1.5,-2.7,-0.9
1 season,,LAL,NBA,,26.0,9.0,587.0,7.6,16.0,0.475,1.5,4.4,0.345,6.0,11.5,0.524,2.9,4.0,0.735,1.9,7.3,9.2,1.2,0.6,0.7,1.0,1.9,19.6,113.0,116.0,12.0,0.553,0.278,0.247,4.5,15.8,10.4,3.6,0.6,1.3,5.6,16.7,0.4,0.5,0.9,0.075,-1.5,-0.4,-1.9,0.0
