Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2001-02,20.0,PHI,NBA,C,34.0,0.0,177.0,6.7,15.3,0.44,0.0,0.0,,6.7,15.3,0.44,2.1,5.5,0.389,7.6,13.1,20.7,1.5,1.8,4.0,4.3,9.2,15.6,88.0,93.0,13.2,0.44,0.0,0.36,16.2,27.3,21.8,4.8,1.8,5.6,19.5,18.6,-0.2,0.4,0.3,0.072,-4.4,0.8,-3.6,-0.1
2003-04,22.0,PHI,NBA,C,82.0,53.0,2197.0,6.7,12.4,0.541,0.0,0.0,0.0,6.7,12.4,0.542,2.8,4.3,0.644,4.8,10.7,15.5,0.5,1.1,4.7,2.1,6.8,16.2,110.0,97.0,16.1,0.566,0.002,0.349,10.5,22.9,16.8,1.7,1.1,6.8,13.0,14.1,3.0,4.0,6.9,0.151,-1.3,1.7,0.3,1.3
2004-05,23.0,PHI,NBA,C,72.0,60.0,1785.0,7.1,13.5,0.524,0.0,0.0,,7.1,13.5,0.524,2.5,4.2,0.601,5.3,10.1,15.4,1.0,1.3,3.4,3.2,6.8,16.7,102.0,100.0,14.4,0.543,0.0,0.31,11.6,22.6,17.1,3.3,1.3,5.3,17.4,16.3,0.8,3.1,3.9,0.104,-2.8,0.6,-2.2,-0.1
2005-06,24.0,PHI,NBA,C,66.0,52.0,1761.0,5.8,10.9,0.531,0.0,0.0,0.0,5.8,10.8,0.533,2.7,3.9,0.705,4.7,11.2,15.9,0.7,1.0,4.7,3.1,7.2,14.3,104.0,102.0,14.2,0.568,0.003,0.358,10.6,25.4,18.0,2.2,1.0,6.9,20.0,13.8,0.9,2.6,3.6,0.097,-2.9,1.2,-1.8,0.1
2006-07,25.0,PHI,NBA,C,82.0,82.0,2535.0,7.4,13.7,0.541,0.0,0.0,0.0,7.4,13.7,0.543,3.5,4.7,0.746,5.0,10.3,15.3,1.3,1.0,3.3,3.4,6.0,18.4,108.0,103.0,16.1,0.581,0.003,0.34,11.3,23.3,17.4,4.2,1.0,4.8,17.5,16.7,2.5,3.6,6.2,0.117,-1.2,0.7,-0.5,0.9
2007-08,26.0,PHI,NBA,C,82.0,82.0,2724.0,6.6,12.9,0.513,0.0,0.0,0.0,6.6,12.9,0.514,3.6,5.1,0.707,5.9,10.6,16.5,0.9,0.8,3.7,3.0,5.2,16.8,109.0,103.0,15.6,0.556,0.002,0.398,13.1,24.0,18.5,2.5,0.8,5.6,16.6,15.4,2.6,4.3,6.9,0.121,-1.5,0.5,-1.0,0.7
2008-09,27.0,PHI,NBA,C,82.0,82.0,2036.0,5.7,11.4,0.498,0.0,0.1,0.0,5.7,11.3,0.5,2.4,3.2,0.734,5.6,12.8,18.4,0.5,0.9,3.8,3.1,6.5,13.7,103.0,103.0,13.2,0.535,0.005,0.286,12.5,28.9,20.6,1.4,0.9,5.8,19.3,13.6,0.5,3.5,4.0,0.095,-2.9,0.8,-2.1,0.0
2009-10,28.0,PHI,NBA,C,82.0,80.0,2124.0,7.0,12.9,0.545,0.0,0.0,,7.0,12.9,0.545,2.4,3.3,0.729,5.9,13.5,19.3,1.6,1.0,3.7,3.0,6.2,16.5,110.0,105.0,16.8,0.573,0.0,0.254,13.1,30.7,21.8,4.7,1.0,5.6,17.5,15.1,2.3,3.0,5.2,0.118,-1.2,0.3,-0.9,0.6
2010-11,29.0,SAC,NBA,C,80.0,46.0,1938.0,7.0,14.8,0.473,0.0,0.1,0.0,7.0,14.7,0.474,2.8,3.9,0.73,5.5,11.6,17.1,1.7,0.9,3.0,3.4,5.9,16.8,100.0,105.0,14.1,0.509,0.004,0.261,12.1,26.9,19.3,5.3,0.9,4.3,17.3,17.1,0.4,2.5,2.9,0.072,-2.3,0.2,-2.2,-0.1
2011-12,30.0,HOU,NBA,C,65.0,45.0,1446.0,7.2,14.3,0.506,0.0,0.0,0.0,7.2,14.3,0.508,3.3,4.1,0.796,5.7,10.8,16.5,1.2,1.3,4.0,3.0,5.9,17.7,108.0,100.0,16.9,0.551,0.003,0.286,12.6,24.1,18.3,3.6,1.3,5.7,15.6,16.6,1.8,2.3,4.1,0.137,-1.1,1.1,0.1,0.7
