Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,21.0,MIN,NBA,SG,37.0,0.0,290.0,9.7,21.1,0.46,0.5,1.9,0.273,9.2,19.2,0.478,4.4,6.8,0.65,4.1,4.9,9.0,1.0,1.4,0.2,2.7,4.1,24.3,101.0,109.0,13.1,0.505,0.089,0.323,8.8,11.2,10.0,3.4,1.4,0.3,10.2,23.1,0.1,0.2,0.3,0.053,-2.2,-2.3,-4.5,-0.2
2014-15,22.0,MIN,NBA,SG,38.0,13.0,866.0,11.4,23.3,0.489,1.2,3.0,0.392,10.2,20.3,0.503,6.1,8.5,0.717,3.7,5.3,9.0,2.6,1.1,0.4,2.1,2.9,30.1,113.0,115.0,19.9,0.556,0.128,0.365,8.1,12.4,10.2,9.6,1.1,0.6,7.1,25.3,2.1,-0.1,2.0,0.11,3.5,-2.7,0.7,0.6
2015-16,23.0,MIN,NBA,SF,82.0,0.0,1682.0,9.5,20.4,0.465,1.3,4.6,0.289,8.2,15.9,0.516,5.5,7.3,0.764,3.0,5.0,8.0,1.6,0.7,0.2,2.1,2.8,25.9,110.0,114.0,15.2,0.548,0.223,0.355,7.0,11.4,9.2,5.2,0.7,0.3,8.2,22.8,2.6,0.2,2.7,0.077,0.6,-3.1,-2.5,-0.2
2016-17,24.0,MIN,NBA,SF,78.0,1.0,1516.0,9.6,20.0,0.482,1.6,4.9,0.338,8.0,15.2,0.528,4.9,6.4,0.774,2.8,4.5,7.4,1.2,0.7,0.2,1.9,2.9,25.8,114.0,116.0,14.9,0.566,0.242,0.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,2.5,0.2,2.7,0.086,0.5,-2.9,-2.4,-0.1
2017-18,25.0,TOT,NBA,"SF,SG",43.0,2.0,418.0,10.0,22.5,0.447,0.8,3.2,0.259,9.2,19.2,0.478,4.7,6.0,0.78,2.7,6.3,9.1,1.7,1.1,0.4,0.7,3.6,25.6,109.0,113.0,15.4,0.51,0.144,0.266,6.3,14.8,10.6,5.7,1.1,0.6,2.8,23.0,0.5,0.2,0.7,0.081,-0.3,-2.3,-2.5,-0.1
2017-18,25.0,MIN,NBA,SF,32.0,2.0,301.0,7.8,20.1,0.388,0.7,3.2,0.211,7.1,16.9,0.422,3.7,5.2,0.71,2.5,5.0,7.5,1.2,0.8,0.3,0.8,3.8,19.9,99.0,115.0,9.3,0.446,0.157,0.256,5.7,11.6,8.6,3.4,0.8,0.6,3.6,20.5,0.0,0.1,0.0,0.008,-3.1,-2.8,-5.9,-0.3
2017-18,25.0,MIL,NBA,SG,11.0,0.0,117.0,15.8,28.6,0.552,1.3,3.4,0.375,14.5,25.1,0.576,7.2,8.1,0.895,3.4,9.8,13.2,3.0,1.7,0.4,0.4,3.0,40.1,130.0,109.0,31.0,0.624,0.119,0.284,8.0,23.0,15.5,11.8,1.7,0.7,1.3,29.5,0.6,0.1,0.7,0.271,7.0,-1.0,6.0,0.2
Career,,,NBA,,278.0,16.0,4772.0,9.9,21.0,0.473,1.3,4.1,0.319,8.6,16.9,0.51,5.3,7.1,0.751,3.1,5.0,8.1,1.6,0.9,0.3,1.9,3.0,26.5,111.0,115.0,15.9,0.549,0.194,0.336,7.0,11.6,9.3,5.5,0.9,0.4,7.4,22.9,7.7,0.7,8.5,0.085,0.9,-2.9,-2.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIN,NBA,,267.0,16.0,4655.0,9.8,20.8,0.47,1.3,4.1,0.317,8.5,16.7,0.507,5.3,7.0,0.747,3.1,4.9,8.0,1.6,0.8,0.2,2.0,3.0,26.1,110.0,115.0,15.5,0.546,0.197,0.337,7.0,11.3,9.2,5.3,0.8,0.4,7.6,22.7,7.2,0.6,7.8,0.08,0.7,-2.9,-2.2,-0.2
1 season,,MIL,NBA,,11.0,0.0,117.0,15.8,28.6,0.552,1.3,3.4,0.375,14.5,25.1,0.576,7.2,8.1,0.895,3.4,9.8,13.2,3.0,1.7,0.4,0.4,3.0,40.1,130.0,109.0,31.0,0.624,0.119,0.284,8.0,23.0,15.5,11.8,1.7,0.7,1.3,29.5,0.6,0.1,0.7,0.271,7.0,-1.0,6.0,0.2
