Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006-07,21.0,CLE,NBA,SG,23.0,5.0,202.0,7.3,19.4,0.378,1.8,6.5,0.28,5.5,12.8,0.429,2.6,3.7,0.714,1.6,3.9,5.5,2.6,1.8,0.8,3.7,6.3,19.1,88.0,103.0,7.5,0.455,0.338,0.189,3.4,8.9,6.0,8.1,1.8,1.2,14.9,21.1,-0.2,0.3,0.1,0.015,-5.5,-0.2,-5.7,-0.2
2007-08,22.0,TOT,NBA,SG,21.0,4.0,240.0,9.7,27.9,0.349,2.0,6.6,0.3,7.7,21.2,0.365,3.8,6.4,0.586,1.3,3.1,4.4,3.8,2.4,0.7,5.3,6.4,25.2,81.0,107.0,6.3,0.411,0.238,0.23,2.8,6.9,4.7,12.8,2.4,1.0,14.7,30.7,-0.8,0.3,-0.5,-0.102,-5.7,-2.1,-7.9,-0.4
2007-08,22.0,CLE,NBA,SG,15.0,4.0,218.0,10.0,27.1,0.369,2.2,7.1,0.31,7.8,20.0,0.39,3.4,5.6,0.609,1.2,3.2,4.4,4.2,2.4,0.2,4.6,6.6,25.6,86.0,108.0,8.1,0.433,0.261,0.207,2.5,7.0,4.7,14.1,2.4,0.4,13.6,29.2,-0.5,0.2,-0.2,-0.052,-4.4,-1.5,-5.9,-0.2
2007-08,22.0,CHI,NBA,SG,6.0,0.0,22.0,7.0,35.2,0.2,0.0,2.3,0.0,7.0,32.8,0.214,7.0,14.1,0.5,2.3,2.3,4.7,0.0,2.3,4.7,11.7,4.7,21.1,46.0,105.0,-11.8,0.255,0.067,0.4,5.0,5.3,5.1,0.0,2.3,7.1,22.1,45.5,-0.3,0.0,-0.3,-0.592,-19.0,-8.4,-27.4,-0.1
2008-09,23.0,TOT,NBA,SG,48.0,0.0,477.0,8.7,18.4,0.473,1.6,4.1,0.378,7.2,14.3,0.5,3.6,4.4,0.821,1.2,3.7,4.9,4.2,2.5,0.8,4.2,4.7,22.6,101.0,106.0,12.9,0.554,0.224,0.236,2.8,8.1,5.5,13.7,2.5,1.2,17.3,21.4,0.1,0.6,0.7,0.067,-1.0,0.9,-0.2,0.2
2008-09,23.0,CHA,NBA,SG,30.0,0.0,341.0,8.9,19.6,0.455,1.3,4.5,0.286,7.6,15.1,0.505,3.8,4.8,0.8,1.3,2.5,3.8,4.5,2.9,0.8,4.6,5.3,22.9,97.0,106.0,12.1,0.529,0.228,0.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,-0.1,0.4,0.3,0.041,-1.8,1.1,-0.7,0.1
2008-09,23.0,LAL,NBA,SG,18.0,0.0,136.0,8.2,15.7,0.524,2.2,3.4,0.667,6.0,12.4,0.485,3.0,3.4,0.889,1.1,6.4,7.5,3.7,1.5,0.7,3.4,3.4,21.7,114.0,106.0,15.0,0.631,0.214,0.214,2.5,13.9,8.3,10.9,1.5,1.1,16.4,17.8,0.2,0.2,0.4,0.131,0.8,0.4,1.2,0.1
2009-10,24.0,LAL,NBA,SG,82.0,7.0,1700.0,7.7,18.0,0.427,1.9,5.8,0.328,5.8,12.3,0.474,3.0,3.7,0.818,0.9,4.7,5.6,3.3,1.7,0.9,2.0,3.9,20.3,105.0,105.0,12.4,0.517,0.319,0.204,2.0,10.0,6.0,9.9,1.7,1.4,9.4,18.8,1.1,2.3,3.4,0.096,-1.2,0.8,-0.4,0.7
2010-11,25.0,LAL,NBA,SG,82.0,0.0,1568.0,9.2,21.7,0.425,2.5,7.2,0.349,6.7,14.5,0.462,3.1,3.4,0.911,1.2,4.1,5.3,3.2,2.3,0.5,2.5,4.2,24.0,105.0,106.0,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,1.1,1.9,3.1,0.093,-0.9,0.2,-0.8,0.5
2011-12,26.0,PHO,NBA,SG,59.0,19.0,1400.0,9.3,22.1,0.42,2.5,7.0,0.362,6.8,15.2,0.446,3.0,3.7,0.808,1.4,4.4,5.8,2.6,1.6,0.6,2.4,2.4,24.1,101.0,108.0,13.6,0.507,0.314,0.166,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,0.8,0.8,1.6,0.054,-0.2,-0.9,-1.0,0.3
2012-13,27.0,PHO,NBA,SG,59.0,22.0,1402.0,8.8,20.9,0.42,1.4,5.2,0.277,7.4,15.8,0.467,3.6,4.6,0.784,1.6,3.8,5.5,4.0,2.2,0.5,2.7,3.4,22.6,99.0,110.0,13.1,0.493,0.247,0.219,3.5,8.7,6.0,12.8,2.2,0.8,10.6,22.2,0.4,0.8,1.2,0.041,-1.1,-0.5,-1.6,0.2
