Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,21.0,DET,NBA,PG,34.0,1.0,455.0,5.8,19.2,0.302,1.4,7.4,0.185,4.4,11.8,0.375,3.5,3.9,0.912,0.5,5.0,5.5,11.8,2.2,0.7,3.8,6.0,16.5,92.0,107.0,10.2,0.394,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1.0,15.2,21.1,-0.3,0.4,0.1,0.009,-3.0,0.2,-2.8,-0.1
2015-16,22.0,DET,NBA,PG,12.0,0.0,159.0,6.0,17.1,0.352,0.3,3.2,0.1,5.7,14.0,0.409,6.0,10.5,0.576,1.3,4.1,5.4,7.0,1.0,0.0,2.2,6.3,18.4,97.0,109.0,8.9,0.423,0.185,0.611,2.6,9.3,5.8,20.9,1.0,0.0,9.3,20.7,0.0,0.1,0.1,0.028,-4.6,-0.6,-5.2,-0.1
2016-17,23.0,BRK,NBA,PG,59.0,18.0,1334.0,4.8,10.7,0.444,1.4,3.6,0.376,3.4,7.1,0.478,4.5,5.7,0.792,1.0,4.9,5.8,6.6,1.6,0.8,2.3,4.2,15.4,116.0,112.0,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,0.101,-1.3,0.4,-1.0,0.4
2017-18,24.0,BRK,NBA,PG,80.0,58.0,2306.0,6.8,17.6,0.387,3.0,9.1,0.326,3.9,8.5,0.452,4.6,5.6,0.813,0.8,4.6,5.5,11.0,1.4,0.5,2.7,3.9,21.2,114.0,112.0,15.9,0.527,0.517,0.32,1.8,10.2,6.0,35.0,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,1.3,-0.7,0.6,1.5
2018-19,25.0,BRK,NBA,PG,68.0,4.0,1914.0,9.1,20.6,0.442,3.1,9.2,0.335,6.0,11.4,0.528,7.1,8.9,0.806,0.6,3.5,4.1,7.7,1.0,0.4,3.8,4.7,28.4,114.0,113.0,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1.0,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.4,-0.8,0.6,1.3
2019-20,26.0,BRK,NBA,PG,64.0,49.0,1994.0,10.1,24.2,0.415,2.9,9.5,0.308,7.1,14.7,0.485,8.2,10.6,0.778,0.8,4.5,5.2,10.3,0.9,0.5,4.1,4.3,31.3,111.0,113.0,17.8,0.541,0.392,0.437,1.7,9.6,5.7,35.0,0.9,0.9,12.5,29.2,3.2,1.6,4.8,0.116,2.7,-0.9,1.8,1.9
2020-21,27.0,BRK,NBA,SG,3.0,3.0,64.0,4.5,12.1,0.375,1.5,5.3,0.286,3.0,6.8,0.444,4.5,4.5,1.0,0.0,9.8,9.8,6.8,1.5,0.8,3.8,3.0,15.1,102.0,112.0,10.1,0.536,0.438,0.375,0.0,21.3,11.2,17.6,1.5,1.4,21.2,16.1,0.0,0.1,0.1,0.045,-2.4,2.6,0.2,0.0
2021-22,28.0,TOT,NBA,PG,67.0,51.0,1980.0,7.7,18.5,0.416,2.8,8.3,0.339,4.9,10.2,0.479,4.9,6.3,0.774,1.1,5.9,7.0,8.7,1.1,0.3,2.6,3.8,23.1,114.0,115.0,15.1,0.543,0.449,0.343,2.6,13.0,7.8,25.7,1.1,0.6,10.9,21.4,2.7,1.4,4.1,0.098,0.8,-0.4,0.3,1.2
2021-22,28.0,WAS,NBA,PG,44.0,44.0,1330.0,6.9,18.3,0.376,2.6,8.4,0.31,4.3,9.9,0.432,4.3,5.3,0.811,1.3,6.4,7.7,9.5,1.0,0.3,2.7,4.0,20.7,109.0,117.0,13.2,0.501,0.459,0.291,3.0,14.0,8.6,27.5,1.0,0.4,11.6,21.0,0.9,0.7,1.6,0.058,-0.2,-0.7,-0.9,0.3
2021-22,28.0,DAL,NBA,PG,23.0,7.0,650.0,9.4,18.8,0.498,3.3,8.1,0.404,6.1,10.8,0.568,6.1,8.4,0.725,0.7,4.9,5.6,7.0,1.3,0.5,2.4,3.3,28.1,124.0,112.0,19.0,0.624,0.428,0.449,1.5,10.8,6.2,22.0,1.3,0.8,9.6,22.3,1.8,0.7,2.5,0.182,2.9,0.1,2.9,0.8
2022-23,29.0,TOT,NBA,PG,72.0,72.0,2483.0,8.5,19.2,0.445,3.4,9.0,0.38,5.1,10.1,0.504,5.0,6.1,0.815,0.5,4.3,4.8,8.8,1.2,0.4,2.7,3.4,25.5,119.0,118.0,16.3,0.583,0.471,0.32,1.3,10.1,5.7,26.7,1.2,0.8,11.0,22.3,4.3,1.6,5.9,0.115,1.8,-1.0,0.8,1.8
2022-23,29.0,DAL,NBA,PG,53.0,53.0,1808.0,8.7,19.1,0.455,3.8,9.4,0.405,4.9,9.7,0.504,4.7,5.7,0.821,0.5,4.0,4.5,7.7,1.1,0.4,2.5,3.4,25.9,121.0,119.0,16.2,0.599,0.491,0.298,1.2,9.5,5.3,24.0,1.1,0.8,10.3,21.9,3.4,1.0,4.4,0.118,2.1,-1.2,0.9,1.3
2022-23,29.0,BRK,NBA,PG,19.0,19.0,675.0,8.1,19.3,0.419,2.5,8.1,0.304,5.6,11.2,0.503,5.9,7.3,0.802,0.6,5.1,5.7,11.6,1.6,0.4,3.3,3.4,24.5,115.0,116.0,16.5,0.544,0.419,0.378,1.4,11.6,6.6,34.0,1.6,0.8,12.6,23.4,0.9,0.6,1.5,0.107,1.1,-0.5,0.6,0.4
Career,,,NBA,,459.0,256.0,12689.0,7.9,18.9,0.418,2.8,8.3,0.334,5.1,10.5,0.484,5.7,7.1,0.795,0.8,4.6,5.4,9.1,1.2,0.5,3.1,4.1,24.2,114.0,114.0,15.5,0.55,0.44,0.378,1.8,10.3,6.0,28.7,1.2,0.8,12.3,22.3,19.6,8.8,28.4,0.107,1.0,-0.6,0.4,7.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,BRK,NBA,,293.0,151.0,8287.0,7.9,18.9,0.417,2.7,8.2,0.325,5.2,10.7,0.489,6.2,7.7,0.797,0.8,4.4,5.2,9.4,1.2,0.5,3.3,4.2,24.6,113.0,113.0,15.9,0.552,0.435,0.408,1.7,9.7,5.8,30.2,1.2,0.9,12.9,22.7,13.8,5.9,19.7,0.114,1.2,-0.5,0.6,5.5
2 seasons,,DAL,NBA,,76.0,60.0,2458.0,8.9,19.1,0.466,3.7,9.0,0.404,5.2,10.0,0.522,5.1,6.4,0.788,0.6,4.2,4.8,7.5,1.1,0.4,2.5,3.4,26.5,122.0,117.0,16.9,0.605,0.475,0.337,1.3,9.9,5.5,23.5,1.1,0.8,10.1,22.0,5.2,1.7,6.9,0.135,2.3,-0.8,1.5,2.1
2 seasons,,DET,NBA,,46.0,1.0,614.0,5.9,18.7,0.314,1.1,6.3,0.173,4.8,12.4,0.385,4.2,5.6,0.746,0.7,4.8,5.4,10.5,1.8,0.5,3.3,6.1,17.0,93.0,107.0,9.9,0.402,0.336,0.3,1.4,10.5,5.8,31.3,1.8,0.8,13.7,21.0,-0.3,0.5,0.2,0.014,-3.4,0.0,-3.4,-0.2
1 season,,WAS,NBA,,44.0,44.0,1330.0,6.9,18.3,0.376,2.6,8.4,0.31,4.3,9.9,0.432,4.3,5.3,0.811,1.3,6.4,7.7,9.5,1.0,0.3,2.7,4.0,20.7,109.0,117.0,13.2,0.501,0.459,0.291,3.0,14.0,8.6,27.5,1.0,0.4,11.6,21.0,0.9,0.7,1.6,0.058,-0.2,-0.7,-0.9,0.3
